Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
52,1569432772,jackandsoda (2/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Amed Rosario,SS,5.72%,3
52,1569432906,jackandsoda (3/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Jon Lester,P,5.72%,14.45
52,1569432971,jackandsoda (4/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Michael Chavis,2B,5.21%,2
52,1569433050,jackandsoda (5/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Mike Moustakas,2B,4.71%,0
52,1569433265,jackandsoda (6/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Justin Smoak,1B,4.71%,3
52,1569433321,jackandsoda (7/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Chris Bassitt,P,4.71%,30.15
52,1569433373,jackandsoda (8/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Pete Alonso,1B,4.63%,5
52,1569433416,jackandsoda (9/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Bo Bichette,SS,4.54%,6
52,1569433470,jackandsoda (10/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Brett Gardner,OF,4.46%,7
52,1569433689,jackandsoda (11/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Mike Minor,P,4.37%,41
52,1569433730,jackandsoda (12/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Luis Castillo,P,4.29%,20.2
52,1569433754,jackandsoda (13/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Cheslor Cuthbert,3B,4.21%,2
52,1569439901,jackandsoda (14/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Miguel Cabrera,1B,4.12%,3
52,1569439982,jackandsoda (15/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Christian Vázquez,C,4.12%,16
52,1569440270,jackandsoda (16/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Marwin Gonzalez,3B,4.04%,10
52,1569440605,jackandsoda (17/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Ozzie Albies,2B,4.04%,2
52,1569440733,jackandsoda (18/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Tommy Edman,3B,4.04%,18
52,1569440764,jackandsoda (19/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Dawel Lugo,3B,4.04%,5
52,1569440792,jackandsoda (20/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Austin Romine,C,3.95%,3
72,1569432533,rmj4133 (2/5),2,149.45,P Mike Minor P Jon Lester OF Marcell Ozuna 1B Carlos Santana OF Kris Bryant SS Paul DeJong 3B Matt Chapman OF Anthony Santander C Wilson Ramos 2B Jurickson Profar,,Jeff McNeil,OF,3.95%,18
73,1569414464,kodimac14 (10/15),0,149.15,P Justin Verlander P Mike Foltynewicz 1B Freddie Freeman 2B Ozzie Albies OF Jorge Soler 3B Hunter Dozier OF Aristides Aquino OF Billy Hamilton SS Humberto Arteaga C Nick Dini,,Adam Frazier,2B,3.87%,10
74,1569423836,lostboy712 (12/20),1,148.45,P Lucas Giolito P Jordan Lyles 2B Jose Altuve SS Carlos Correa 1B Aledmys Díaz C Robinson Chirinos OF Josh Reddick OF José Martínez OF Jace Peterson 3B Rio Ruiz,,Luís Rengifo,2B,3.87%,8
75,1569428048,memphotiger (3/20),5,147.45,P Chris Bassitt P Jakob Junis 3B Alex Bregman OF Marcell Ozuna 1B Paul Goldschmidt OF Yasiel Puig SS Paul DeJong 2B Tommy Edman OF Yairo Muñoz C Kevin Plawecki,,Manny Piña,C,3.78%,3
76,1569414463,kodimac14 (9/15),0,146.8,P Justin Verlander P Chris Bassitt 3B Eugenio Suárez OF Jorge Soler OF Aristides Aquino OF Nick Senzel 1B Sam Travis 2B Isan Díaz SS Humberto Arteaga C Nick Dini,,John Hicks,1B,3.70%,0
77,1569414457,kodimac14 (3/15),0,146.35,P Justin Verlander P Steven Brault SS Xander Bogaerts OF Whit Merrifield OF Jorge Soler 3B Hunter Dozier 2B Rougned Odor OF Nick Senzel 1B Justin Smoak C Nick Dini,,Nick Senzel,OF,3.70%,9
78,1569445885,WiseGuyLocks (5/20),0,146.3,P Justin Verlander P Jacob deGrom 2B Whit Merrifield OF Jorge Soler 1B Matt Olson 3B Matt Chapman OF Billy Hamilton OF Chris Owings SS Humberto Arteaga C Nick Dini,,Jackie Bradley Jr.,OF,3.70%,4
79,1569449648,drgonballs (16/20),1,146.15,P Jacob deGrom P Mike Foltynewicz 2B Whit Merrifield OF Jorge Soler OF Kyle Schwarber 1B Paul Goldschmidt OF Randal Grichuk C James McCann 3B Cheslor Cuthbert SS Humberto Arteaga,,Harold Castro,OF,3.62%,0
80,1569433914,mannyj120 (8/20),0,145.2,P Lucas Giolito P Jakob Junis SS Bo Bichette OF Shohei Ohtani 3B Eugenio Suárez OF Jorge Soler 1B Matt Thaiss OF Sam Travis 2B Chris Owings C Nick Dini,,Randal Grichuk,OF,3.53%,0
81,1569433922,mannyj120 (16/20),0,145.05,P Jordan Lyles P Mike Foltynewicz SS Alex Bregman OF J.D. Martinez OF Michael Brantley 3B Gio Urshela 2B Whit Merrifield 1B Carlos Santana OF Sam Travis C Max Stassi,,Albert Pujols,1B,3.53%,2
82,1569423190,BullDozier (13/20),5,144.95,P Jacob deGrom P Héctor Noesí OF Marcell Ozuna 3B Eugenio Suárez 1B Paul Goldschmidt OF Nick Senzel SS Paul DeJong 2B Tommy Edman C Kyle Farmer OF José Martínez,,Daniel Norris,P,3.53%,3.15
83,1569434641,Drock2888 (19/20),2,144.75,P Masahiro Tanaka P Jordan Lyles OF George Springer SS Carlos Correa OF Michael Brantley 2B Whit Merrifield 1B Aledmys Díaz C Robinson Chirinos OF José Martínez 3B Yairo Muñoz,,Brian Goodwin,OF,3.53%,7
84,1569449651,drgonballs (19/20),1,144.65,P Aníbal Sánchez P Masahiro Tanaka 2B DJ LeMahieu OF Jorge Soler 3B J.D. Davis OF Kyle Schwarber C Gary Sánchez 1B Paul Goldschmidt OF Ian Happ SS José Peraza,,Lorenzo Cain,OF,3.45%,7
85,1569421188,jasonf45 (1/3),3,144.5,P Justin Verlander P Miles Mikolas OF Marcell Ozuna OF Whit Merrifield 3B Hunter Dozier 1B Paul Goldschmidt SS Paul DeJong 2B Isan Díaz OF Chris Owings C Nick Dini,,Matt Thaiss,1B,3.36%,4
86,1569426917,SeanBlue,3,144.15,P Justin Verlander P Mike Foltynewicz OF Aaron Judge OF Kris Bryant 1B Paul Goldschmidt SS Paul DeJong OF Ender Inciarte C Tyler Flowers 3B Colin Moran 2B Ronny Rodríguez,,J.D. Davis,3B,3.36%,5
87,1569446509,dmicheal84,4,143.5,P Mike Minor P Mike Foltynewicz OF Ronald Acuña Jr. 2B Aledmys Díaz C Gary Sánchez 1B Paul Goldschmidt SS Paul DeJong OF José Martínez 3B Marwin Gonzalez OF Yairo Muñoz,,Kyle Schwarber,OF,3.28%,0
