Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
40,2477412146,Bachelormaker (1/2),0,191.64,QB Ben Roethlisberger RB Alvin Kamara RB Kareem Hunt WR Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster TE Mark Andrews FLEX Eric Ebron DST Saints ,,Miles Boykin,FLEX,5.67%,0
40,2477425713,Bachelormaker (2/2),0,191.64,QB Ben Roethlisberger RB Alvin Kamara RB Kareem Hunt WR Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster TE Mark Andrews FLEX Eric Ebron DST Saints ,,Baker Mayfield,QB,5.63%,22.82
42,2477047666,noobie2019,0,191.43999,QB Ben Roethlisberger RB Nick Chubb RB J.K. Dobbins WR Michael Thomas WR Jarvis Landry FLEX JuJu Smith-Schuster WR Chase Claypool TE Mark Andrews DST Browns ,,Latavius Murray,RB,4.42%,10
43,2477028030,krayzieroach,0,190.93999,QB Ben Roethlisberger RB David Montgomery RB Nick Chubb WR Allen Robinson II WR Diontae Johnson WR Jarvis Landry FLEX JuJu Smith-Schuster TE Eric Ebron DST Browns ,,Willie Snead IV,WR,3.90%,2.9
43,2477147984,emanfantasy (12/15),0,190.93999,QB Ben Roethlisberger RB Derrick Henry RB Kareem Hunt WR Michael Thomas FLEX Diontae Johnson WR JuJu Smith-Schuster WR Marquise Brown TE Eric Ebron DST Bears ,,Marquez Callaway,FLEX,1.67%,0
45,2477252293,sallen2417,0,190.86,QB Lamar Jackson FLEX Alvin Kamara RB James Conner RB Kareem Hunt WR Diontae Johnson WR JuJu Smith-Schuster WR Marquise Brown TE Jimmy Graham DST Ravens ,,Anthony Firkser,TE,1.51%,6.4
46,2477324507,TimmyA73 (18/20),0,190.84001,QB Ben Roethlisberger RB Nick Chubb RB James Conner WR Michael Thomas WR Diontae Johnson WR Jarvis Landry FLEX Marquise Brown TE Austin Hooper DST Saints ,,James Washington,WR,1.32%,12.2
46,2477154277,dondoasia (2/11),0,190.83998,QB Ben Roethlisberger RB Alvin Kamara RB Nick Chubb FLEX Kareem Hunt WR A.J. Brown WR Jarvis Landry WR Chase Claypool TE Eric Ebron DST Titans ,,Benny Snell Jr.,FLEX,1.19%,2.7
46,2477419873,dondoasia (6/11),0,190.83998,QB Ben Roethlisberger RB Alvin Kamara RB Nick Chubb FLEX Kareem Hunt WR A.J. Brown WR Jarvis Landry WR Chase Claypool TE Eric Ebron DST Titans ,,David Njoku,FLEX,1.13%,1.7
49,2477260110,ndesmarais15 (2/20),0,190.74,QB Ben Roethlisberger RB Alvin Kamara RB James Conner WR Michael Thomas WR Diontae Johnson WR JuJu Smith-Schuster TE Mark Andrews FLEX Austin Hooper DST Ravens ,,Donovan Peoples-Jones,WR,1.08%,1.8
49,2477264559,ngv043 (14/20),0,190.73999,QB Ben Roethlisberger RB Alvin Kamara RB Nick Chubb WR Diontae Johnson WR JuJu Smith-Schuster FLEX Chase Claypool WR Rashard Higgins TE Jimmy Graham DST Titans ,,Harrison Bryant,TE,0.91%,0
49,2477447560,mattgessner08,0,190.73999,QB Ben Roethlisberger FLEX Alvin Kamara RB Nick Chubb RB J.K. Dobbins WR Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Cole Kmet DST Titans ,,Cordarrelle Patterson,WR,0.60%,0.2
52,2477126131,Belgar16 (15/20),0,190.64,QB Ben Roethlisberger RB Alvin Kamara RB James Conner WR Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster FLEX Mark Andrews TE Austin Hooper DST Saints ,,Taysom Hill,QB,0.55%,3
52,2477193951,alex.mako1 (1/2),0,190.64,QB Ben Roethlisberger RB Derrick Henry RB J.K. Dobbins WR Jarvis Landry WR JuJu Smith-Schuster WR Marquise Brown FLEX Chase Claypool TE Eric Ebron DST Browns ,,Mark Ingram II,RB,0.51%,0
54,2477449010,kato1961,0,190.54,QB Ben Roethlisberger RB Alvin Kamara RB James Conner WR Michael Thomas WR Diontae Johnson WR JuJu Smith-Schuster FLEX Chase Claypool TE Cole Kmet DST Saints ,,Vance McDonald,TE,0.50%,0
