P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,SP,Williams Perez (13082246),Williams Perez,13082246,P,6900,STL@LAD 08/05/2019 10:10PM ET,STL,0
,,,,,,,,,,,SP,Tyler Beede (13082320),Tyler Beede,13082320,P,6900,WAS@SF 08/05/2019 09:45PM ET,SF,9.7
,,,,,,,,,,,SP,Anibal Sanchez (13082103),Anibal Sanchez,13082103,P,6800,WAS@SF 08/05/2019 09:45PM ET,WAS,13.62
,,,,,,,,,,,SP,Jake Arrieta (13082162),Jake Arrieta,13082162,P,6700,PHI@ARI 08/05/2019 09:40PM ET,PHI,12.64
,,,,,,,,,,,SP,Dakota Hudson (13082417),Dakota Hudson,13082417,P,6700,STL@LAD 08/05/2019 10:10PM ET,STL,11.77
,,,,,,,,,,,SP,Genesis Cabrera (13082432),Genesis Cabrera,13082432,P,6700,STL@LAD 08/05/2019 10:10PM ET,STL,3.29
,,,,,,,,,,,SP,Drew Smyly (13082261),Drew Smyly,13082261,P,6600,PHI@ARI 08/05/2019 09:40PM ET,PHI,8.19
,,,,,,,,,,,SP,Merrill Kelly (13082294),Merrill Kelly,13082294,P,6600,PHI@ARI 08/05/2019 09:40PM ET,ARI,13.06
,,,,,,,,,,,SP,Daniel Hudson (13082187),Daniel Hudson,13082187,P,6500,WAS@SF 08/05/2019 09:45PM ET,WAS,3.49
,,,,,,,,,,,SP,Julio Urias (13082396),Julio Urias,13082396,P,6400,STL@LAD 08/05/2019 10:10PM ET,LAD,8.31
,,,,,,,,,,,SP,Jeremy Hellickson (13082126),Jeremy Hellickson,13082126,P,6400,WAS@SF 08/05/2019 09:45PM ET,WAS,6.77
,,,,,,,,,,,SP,Jon Duplantier (13082467),Jon Duplantier,13082467,P,6300,PHI@ARI 08/05/2019 09:40PM ET,ARI,7.76
,,,,,,,,,,,SP,Ty Blach (13082376),Ty Blach,13082376,P,6200,WAS@SF 08/05/2019 09:45PM ET,SF,-5.28
,,,,,,,,,,,SP,Kyle McGowin (13082412),Kyle McGowin,13082412,P,6100,WAS@SF 08/05/2019 09:45PM ET,WAS,4.13
,,,,,,,,,,,SP,Kris Medlen (13082143),Kris Medlen,13082143,P,6000,PHI@ARI 08/05/2019 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Michael Wacha (13082354),Michael Wacha,13082354,P,6000,STL@LAD 08/05/2019 10:10PM ET,STL,9.12
,,,,,,,,,,,SP,Garrett Williams (13082416),Garrett Williams,13082416,P,6000,WAS@SF 08/05/2019 09:45PM ET,SF,0
,,,,,,,,,,,RP,Sean Doolittle (13082167),Sean Doolittle,13082167,P,5900,WAS@SF 08/05/2019 09:45PM ET,WAS,3.66
