PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
,,,,,,,,,C,Cristiano Felicio (16186002),Cristiano Felicio,16186002,C/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,CHI,6.75
,,,,,,,,,SF,Chandler Hutchison (16186021),Chandler Hutchison,16186021,SF/F/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,CHI,10.31
,,,,,,,,,PG,Chris Clemons (16186029),Chris Clemons,16186029,PG/G/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,HOU,0
,,,,,,,,,C,Daniel Gafford (16186043),Daniel Gafford,16186043,C/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,CHI,12.3
,,,,,,,,,PG,Devon Dotson (16186055),Devon Dotson,16186055,PG/G/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,CHI,5.25
,,,,,,,,,SG,Brodric Thomas (16186069),Brodric Thomas,16186069,SG/G/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,HOU,4.42
,,,,,,,,,PG/SG,Adam Mokoka (16186072),Adam Mokoka,16186072,PG/SG/G/UTIL,3000,HOU@CHI 01/18/2021 08:00PM ET,CHI,5.5
,,,,,,,,,SF/PF,Jared Dudley (16185875),Jared Dudley,16185875,SF/PF/F/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,LAL,2.08
,,,,,,,,,SG,Wesley Matthews (16185884),Wesley Matthews,16185884,SG/G/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,LAL,10.91
,,,,,,,,,SG,Klay Thompson (16185905),Klay Thompson,16185905,SG/G/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,GS,0
,,,,,,,,,SF/PF,Alfonzo McKinnie (16185921),Alfonzo McKinnie,16185921,SF/PF/F/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,LAL,3.42
,,,,,,,,,PG,Quinn Cook (16185925),Quinn Cook,16185925,PG/G/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,LAL,3.25
,,,,,,,,,PF,Juan Toscano-Anderson (16185928),Juan Toscano-Anderson,16185928,PF/F/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,GS,11.83
,,,,,,,,,SG,Mychal Mulder (16186026),Mychal Mulder,16186026,SG/G/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,GS,6.96
,,,,,,,,,PF,Devontae Cacok (16186032),Devontae Cacok,16186032,PF/F/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,LAL,0
,,,,,,,,,PF,Kostas Antetokounmpo (16186038),Kostas Antetokounmpo,16186038,PF/F/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,LAL,8
,,,,,,,,,PG/SG,Jordan Poole (16186045),Jordan Poole,16186045,PG/SG/G/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,GS,8.5
,,,,,,,,,PF/C,Alen Smailagic (16186065),Alen Smailagic,16186065,PF/C/F/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,GS,0
,,,,,,,,,PG,Nico Mannion (16186082),Nico Mannion,16186082,PG/G/UTIL,3000,GS@LAL 01/18/2021 10:00PM ET,GS,5.5
