Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
56,2381526901,Bwood310,0,126.78,DST Giants  QB Ryan Fitzpatrick RB Wayne Gallman Jr. WR Curtis Samuel RB Dalvin Cook TE Mike Gesicki WR Christian Kirk WR Jakobi Meyers FLEX James Robinson,,Bills ,DST,5.00%,6
57,2381697247,exyhome,0,126.5,DST Browns  QB Derek Carr TE Darren Waller WR Nelson Agholor WR Stefon Diggs RB Derrick Henry FLEX Austin Hooper RB Nyheim Hines WR Justin Jefferson,,Corey Davis,WR,4.50%,10
58,2381396048,NCity84,0,125.700005,DST Dolphins  WR DeVante Parker RB Austin Ekeler RB Nick Chubb TE Mike Gesicki WR DJ Moore QB Kyler Murray FLEX Michael Pittman Jr. WR Donovan Peoples-Jones,,Damien Harris,RB,4.50%,4.7
59,2381176768,texasearl,0,125.1,DST Bengals  WR Keenan Allen WR DeVante Parker TE Austin Hooper RB Austin Ekeler WR Curtis Samuel FLEX Christian Kirk QB Kyler Murray RB Nyheim Hines,,Matt Breida,RB,4.50%,6.3
60,2382261534,joeytoes,0,124.799995,DST Jets  QB Derek Carr WR Keenan Allen WR DeVante Parker TE Evan Engram FLEX Jordan Wilkins RB Brian Hill RB Dalvin Cook WR Justin Jefferson,,Jordan Wilkins,RB,4.00%,8.7
61,2381713361,Robd37,0,124.64001,DST Giants  WR Keenan Allen FLEX Mike Davis TE Hunter Henry RB Matt Breida RB Nyheim Hines QB Justin Herbert WR Michael Pittman Jr. WR Justin Jefferson,,Tee Higgins,WR,4.00%,15.4
62,2382060196,shanegord,0,124.619995,DST Browns  WR Damiere Byrd WR Sterling Shepard TE Evan Engram FLEX Russell Gage RB Nick Chubb RB Dalvin Cook QB Daniel Jones WR Justin Jefferson,,Teddy Bridgewater,QB,4.00%,14.88
63,2381783598,DieselDon28,0,124.6,DST Chargers  QB Derek Carr TE Darren Waller WR Nelson Agholor RB Austin Ekeler WR Curtis Samuel RB Nick Chubb WR Olamide Zaccheaus FLEX Justin Jefferson,,Hunter Renfrow,FLEX,3.50%,14.3
64,2382369582,thedude01,0,124.2,DST Titans  WR A.J. Green WR Cole Beasley TE Trey Burton FLEX Robby Anderson RB Derrick Henry RB Dalvin Cook QB Kyler Murray WR Denzel Mims,,Darius Slayton,WR,3.50%,0
65,2382344229,frenchy2m,0,123.9,DST Dolphins  FLEX DeVante Parker WR Nelson Agholor TE Evan Engram WR Curtis Samuel QB Kyler Murray RB Nyheim Hines WR Jakobi Meyers RB Josh Jacobs,,Denzel Mims,FLEX,3.50%,10.7
