C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,LW,Clayton Keller (16155007) (LOCKED),Clayton Keller,16155007,W/UTIL,5300,SJ@ARI 01/14/2021 09:00PM ET,ARI,8.82
,,,,,,,,,,D,Darnell Nurse (16154825) (LOCKED),Darnell Nurse,16154825,D/UTIL,5300,VAN@EDM 01/14/2021 09:00PM ET,EDM,9.99
,,,,,,,,,,LW,Alex Iafallo (16155065),Alex Iafallo,16155065,W/UTIL,5300,MIN@LA 01/14/2021 10:00PM ET,LA,8.22
,,,,,,,,,,C,Adam Henrique (16154691),Adam Henrique,16154691,C/UTIL,5200,ANH@VGK 01/14/2021 10:00PM ET,ANH,8.8
,,,,,,,,,,D,Nate Schmidt (16154819) (LOCKED),Nate Schmidt,16154819,D/UTIL,5100,VAN@EDM 01/14/2021 09:00PM ET,VAN,9.29
,,,,,,,,,,D,Oliver Ekman-Larsson (16154634) (LOCKED),Oliver Ekman-Larsson,16154634,D/UTIL,5000,SJ@ARI 01/14/2021 09:00PM ET,ARI,7.71
,,,,,,,,,,C,Ryan Getzlaf (16154559),Ryan Getzlaf,16154559,C/UTIL,5000,ANH@VGK 01/14/2021 10:00PM ET,ANH,8.83
,,,,,,,,,,D,Brayden McNabb (16154687),Brayden McNabb,16154687,D/UTIL,4900,ANH@VGK 01/14/2021 10:00PM ET,VGK,5.78
,,,,,,,,,,RW,Brock Boeser (16154938) (LOCKED),Brock Boeser,16154938,W/UTIL,4900,VAN@EDM 01/14/2021 09:00PM ET,VAN,9.88
,,,,,,,,,,RW,Dustin Brown (16154555),Dustin Brown,16154555,W/UTIL,4900,MIN@LA 01/14/2021 10:00PM ET,LA,8.24
,,,,,,,,,,D,Jared Spurgeon (16154689),Jared Spurgeon,16154689,D/UTIL,4900,MIN@LA 01/14/2021 10:00PM ET,MIN,9.46
,,,,,,,,,,D,Erik Karlsson (16154619) (LOCKED),Erik Karlsson,16154619,D/UTIL,4800,SJ@ARI 01/14/2021 09:00PM ET,SJ,9.77
,,,,,,,,,,RW,Kevin Labanc (16154918) (LOCKED),Kevin Labanc,16154918,W/UTIL,4800,SJ@ARI 01/14/2021 09:00PM ET,SJ,7.68
,,,,,,,,,,D,Quinn Hughes (16155140) (LOCKED),Quinn Hughes,16155140,D/UTIL,4800,VAN@EDM 01/14/2021 09:00PM ET,VAN,8.75
,,,,,,,,,,RW,Reilly Smith (16154764),Reilly Smith,16154764,W/UTIL,4700,ANH@VGK 01/14/2021 10:00PM ET,VGK,9.49
,,,,,,,,,,RW,Jeff Carter (16154553),Jeff Carter,16154553,W/UTIL,4700,MIN@LA 01/14/2021 10:00PM ET,LA,8.89
,,,,,,,,,,RW,Conor Garland (16154967) (LOCKED),Conor Garland,16154967,W/UTIL,4600,SJ@ARI 01/14/2021 09:00PM ET,ARI,8.1
,,,,,,,,,,D,Jakob Chychrun (16155009) (LOCKED),Jakob Chychrun,16155009,D/UTIL,4600,SJ@ARI 01/14/2021 09:00PM ET,ARI,8.98
,,,,,,,,,,RW,Kailer Yamamoto (16155079) (LOCKED),Kailer Yamamoto,16155079,W/UTIL,4500,VAN@EDM 01/14/2021 09:00PM ET,EDM,8.53
,,,,,,,,,,LW,Tanner Pearson (16154786) (LOCKED),Tanner Pearson,16154786,W/UTIL,4400,VAN@EDM 01/14/2021 09:00PM ET,VAN,9.01
,,,,,,,,,,D,Ben Hutton (16154808),Ben Hutton,16154808,D/UTIL,4300,ANH@VGK 01/14/2021 10:00PM ET,ANH,6.2
,,,,,,,,,,D,Olli Maatta (16154782),Olli Maatta,16154782,D/UTIL,4300,MIN@LA 01/14/2021 10:00PM ET,LA,6.77
,,,,,,,,,,C,Christian Dvorak (16154895) (LOCKED),Christian Dvorak,16154895,C/UTIL,4200,SJ@ARI 01/14/2021 09:00PM ET,ARI,7.08
,,,,,,,,,,D,Alec Martinez (16154611),Alec Martinez,16154611,D/UTIL,4200,ANH@VGK 01/14/2021 10:00PM ET,VGK,8.7
,,,,,,,,,,LW,Zach Parise (16154557),Zach Parise,16154557,W/UTIL,4200,MIN@LA 01/14/2021 10:00PM ET,MIN,8.73
,,,,,,,,,,D,Matt Dumba (16154776),Matt Dumba,16154776,D/UTIL,4200,MIN@LA 01/14/2021 10:00PM ET,MIN,8.28
,,,,,,,,,,D,Alex Goligoski (16154605) (LOCKED),Alex Goligoski,16154605,D/UTIL,4100,SJ@ARI 01/14/2021 09:00PM ET,ARI,7.82
,,,,,,,,,,RW,Alex Tuch (16154880),Alex Tuch,16154880,W/UTIL,4100,ANH@VGK 01/14/2021 10:00PM ET,VGK,7.74
,,,,,,,,,,RW,Danton Heinen (16154908),Danton Heinen,16154908,W/UTIL,4100,ANH@VGK 01/14/2021 10:00PM ET,ANH,5.65
,,,,,,,,,,D,Ryan Suter (16154551),Ryan Suter,16154551,D/UTIL,4100,MIN@LA 01/14/2021 10:00PM ET,MIN,8.62
,,,,,,,,,,LW,Tyler Ennis (16154621) (LOCKED),Tyler Ennis,16154621,W/UTIL,4000,VAN@EDM 01/14/2021 09:00PM ET,EDM,7.57
,,,,,,,,,,LW,Sonny Milano (16154878),Sonny Milano,16154878,W/UTIL,3900,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.89
,,,,,,,,,,RW,James Neal (16154574) (LOCKED),James Neal,16154574,W/UTIL,3900,VAN@EDM 01/14/2021 09:00PM ET,EDM,7.96
,,,,,,,,,,D,Sean Walker (16155116),Sean Walker,16155116,D/UTIL,3900,MIN@LA 01/14/2021 10:00PM ET,LA,6.67
,,,,,,,,,,C,Derick Brassard (16154584) (LOCKED),Derick Brassard,16154584,C/UTIL,3800,SJ@ARI 01/14/2021 09:00PM ET,ARI,6.1
,,,,,,,,,,C,Nick Schmaltz (16154882) (LOCKED),Nick Schmaltz,16154882,C/UTIL,3800,SJ@ARI 01/14/2021 09:00PM ET,ARI,6.71
,,,,,,,,,,D,Josh Manson (16154752),Josh Manson,16154752,D/UTIL,3800,ANH@VGK 01/14/2021 10:00PM ET,ANH,5.22
,,,,,,,,,,RW,Martin Frk (16154790),Martin Frk,16154790,W/UTIL,3800,MIN@LA 01/14/2021 10:00PM ET,LA,6.29
,,,,,,,,,,LW,Adrian Kempe (16154886),Adrian Kempe,16154886,W/UTIL,3800,MIN@LA 01/14/2021 10:00PM ET,LA,6.94
,,,,,,,,,,D,Matt Roy (16154985),Matt Roy,16154985,D/UTIL,3800,MIN@LA 01/14/2021 10:00PM ET,LA,6.43
,,,,,,,,,,D,Mikey Anderson (16155097),Mikey Anderson,16155097,D/UTIL,3800,MIN@LA 01/14/2021 10:00PM ET,LA,6.83
,,,,,,,,,,D,Jordan Oesterle (16154862) (LOCKED),Jordan Oesterle,16154862,D/UTIL,3700,SJ@ARI 01/14/2021 09:00PM ET,ARI,5.88
,,,,,,,,,,C,Chandler Stephenson (16154796),Chandler Stephenson,16154796,C/UTIL,3700,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.83
,,,,,,,,,,D,Tyler Myers (16154617) (LOCKED),Tyler Myers,16154617,D/UTIL,3700,VAN@EDM 01/14/2021 09:00PM ET,VAN,7.14
,,,,,,,,,,D,Ethan Bear (16154969) (LOCKED),Ethan Bear,16154969,D/UTIL,3700,VAN@EDM 01/14/2021 09:00PM ET,EDM,6.24
,,,,,,,,,,D,Marc-Edouard Vlasic (16154576) (LOCKED),Marc-Edouard Vlasic,16154576,D/UTIL,3600,SJ@ARI 01/14/2021 09:00PM ET,SJ,5.25
