C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,LW,Dylan Sikura (16155397),Dylan Sikura,16155397,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.01
,,,,,,,,,,D,Kodie Curran (16155399),Kodie Curran,16155399,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,D,Brendan Guhle (16155407),Brendan Guhle,16155407,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,6.21
,,,,,,,,,,LW,Keegan Kolesar (16155409),Keegan Kolesar,16155409,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,1.5
,,,,,,,,,,RW,Deven Sideroff (16155411),Deven Sideroff,16155411,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,C,Andrew Poturalski (16155427),Andrew Poturalski,16155427,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,LW,Max Jones (16155429),Max Jones,16155429,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.52
,,,,,,,,,,D,Josh Mahura (16155437),Josh Mahura,16155437,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,5.21
,,,,,,,,,,D,Dylan Coghlan (16155445),Dylan Coghlan,16155445,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,0
,,,,,,,,,,RW,Gage Quinney (16155447),Gage Quinney,16155447,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,2.67
,,,,,,,,,,RW,Vinni Lettieri (16155451),Vinni Lettieri,16155451,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,C,Justin Kloos (16155453),Justin Kloos,16155453,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,D,Nicolas Hague (16155465),Nicolas Hague,16155465,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.72
,,,,,,,,,,LW,Max Comtois (16155469),Max Comtois,16155469,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.62
,,,,,,,,,,RW,Antoine Morand (16155471),Antoine Morand,16155471,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,D,Zach Whitecloud (16155480),Zach Whitecloud,16155480,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.83
,,,,,,,,,,D,Joel Persson (16155484),Joel Persson,16155484,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,3.96
,,,,,,,,,,LW,Isac Lundestrom (16155488),Isac Lundestrom,16155488,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,3.03
,,,,,,,,,,D,Simon Benoit (16155490),Simon Benoit,16155490,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,D,Jimmy Schuldt (16155497),Jimmy Schuldt,16155497,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,0
,,,,,,,,,,C,Trevor Zegras (16155499),Trevor Zegras,16155499,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,C,Peyton Krebs (16155501),Peyton Krebs,16155501,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,0
,,,,,,,,,,LW,Brayden Tracey (16155505),Brayden Tracey,16155505,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,C,Mario Kempe (16155248),Mario Kempe,16155248,C/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,0
,,,,,,,,,,D,Matt Bartkowski (16155258),Matt Bartkowski,16155258,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,4.3
,,,,,,,,,,C,Gabriel Dumont (16155260),Gabriel Dumont,16155260,C/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,2.37
,,,,,,,,,,D,Mark Alt (16155270),Mark Alt,16155270,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,0
,,,,,,,,,,C,Victor Rask (16155297),Victor Rask,16155297,C/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,3.49
,,,,,,,,,,C,Kyle Rau (16155303),Kyle Rau,16155303,C/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,D,Greg Pateryn (16155309),Greg Pateryn,16155309,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,5.1
,,,,,,,,,,RW,J.T. Brown (16155315),J.T. Brown,16155315,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,LW,Nikolai Prokhorkin (16155335),Nikolai Prokhorkin,16155335,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,4.47
,,,,,,,,,,D,Kurtis MacDermid (16155343),Kurtis MacDermid,16155343,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,4.31
,,,,,,,,,,LW,Tim Schaller (16155346),Tim Schaller,16155346,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,3.06
,,,,,,,,,,RW,Ryan Hartman (16155353),Ryan Hartman,16155353,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,5.5
,,,,,,,,,,D,Ian McCoshen (16155355),Ian McCoshen,16155355,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,C,Luke Johnson (16155368),Luke Johnson,16155368,C/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,0.5
,,,,,,,,,,D,Carson Soucy (16155370),Carson Soucy,16155370,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,4.73
,,,,,,,,,,LW,Colton Beck (16155374),Colton Beck,16155374,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,D,Louie Belpedio (16155386),Louie Belpedio,16155386,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,RW,Austin Wagner (16155415),Austin Wagner,16155415,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,4.46
