QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,RB,Raymond Calais (16092654),Raymond Calais,16092654,RB/FLEX,4000,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,,,,RB,Xavier Jones (16092656),Xavier Jones,16092656,RB/FLEX,4000,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,,,,QB,Steven Montez (16092600),Steven Montez,16092600,QB,4000,TB@WAS 01/09/2021 08:15PM ET,WAS,0
,,,,,,,,,,QB,Kyle Allen (16092601),Kyle Allen,16092601,QB,4000,TB@WAS 01/09/2021 08:15PM ET,WAS,11.75
,,,,,,,,,,QB,Ryan Griffin (16092602),Ryan Griffin,16092602,QB,4000,TB@WAS 01/09/2021 08:15PM ET,TB,0
,,,,,,,,,,RB,Peyton Barber (16092632),Peyton Barber,16092632,RB/FLEX,4000,TB@WAS 01/09/2021 08:15PM ET,WAS,3.93
,,,,,,,,,,RB,Lamar Miller (16092634),Lamar Miller,16092634,RB/FLEX,4000,TB@WAS 01/09/2021 08:15PM ET,WAS,2.6
,,,,,,,,,,RB,Bryce Love (16092636),Bryce Love,16092636,RB/FLEX,4000,TB@WAS 01/09/2021 08:15PM ET,WAS,0
,,,,,,,,,,RB,LeSean McCoy (16092638),LeSean McCoy,16092638,RB/FLEX,4000,TB@WAS 01/09/2021 08:15PM ET,TB,3.52
,,,,,,,,,,RB,Kenjon Barner (16092640),Kenjon Barner,16092640,RB/FLEX,4000,TB@WAS 01/09/2021 08:15PM ET,TB,0
,,,,,,,,,,RB,T.J. Logan (16092642),T.J. Logan,16092642,RB/FLEX,4000,TB@WAS 01/09/2021 08:15PM ET,TB,0
,,,,,,,,,,RB,Ke'Shawn Vaughn (16092670),Ke'Shawn Vaughn,16092670,RB/FLEX,4000,TB@WAS 01/09/2021 08:15PM ET,TB,4.05
,,,,,,,,,,WR,Cam Sims (16092698),Cam Sims,16092698,WR/FLEX,3900,TB@WAS 01/09/2021 08:15PM ET,WAS,6.37
,,,,,,,,,,TE,Rob Gronkowski (16092762),Rob Gronkowski,16092762,TE/FLEX,3900,TB@WAS 01/09/2021 08:15PM ET,TB,9.52
,,,,,,,,,,WR,Zach Pascal (16092700),Zach Pascal,16092700,WR/FLEX,3700,IND@BUF 01/09/2021 01:05PM ET,IND,8.56
,,,,,,,,,,WR,Josh Reynolds (16092702),Josh Reynolds,16092702,WR/FLEX,3600,LAR@SEA 01/09/2021 04:40PM ET,LAR,7.83
,,,,,,,,,,WR,Michael Pittman Jr. (16092704),Michael Pittman Jr.,16092704,WR/FLEX,3500,IND@BUF 01/09/2021 01:05PM ET,IND,7.84
,,,,,,,,,,DST,Bills  (16092818),Bills ,16092818,DST,3500,IND@BUF 01/09/2021 01:05PM ET,BUF,7.38
,,,,,,,,,,TE,Tyler Higbee (16092764),Tyler Higbee,16092764,TE/FLEX,3400,LAR@SEA 01/09/2021 04:40PM ET,LAR,8.55
,,,,,,,,,,WR,Scotty Miller (16092706),Scotty Miller,16092706,WR/FLEX,3400,TB@WAS 01/09/2021 08:15PM ET,TB,7.03
,,,,,,,,,,WR,Isaiah McKenzie (16092708),Isaiah McKenzie,16092708,WR/FLEX,3300,IND@BUF 01/09/2021 01:05PM ET,BUF,6.64
,,,,,,,,,,DST,Buccaneers  (16092819),Buccaneers ,16092819,DST,3300,TB@WAS 01/09/2021 08:15PM ET,TB,7.44
,,,,,,,,,,TE,Dawson Knox (16092766),Dawson Knox,16092766,TE/FLEX,3200,IND@BUF 01/09/2021 01:05PM ET,BUF,6.26
,,,,,,,,,,WR,Van Jefferson Jr. (16092710),Van Jefferson Jr.,16092710,WR/FLEX,3100,LAR@SEA 01/09/2021 04:40PM ET,LAR,3.35
,,,,,,,,,,WR,DeMichael Harris (16092748),DeMichael Harris,16092748,WR/FLEX,3000,IND@BUF 01/09/2021 01:05PM ET,IND,3.75
,,,,,,,,,,WR,Ashton Dulin (16092750),Ashton Dulin,16092750,WR/FLEX,3000,IND@BUF 01/09/2021 01:05PM ET,IND,0.94
,,,,,,,,,,WR,Dezmon Patmon (16092752),Dezmon Patmon,16092752,WR/FLEX,3000,IND@BUF 01/09/2021 01:05PM ET,IND,0
,,,,,,,,,,WR,Parris Campbell (16092754),Parris Campbell,16092754,WR/FLEX,3000,IND@BUF 01/09/2021 01:05PM ET,IND,7.35
,,,,,,,,,,WR,Andre Roberts (16092756),Andre Roberts,16092756,WR/FLEX,3000,IND@BUF 01/09/2021 01:05PM ET,BUF,0.34
,,,,,,,,,,WR,Isaiah Hodgins (16092758),Isaiah Hodgins,16092758,WR/FLEX,3000,IND@BUF 01/09/2021 01:05PM ET,BUF,0
,,,,,,,,,,WR,David Moore (16092734),David Moore,16092734,WR/FLEX,3000,LAR@SEA 01/09/2021 04:40PM ET,SEA,7.42
,,,,,,,,,,WR,Freddie Swain (16092736),Freddie Swain,16092736,WR/FLEX,3000,LAR@SEA 01/09/2021 04:40PM ET,SEA,3.15
,,,,,,,,,,WR,Penny Hart (16092738),Penny Hart,16092738,WR/FLEX,3000,LAR@SEA 01/09/2021 04:40PM ET,SEA,0.53
