first_name,last_name,position,reg_line,pp_line,game_date,team,opp,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Devin,Shore,C,4,,2019-10-03,ANA,ARI,5.5,2.8,3300,4,0.0,6.0,14.5,4.5,1.4,,
Ryan,Dzingel,W,3,2,2019-10-03,CAR,MTL,5.5,3,4400,13,0.0,3.5,11.5,4.5,1.0,,
Tomas,Tatar,W,1,2,2019-10-03,MTL,CAR,5.5,2.5,4500,23,0.0,3.5,8.0,4.5,1.0,,
Jonathan,Drouin,W,3,1,2019-10-03,MTL,CAR,5.5,2.5,4400,23,1.5,3.8,8.0,4.5,1.0,,
Brendan,Smith,W,4,,2019-10-03,NYR,WPG,6,3.1,2700,8,1.5,6.2,12.0,4.4,1.6,,
Brett,Howden,C,3,,2019-10-03,NYR,WPG,6,3.1,3100,11,0.5,6.6,14.0,4.4,1.4,,
Marcus,Johansson,C,2,2,2019-10-03,BUF,PIT,6,2.6,3600,8,0.0,4.9,15.0,4.4,1.2,,
Matt,Calvert,W,4,,2019-10-03,COL,CGY,6.5,3.4,3000,31,0.0,7.1,14.5,4.4,1.5,,
Andre,Burakovsky,W,2,,2019-10-03,COL,CGY,6.5,3.4,3400,31,0.0,5.4,18.5,4.4,1.3,,
Lawson,Crouse,W,4,,2019-10-03,ARI,ANA,5.5,2.7,3100,5,1.5,7.1,16.5,4.4,1.4,,
Charlie,McAvoy,D,1,2,2019-10-03,BOS,DAL,5.5,2.8,4500,28,0.0,2.6,6.0,4.3,1.0,,
Mathieu,Perreault,W,3,2,2019-10-03,WPG,NYR,6,2.9,3500,15,0.0,3.4,9.0,4.3,1.2,,
Dryden,Hunt,W,4,,2019-10-03,FLA,TBL,6.5,2.8,2600,16,0.5,7.5,19.5,4.3,1.7,,
Max,Jones,W,3,,2019-10-03,ANA,ARI,5.5,2.8,2900,2,3.0,9.3,21.0,4.3,1.5,,
Jakob,Chychrun,D,3,2,2019-10-03,ARI,ANA,5.5,2.7,3900,22,1.0,3.6,6.5,4.3,1.1,,
Austin,Czarnik,W,4,2,2019-10-03,CGY,COL,6.5,3.1,2600,1,0.0,4.4,6.5,4.2,1.6,,
J.T.,Compher,C,3,2,2019-10-03,COL,CGY,6.5,3.4,3700,21,0.0,7.3,29.0,4.2,1.1,,
Marco,Scandella,D,3,,2019-10-03,BUF,PIT,6,2.6,3100,25,0.0,5.6,14.5,4.2,1.4,,
MacKenzie,Weegar,D,3,,2019-10-03,FLA,TBL,6.5,2.8,2800,27,0.0,4.6,8.0,4.2,1.5,,
Jordan,Oesterle,D,3,,2019-10-03,ARI,ANA,5.5,2.7,3800,22,2.0,3.8,6.5,4.2,1.1,,
Nino,Niederreiter,W,1,1,2019-10-03,CAR,MTL,5.5,3,4500,13,0.5,3.1,7.5,4.2,0.9,,
Victor,Mete,D,1,,2019-10-03,MTL,CAR,5.5,2.5,3300,5,0.0,3.7,7.5,4.1,1.2,,
Mattias,Janmark,W,4,,2019-10-03,DAL,BOS,5.5,2.8,2700,6,0.0,7.1,12.5,4.1,1.5,,
Brett,Kulak,D,3,,2019-10-03,MTL,CAR,5.5,2.5,2900,5,0.5,7.1,18.0,4.1,1.4,,
Adam,Lowry,C,3,,2019-10-03,WPG,NYR,6,2.9,3400,10,0.0,3.7,11.5,4.1,1.2,,
Michael,Del Zotto,D,3,,2019-10-03,ANA,ARI,5.5,2.8,3100,10,0.5,3.9,7.0,4.1,1.3,,
Michael,Grabner,W,3,,2019-10-03,ARI,ANA,5.5,2.7,4700,5,0.0,2.3,6.5,4.0,0.9,,
Troy,Terry,W,1,1,2019-10-03,ANA,ARI,5.5,2.8,3300,2,0.0,3.1,10.0,4.0,1.2,,
Paul,Byron,W,4,,2019-10-03,MTL,CAR,5.5,2.5,2800,23,0.0,6.0,11.5,4.0,1.4,,
Carter,Rowney,W,4,,2019-10-03,ANA,ARI,5.5,2.8,3000,2,0.0,6.2,15.0,3.9,1.3,,
Brad,Hunt,D,3,2,2019-10-03,MIN,NSH,5.5,2.4,2800,1,2.0,3.9,7.0,3.9,1.4,,
Jordan,Greenway,W,3,,2019-10-03,MIN,NSH,5.5,2.4,3400,28,0.0,3.1,7.0,3.9,1.1,,
Marcus,Foligno,W,4,,2019-10-03,MIN,NSH,5.5,2.4,2600,28,0.5,5.0,12.0,3.8,1.5,,
Libor,Hajek,D,3,,2019-10-03,NYR,WPG,6,3.1,2900,26,1.5,5.0,13.0,3.8,1.3,,
Luke,Kunin,C,3,,2019-10-03,MIN,NSH,5.5,2.4,2900,14,0.0,6.7,22.0,3.8,1.3,,
Denis,Malgin,W,3,,2019-10-03,FLA,TBL,6.5,2.8,2900,16,1.5,4.2,8.0,3.8,1.3,,
Samuel,Girard,D,1,2,2019-10-03,COL,CGY,6.5,3.4,3700,29,0.5,2.9,6.0,3.7,1.0,,
Matt,Nieto,W,3,,2019-10-03,COL,CGY,6.5,3.4,3000,31,0.5,5.4,11.5,3.7,1.2,,
Zemgus,Girgensons,W,4,,2019-10-03,BUF,PIT,6,2.6,2800,25,0.0,4.6,11.5,3.7,1.3,,
