C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,RW,Filip Zadina (16216552),Filip Zadina,16216552,W/UTIL,4200,DET@CHI 01/22/2021 08:00PM ET,DET,4.22
,,,,,,,,,,D,Mattias Ekholm (16216245),Mattias Ekholm,16216245,D/UTIL,4200,NSH@DAL 01/22/2021 08:30PM ET,NSH,4.83
,,,,,,,,,,C,Roope Hintz (16216406),Roope Hintz,16216406,C/UTIL,4200,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,D,Jared Spurgeon (16216234),Jared Spurgeon,16216234,D/UTIL,4200,SJ@MIN 01/22/2021 08:00PM ET,MIN,4.62
,,,,,,,,,,D,Danny DeKeyser (16216310),Danny DeKeyser,16216310,D/UTIL,4100,DET@CHI 01/22/2021 08:00PM ET,DET,2.75
,,,,,,,,,,D,Mark Borowiecki (16216238),Mark Borowiecki,16216238,D/UTIL,4100,NSH@DAL 01/22/2021 08:30PM ET,NSH,5.33
,,,,,,,,,,RW,Colton Sissons (16216294),Colton Sissons,16216294,W/UTIL,4100,NSH@DAL 01/22/2021 08:30PM ET,NSH,6.13
,,,,,,,,,,C,Robby Fabbri (16216365),Robby Fabbri,16216365,C/UTIL,4000,DET@CHI 01/22/2021 08:00PM ET,DET,9.2
,,,,,,,,,,D,Esa Lindell (16216296),Esa Lindell,16216296,D/UTIL,4000,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,D,Adam Boqvist (16216554),Adam Boqvist,16216554,D/UTIL,3900,DET@CHI 01/22/2021 08:00PM ET,CHI,5.15
,,,,,,,,,,LW,Rocco Grimaldi (16216259),Rocco Grimaldi,16216259,W/UTIL,3900,NSH@DAL 01/22/2021 08:30PM ET,NSH,6.5
,,,,,,,,,,C,Joel Eriksson Ek (16216402),Joel Eriksson Ek,16216402,C/UTIL,3900,SJ@MIN 01/22/2021 08:00PM ET,MIN,12.9
,,,,,,,,,,C,Erik Haula (16216312),Erik Haula,16216312,C/UTIL,3800,NSH@DAL 01/22/2021 08:30PM ET,NSH,5.03
,,,,,,,,,,C,Brad Richardson (16216110),Brad Richardson,16216110,C/UTIL,3700,NSH@DAL 01/22/2021 08:30PM ET,NSH,7.3
,,,,,,,,,,RW,Kevin Labanc (16216386),Kevin Labanc,16216386,W/UTIL,3700,SJ@MIN 01/22/2021 08:00PM ET,SJ,9.65
