PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
,,,,,,,,,SF/PF,Jared Dudley (16318716),Jared Dudley,16318716,SF/PF/F/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,LAL,2.08
,,,,,,,,,SG,Wesley Matthews (16318720),Wesley Matthews,16318720,SG/G/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,LAL,9.21
,,,,,,,,,PF/C,Markieff Morris (16318732),Markieff Morris,16318732,PF/C/F/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,LAL,10.83
,,,,,,,,,SF/PF,Alfonzo McKinnie (16318755),Alfonzo McKinnie,16318755,SF/PF/F/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,LAL,2.8
,,,,,,,,,PG,Quinn Cook (16318761),Quinn Cook,16318761,PG/G/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,LAL,3.04
,,,,,,,,,PF,Greg Whittington (16318776),Greg Whittington,16318776,PF/F/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,DEN,0
,,,,,,,,,PF,Devontae Cacok (16318873),Devontae Cacok,16318873,PF/F/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,LAL,2
,,,,,,,,,PG,Markus Howard (16318876),Markus Howard,16318876,PG/G/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,DEN,1.86
,,,,,,,,,PF,Kostas Antetokounmpo (16318888),Kostas Antetokounmpo,16318888,PF/F/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,LAL,8
,,,,,,,,,C,Isaiah Hartenstein (16318894),Isaiah Hartenstein,16318894,C/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,DEN,10.64
,,,,,,,,,SF,Vlatko Cancar (16318896),Vlatko Cancar,16318896,SF/F/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,DEN,1.25
,,,,,,,,,C,Bol Bol (16318927),Bol Bol,16318927,C/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,DEN,3.22
,,,,,,,,,PF/C,Zeke Nnaji (16318935),Zeke Nnaji,16318935,PF/C/F/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,DEN,1.36
,,,,,,,,,PG/SG,R.J. Hampton (16318939),R.J. Hampton,16318939,PG/SG/G/UTIL,3000,DEN@LAL 02/04/2021 10:00PM ET,DEN,1.62
,,,,,,,,,PG,Tim Frazier (16318741),Tim Frazier,16318741,PG/G/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,MEM,6.67
,,,,,,,,,SG,Ben McLemore (16318773),Ben McLemore,16318773,SG/G/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,HOU,13
,,,,,,,,,PG,Dante Exum (16318819),Dante Exum,16318819,PG/G/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,HOU,12.21
,,,,,,,,,PG/SF,Justise Winslow (16318832),Justise Winslow,16318832,PG/SF/F/G/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,MEM,0
,,,,,,,,,SG/SF,Sean McDermott (16318853),Sean McDermott,16318853,SG/SF/F/G/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,MEM,4.75
,,,,,,,,,PG,Chris Clemons (16318870),Chris Clemons,16318870,PG/G/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,HOU,0
,,,,,,,,,PF,Killian Tillie (16318891),Killian Tillie,16318891,PF/F/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,MEM,0
,,,,,,,,,PF/C,Jontay Porter (16318906),Jontay Porter,16318906,PF/C/F/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,MEM,0
,,,,,,,,,PF,Rodions Kurucs (16318918),Rodions Kurucs,16318918,PF/F/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,HOU,3.42
,,,,,,,,,SG,Mason Jones (16318924),Mason Jones,16318924,SG/G/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,HOU,13.02
,,,,,,,,,SG,Brodric Thomas (16318932),Brodric Thomas,16318932,SG/G/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,HOU,5.88
,,,,,,,,,PF,KJ Martin Jr. (16318943),KJ Martin Jr.,16318943,PF/F/UTIL,3000,HOU@MEM 02/04/2021 09:00PM ET,HOU,9.25
