C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,G,Andrew Shortridge (16262454),Andrew Shortridge,16262454,G,6500,SJ@COL 01/28/2021 09:00PM ET,SJ,0
,,,,,,,,,,G,Anthony Stolarz (16262395),Anthony Stolarz,16262395,G,6500,ANH@ARI 01/28/2021 09:00PM ET,ANH,0
,,,,,,,,,,G,Ivan Prosvetov (16262428),Ivan Prosvetov,16262428,G,6500,ANH@ARI 01/28/2021 09:00PM ET,ARI,0
,,,,,,,,,,G,Olle Eriksson Ek (16262431),Olle Eriksson Ek,16262431,G,6500,ANH@ARI 01/28/2021 09:00PM ET,ANH,0
,,,,,,,,,,G,Joel Hofer (16262391),Joel Hofer,16262391,G,6500,Postponed,STL,0
,,,,,,,,,,G,Jon Gillies (16262421),Jon Gillies,16262421,G,6500,Postponed,STL,0
,,,,,,,,,,G,Oscar Dansk (16262439),Oscar Dansk,16262439,G,6500,Postponed,VGK,0
,,,,,,,,,,D,Jeff Petry (16261576),Jeff Petry,16261576,D/UTIL,6500,CGY@MON 01/28/2021 07:00PM ET,MON,13.82
,,,,,,,,,,G,Charlie Lindgren (16262393),Charlie Lindgren,16262393,G,6500,CGY@MON 01/28/2021 07:00PM ET,MON,0
,,,,,,,,,,G,Louis Domingue (16262396),Louis Domingue,16262396,G,6500,CGY@MON 01/28/2021 07:00PM ET,CGY,0
,,,,,,,,,,G,Vasili Demchenko (16262424),Vasili Demchenko,16262424,G,6500,CGY@MON 01/28/2021 07:00PM ET,MON,0
,,,,,,,,,,G,Cayden Primeau (16262425),Cayden Primeau,16262425,G,6500,CGY@MON 01/28/2021 07:00PM ET,MON,0
,,,,,,,,,,G,Michael McNiven (16262426),Michael McNiven,16262426,G,6500,CGY@MON 01/28/2021 07:00PM ET,MON,0
,,,,,,,,,,G,Garret Sparks (16262432),Garret Sparks,16262432,G,6500,CGY@MON 01/28/2021 07:00PM ET,CGY,0
,,,,,,,,,,G,Dustin Wolf (16262433),Dustin Wolf,16262433,G,6500,CGY@MON 01/28/2021 07:00PM ET,CGY,0
,,,,,,,,,,G,Artyom Zagidulin (16262434),Artyom Zagidulin,16262434,G,6500,CGY@MON 01/28/2021 07:00PM ET,CGY,0
,,,,,,,,,,G,Troy Grosenick (16262400),Troy Grosenick,16262400,G,6500,TOR@EDM 01/28/2021 10:00PM ET,EDM,0
,,,,,,,,,,G,Joseph Woll (16262411),Joseph Woll,16262411,G,6500,TOR@EDM 01/28/2021 10:00PM ET,TOR,0
,,,,,,,,,,G,Mike Smith (16262416),Mike Smith,16262416,G,6500,TOR@EDM 01/28/2021 10:00PM ET,EDM,0
,,,,,,,,,,G,Jake Kielly (16262427),Jake Kielly,16262427,G,6500,OTT@VAN 01/28/2021 10:00PM ET,VAN,0
,,,,,,,,,,G,Filip Gustavsson (16262452),Filip Gustavsson,16262452,G,6500,OTT@VAN 01/28/2021 10:00PM ET,OTT,0
,,,,,,,,,,D,Adam Fox (16261578),Adam Fox,16261578,D/UTIL,6400,NYR@BUF 01/28/2021 07:00PM ET,NYR,13.25
,,,,,,,,,,LW,Tyler Toffoli (16260650),Tyler Toffoli,16260650,W/UTIL,6400,CGY@MON 01/28/2021 07:00PM ET,MON,18.18
,,,,,,,,,,C,John Tavares (16260138),John Tavares,16260138,C/UTIL,6400,TOR@EDM 01/28/2021 10:00PM ET,TOR,12.08
,,,,,,,,,,LW,Jake Guentzel (16260652),Jake Guentzel,16260652,W/UTIL,6300,PIT@BOS 01/28/2021 07:00PM ET,PIT,8.83
,,,,,,,,,,C,Mathew Barzal (16260140),Mathew Barzal,16260140,C/UTIL,6300,NYI@WAS 01/28/2021 07:00PM ET,NYI,13.18
,,,,,,,,,,D,John Klingberg (16261580),John Klingberg,16261580,D/UTIL,6300,DET@DAL 01/28/2021 08:30PM ET,DAL,15.53
,,,,,,,,,,RW,Kevin Fiala (16260654),Kevin Fiala,16260654,W/UTIL,6300,LA@MIN 01/28/2021 08:00PM ET,MIN,10.91
,,,,,,,,,,D,Aaron Ekblad (16261582),Aaron Ekblad,16261582,D/UTIL,6200,FLA@CLS 01/28/2021 07:00PM ET,FLA,14.4
,,,,,,,,,,RW,Denis Gurianov (16260656),Denis Gurianov,16260656,W/UTIL,6200,DET@DAL 01/28/2021 08:30PM ET,DAL,16
,,,,,,,,,,C,Anze Kopitar (16260142),Anze Kopitar,16260142,C/UTIL,6200,LA@MIN 01/28/2021 08:00PM ET,LA,12.64
,,,,,,,,,,C,Elias Lindholm (16260144),Elias Lindholm,16260144,C/UTIL,6200,CGY@MON 01/28/2021 07:00PM ET,CGY,11.46
,,,,,,,,,,LW,Johnny Gaudreau (16260658),Johnny Gaudreau,16260658,W/UTIL,6200,CGY@MON 01/28/2021 07:00PM ET,CGY,13.4
,,,,,,,,,,C,Kevin Hayes (16260146),Kevin Hayes,16260146,C/UTIL,6100,PHI@NJ 01/28/2021 07:00PM ET,PHI,11.07
,,,,,,,,,,LW,Anders Lee (16260662),Anders Lee,16260662,W/UTIL,6100,NYI@WAS 01/28/2021 07:00PM ET,NYI,9.57
,,,,,,,,,,RW,Mark Stone (16260660),Mark Stone,16260660,W/UTIL,6100,Postponed,VGK,13.43
