QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,WR,Brian Thomas Jr. (36359632),Brian Thomas Jr.,36359632,WR/FLEX,6400,GB@JAX 10/27/2024 01:00PM ET,JAX,15.97
,,,,,,,,,,QB,Kyler Murray (36359234),Kyler Murray,36359234,QB,6400,ARI@MIA 10/27/2024 01:00PM ET,ARI,18.39
,,,,,,,,,,RB,Brian Robinson Jr. (36359340),Brian Robinson Jr.,36359340,RB/FLEX,6400,CHI@WAS 10/27/2024 04:25PM ET,WAS,16.07
,,,,,,,,,,WR,Chris Olave (36359630),Chris Olave,36359630,WR/FLEX,6400,NO@LAC 10/27/2024 04:05PM ET,NO,9.45
,,,,,,,,,,WR,Tank Dell (36359636),Tank Dell,36359636,WR/FLEX,6300,IND@HOU 10/27/2024 01:00PM ET,HOU,8.07
,,,,,,,,,,RB,Tank Bigsby (36359346),Tank Bigsby,36359346,RB/FLEX,6300,GB@JAX 10/27/2024 01:00PM ET,JAX,10.76
,,,,,,,,,,WR,Diontae Johnson (36359634),Diontae Johnson,36359634,WR/FLEX,6300,CAR@DEN 10/27/2024 04:25PM ET,CAR,12.47
,,,,,,,,,,RB,Kareem Hunt (36359344),Kareem Hunt,36359344,RB/FLEX,6300,KC@LV 10/27/2024 04:25PM ET,KC,18.17
,,,,,,,,,,RB,De'Von Achane (36359350),De'Von Achane,36359350,RB/FLEX,6200,ARI@MIA 10/27/2024 01:00PM ET,MIA,13.4
,,,,,,,,,,QB,Kirk Cousins (36359235),Kirk Cousins,36359235,QB,6200,ATL@TB 10/27/2024 01:00PM ET,ATL,15.34
,,,,,,,,,,RB,D'Andre Swift (36359348),D'Andre Swift,36359348,RB/FLEX,6200,CHI@WAS 10/27/2024 04:25PM ET,CHI,15.13
,,,,,,,,,,WR,Xavier Worthy (36359638),Xavier Worthy,36359638,WR/FLEX,6200,KC@LV 10/27/2024 04:25PM ET,KC,10.58
,,,,,,,,,,RB,Nick Chubb (36359352),Nick Chubb,36359352,RB/FLEX,6100,BAL@CLE 10/27/2024 01:00PM ET,CLE,10.2
,,,,,,,,,,QB,Tua Tagovailoa (36359236),Tua Tagovailoa,36359236,QB,6100,ARI@MIA 10/27/2024 01:00PM ET,MIA,15.06
,,,,,,,,,,WR,Jaxon Smith-Njigba (36359640),Jaxon Smith-Njigba,36359640,WR/FLEX,6100,BUF@SEA 10/27/2024 04:05PM ET,SEA,11.33
,,,,,,,,,,TE,Brock Bowers (36360092),Brock Bowers,36360092,TE/FLEX,6100,KC@LV 10/27/2024 04:25PM ET,LV,14.56
,,,,,,,,,,WR,Michael Pittman Jr. (36359642),Michael Pittman Jr.,36359642,WR/FLEX,6000,IND@HOU 10/27/2024 01:00PM ET,IND,10.94
,,,,,,,,,,RB,Rhamondre Stevenson (36359356),Rhamondre Stevenson,36359356,RB/FLEX,6000,NYJ@NE 10/27/2024 01:00PM ET,NE,12.63
,,,,,,,,,,QB,Caleb Williams (36359237),Caleb Williams,36359237,QB,6000,CHI@WAS 10/27/2024 04:25PM ET,CHI,17.93
,,,,,,,,,,WR,Amari Cooper (36359644),Amari Cooper,36359644,WR/FLEX,6000,BUF@SEA 10/27/2024 04:05PM ET,BUF,11.09
,,,,,,,,,,RB,Javonte Williams (36359354),Javonte Williams,36359354,RB/FLEX,6000,CAR@DEN 10/27/2024 04:25PM ET,DEN,11.39
,,,,,,,,,,TE,Travis Kelce (36360094),Travis Kelce,36360094,TE/FLEX,6000,KC@LV 10/27/2024 04:25PM ET,KC,8.77
,,,,,,,,,,WR,Jameson Williams (36359648),Jameson Williams,36359648,WR/FLEX,5900,TEN@DET 10/27/2024 01:00PM ET,DET,12.88
,,,,,,,,,,RB,Travis Etienne Jr. (36359360),Travis Etienne Jr.,36359360,RB/FLEX,5900,GB@JAX 10/27/2024 01:00PM ET,JAX,9.85
,,,,,,,,,,RB,Raheem Mostert (36359358),Raheem Mostert,36359358,RB/FLEX,5900,ARI@MIA 10/27/2024 01:00PM ET,MIA,6.57
,,,,,,,,,,QB,Geno Smith (36359238),Geno Smith,36359238,QB,5900,BUF@SEA 10/27/2024 04:05PM ET,SEA,19.5
,,,,,,,,,,WR,Khalil Shakir (36359646),Khalil Shakir,36359646,WR/FLEX,5900,BUF@SEA 10/27/2024 04:05PM ET,BUF,11.77
,,,,,,,,,,QB,Joe Flacco (36359239),Joe Flacco,36359239,QB,5800,IND@HOU 10/27/2024 01:00PM ET,IND,20.08
,,,,,,,,,,QB,Anthony Richardson (36359240),Anthony Richardson,36359240,QB,5800,IND@HOU 10/27/2024 01:00PM ET,IND,12.4
,,,,,,,,,,RB,Bucky Irving (36359362),Bucky Irving,36359362,RB/FLEX,5800,ATL@TB 10/27/2024 01:00PM ET,TB,11.07
,,,,,,,,,,WR,Darnell Mooney (36359652),Darnell Mooney,36359652,WR/FLEX,5800,ATL@TB 10/27/2024 01:00PM ET,ATL,13.49
,,,,,,,,,,WR,Keenan Allen (36359650),Keenan Allen,36359650,WR/FLEX,5800,CHI@WAS 10/27/2024 04:25PM ET,CHI,9.8
,,,,,,,,,,RB,Chase Brown (36359364),Chase Brown,36359364,RB/FLEX,5800,PHI@CIN 10/27/2024 01:00PM ET,CIN,11.23
,,,,,,,,,,WR,Romeo Doubs (36359654),Romeo Doubs,36359654,WR/FLEX,5700,GB@JAX 10/27/2024 01:00PM ET,GB,11.03
,,,,,,,,,,QB,Aaron Rodgers (36359241),Aaron Rodgers,36359241,QB,5700,NYJ@NE 10/27/2024 01:00PM ET,NYJ,15.13
,,,,,,,,,,RB,Rachaad White (36359366),Rachaad White,36359366,RB/FLEX,5700,ATL@TB 10/27/2024 01:00PM ET,TB,12.92
