first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection
Jordan,Greenway,W,,3,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,2600,23,0,4,13.5,3,1.15
Radim,Simek,D,,x,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,2.5,5.5,2.9,1.16
Paul,Byron,W,,4,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,2500,11,0,2.6,7,2.9,1.16
John,Hayden,W,,0,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2500,16,0,3.2,13,2.9,1.16
Jason,Demers,D,,x,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2700,2,0,2.4,6.5,2.9,1.07
Stefan,Noesen,W,,3,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,14,0,4,14.5,2.8,1.12
Jay,Beagle,C,,4,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,2500,22,0,0.7,2,2.8,1.12
Patrick,Marleau,C,,4,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,0.6,1.5,2.7,1.08
Derek,Grant,C,,4,1,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2600,27,0.5,2.3,4,2.7,1.04
Johan,Larsson,C,,4,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2500,2,0.5,2.4,3.5,2.7,1.08
Antoine,Roussel,W,,3,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,2500,5,0,2,6.5,2.5,1
Dylan,Gambrell,C,,3,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,1.8,3.5,2.5,1
Jacob,Larsson,D,,x,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,15,0,1.6,5,2.4,0.96
Nikolai,Knyzhov,D,,x,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,1.8,6,2.4,0.96
Ryan,Reaves,W,,4,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2500,31,0,3.3,6,2.4,0.96
Carson,Soucy,D,,x,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,2500,17,0,1.1,4,2.1,0.84
Jake,Evans,C,,4,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,2500,30,0,3.7,17,2,0.8
Keegan,Kolesar,C,,4,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2500,26,0,0.5,1.5,1.3,0.52
Olli,Juolevi,D,,x,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,2500,4,0,1.6,3.5,0.4,0.16
Barrett,Hayton,W,O,1,1,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2800,16,0,2.7,10,0,0
Joel,Hofer,G,O,0,,#NAME?,1/20/2021,Late,STL,SJS,-1.5,6,3.4,6500,13,,,,0,0
Ivan,Prosvetov,G,O,0,,#NAME?,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,6500,14,,,,0,0
Karl,Alzner,D,O,x,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,2500,27,0.5,2,3.5,0,0
Andrew,Shortridge,G,O,0,,#NAME?,1/20/2021,Late,SJS,STL,1.5,6,2.6,6500,20,,,,0,0
Devan,Dubnyk,G,O,1,,#NAME?,1/20/2021,Late,SJS,STL,1.5,6,2.6,6900,20,1.4,5.9,17.2,0,0
