CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,WR,Cordarrelle Patterson (16111729),Cordarrelle Patterson,16111729,CPT,1500,CHI@NO 01/10/2021 04:40PM ET,CHI,4.34
,,,,,,,WR,Austin Carr (16111730),Austin Carr,16111730,CPT,1200,CHI@NO 01/10/2021 04:40PM ET,NO,2.34
,,,,,,,WR,Cordarrelle Patterson (16111680),Cordarrelle Patterson,16111680,FLEX,1000,CHI@NO 01/10/2021 04:40PM ET,CHI,4.34
,,,,,,,TE,Adam Trautman (16111731),Adam Trautman,16111731,CPT,900,CHI@NO 01/10/2021 04:40PM ET,NO,3.81
,,,,,,,WR,Austin Carr (16111681),Austin Carr,16111681,FLEX,800,CHI@NO 01/10/2021 04:40PM ET,NO,2.34
,,,,,,,TE,Adam Trautman (16111682),Adam Trautman,16111682,FLEX,600,CHI@NO 01/10/2021 04:40PM ET,NO,3.81
,,,,,,,RB,Tony Jones Jr. (16111732),Tony Jones Jr.,16111732,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,1.3
,,,,,,,WR,Tommylee Lewis (16111733),Tommylee Lewis,16111733,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,0.58
,,,,,,,WR,Jake Kumerow (16111734),Jake Kumerow,16111734,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,9.2
,,,,,,,WR,Juwan Johnson (16111735),Juwan Johnson,16111735,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,1.58
,,,,,,,RB,Tarik Cohen (16111736),Tarik Cohen,16111736,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,5.83
,,,,,,,WR,DeAndre Carter (16111737),DeAndre Carter,16111737,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,0.06
,,,,,,,WR,Dwayne Harris (16111738),Dwayne Harris,16111738,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,-0.33
,,,,,,,RB,Dwayne Washington (16111739),Dwayne Washington,16111739,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,0.25
,,,,,,,TE,Josh Hill (16111740),Josh Hill,16111740,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,2.07
,,,,,,,WR,Riley Ridley (16111741),Riley Ridley,16111741,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,3.95
,,,,,,,RB,Ryan Nall (16111742),Ryan Nall,16111742,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,2.3
,,,,,,,TE,Demetrius Harris (16111743),Demetrius Harris,16111743,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,1.04
,,,,,,,TE,Darion Clark (16111744),Darion Clark,16111744,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,0
,,,,,,,TE,Zach Wood (16111745),Zach Wood,16111745,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,0
,,,,,,,WR,Deonte Harris (16111746),Deonte Harris,16111746,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,5.41
,,,,,,,RB,Artavis Pierce (16111747),Artavis Pierce,16111747,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,2.35
,,,,,,,WR,Javon Wims (16111748),Javon Wims,16111748,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,1.54
,,,,,,,WR,Bennie Fowler III (16111749),Bennie Fowler III,16111749,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,1.55
,,,,,,,TE,J.P. Holtz (16111750),J.P. Holtz,16111750,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,0
,,,,,,,TE,Patrick Scales (16111751),Patrick Scales,16111751,CPT,300,CHI@NO 01/10/2021 04:40PM ET,CHI,0
,,,,,,,TE,Garrett Griffin (16111752),Garrett Griffin,16111752,CPT,300,CHI@NO 01/10/2021 04:40PM ET,NO,0
,,,,,,,RB,Tony Jones Jr. (16111683),Tony Jones Jr.,16111683,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,1.3
,,,,,,,WR,Tommylee Lewis (16111684),Tommylee Lewis,16111684,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,0.58
,,,,,,,WR,Jake Kumerow (16111685),Jake Kumerow,16111685,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,9.2
,,,,,,,WR,Juwan Johnson (16111686),Juwan Johnson,16111686,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,1.58
,,,,,,,RB,Tarik Cohen (16111687),Tarik Cohen,16111687,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,5.83
,,,,,,,WR,DeAndre Carter (16111688),DeAndre Carter,16111688,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,0.06
,,,,,,,WR,Dwayne Harris (16111689),Dwayne Harris,16111689,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,-0.33
,,,,,,,RB,Dwayne Washington (16111690),Dwayne Washington,16111690,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,0.25
,,,,,,,TE,Josh Hill (16111691),Josh Hill,16111691,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,2.07
,,,,,,,WR,Riley Ridley (16111692),Riley Ridley,16111692,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,3.95
,,,,,,,RB,Ryan Nall (16111693),Ryan Nall,16111693,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,2.3
,,,,,,,TE,Demetrius Harris (16111694),Demetrius Harris,16111694,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,1.04
,,,,,,,TE,Darion Clark (16111695),Darion Clark,16111695,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,0
,,,,,,,TE,Zach Wood (16111696),Zach Wood,16111696,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,0
,,,,,,,WR,Deonte Harris (16111697),Deonte Harris,16111697,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,5.41
,,,,,,,RB,Artavis Pierce (16111698),Artavis Pierce,16111698,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,2.35
,,,,,,,WR,Javon Wims (16111699),Javon Wims,16111699,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,1.54
,,,,,,,WR,Bennie Fowler III (16111700),Bennie Fowler III,16111700,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,1.55
,,,,,,,TE,J.P. Holtz (16111701),J.P. Holtz,16111701,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,0
,,,,,,,TE,Patrick Scales (16111702),Patrick Scales,16111702,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,CHI,0
,,,,,,,TE,Garrett Griffin (16111703),Garrett Griffin,16111703,FLEX,200,CHI@NO 01/10/2021 04:40PM ET,NO,0
