PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
16278399,16278934,16278467,16278858,16278911,16278456,16278463,16278486,,PF,Jayson Tatum (16278427),Jayson Tatum,16278427,PF/F/UTIL,8500,LAL@BOS 01/30/2021 08:30PM ET,BOS,45.25
16278598,16278681,16278641,16278858,16278463,16278496,16278592,16278399,,SF,Khris Middleton (16278430),Khris Middleton,16278430,SF/F/UTIL,8500,MIL@CHA 01/30/2021 08:00PM ET,MIL,41.71
16278524,16278681,16278467,16278858,16278891,16278399,16278463,16278510,,SG,Devin Booker (16278433),Devin Booker,16278433,SG/G/UTIL,8300,PHO@DAL 01/30/2021 09:00PM ET,PHO,35.41
,,,,,,,,,PG,De'Aaron Fox (16278436),De'Aaron Fox,16278436,PG/G/UTIL,8200,SAC@MIA 01/30/2021 08:00PM ET,SAC,37.17
,,,,,,,,,SF/PF,Brandon Ingram (16278439),Brandon Ingram,16278439,SF/PF/F/UTIL,8100,HOU@NO 01/30/2021 08:00PM ET,NO,40.91
,,,,,,,,,SF,Jaylen Brown (16278443),Jaylen Brown,16278443,SF/F/UTIL,8000,LAL@BOS 01/30/2021 08:30PM ET,BOS,43.76
,,,,,,,,,PG/SG,Victor Oladipo (16278446),Victor Oladipo,16278446,PG/SG/G/UTIL,7900,HOU@NO 01/30/2021 08:00PM ET,HOU,38.2
,,,,,,,,,C,Deandre Ayton (16278450),Deandre Ayton,16278450,C/UTIL,7800,PHO@DAL 01/30/2021 09:00PM ET,PHO,35.44
,,,,,,,,,SF/PF,Jerami Grant (16278452),Jerami Grant,16278452,SF/PF/F/UTIL,7800,DET@GS 01/30/2021 10:00PM ET,DET,40.83
,,,,,,,,,PG,Chris Paul (16278456),Chris Paul,16278456,PG/G/UTIL,7600,PHO@DAL 01/30/2021 09:00PM ET,PHO,35.52
,,,,,,,,,PF/C,Kristaps Porzingis (16278459),Kristaps Porzingis,16278459,PF/C/F/UTIL,7500,PHO@DAL 01/30/2021 09:00PM ET,DAL,34.17
,,,,,,,,,PF/C,Zion Williamson (16278463),Zion Williamson,16278463,PF/C/F/UTIL,7400,HOU@NO 01/30/2021 08:00PM ET,NO,38.95
,,,,,,,,,SF/PF,Gordon Hayward (16278467),Gordon Hayward,16278467,SF/PF/F/UTIL,7300,MIL@CHA 01/30/2021 08:00PM ET,CHA,38.61
,,,,,,,,,SF,Jimmy Butler (16278471),Jimmy Butler,16278471,SF/F/UTIL,7300,SAC@MIA 01/30/2021 08:00PM ET,MIA,35.71
,,,,,,,,,PG,Jrue Holiday (16278478),Jrue Holiday,16278478,PG/G/UTIL,7200,MIL@CHA 01/30/2021 08:00PM ET,MIL,34.65
,,,,,,,,,PG/SG,Tyler Herro (16278474),Tyler Herro,16278474,PG/SG/G/UTIL,7200,SAC@MIA 01/30/2021 08:00PM ET,MIA,33.07
,,,,,,,,,C,Enes Kanter (16278484),Enes Kanter,16278484,C/UTIL,7100,POR@CHI 01/30/2021 08:00PM ET,POR,28.15
,,,,,,,,,PG,Ja Morant (16278481),Ja Morant,16278481,PG/G/UTIL,7100,MEM@SA 01/30/2021 08:30PM ET,MEM,38.1
,,,,,,,,,SF/PF,DeMar DeRozan (16278486),DeMar DeRozan,16278486,SF/PF/F/UTIL,7000,MEM@SA 01/30/2021 08:30PM ET,SA,40.03
,,,,,,,,,PG/SG,Coby White (16278490),Coby White,16278490,PG/SG/G/UTIL,6900,POR@CHI 01/30/2021 08:00PM ET,CHI,30.91
,,,,,,,,,C,Jonas Valanciunas (16278494),Jonas Valanciunas,16278494,C/UTIL,6900,MEM@SA 01/30/2021 08:30PM ET,MEM,33.9
,,,,,,,,,PG,Devonte' Graham (16278499),Devonte' Graham,16278499,PG/G/UTIL,6800,MIL@CHA 01/30/2021 08:00PM ET,CHA,31.03
,,,,,,,,,PG,John Wall (16278496),John Wall,16278496,PG/G/UTIL,6800,HOU@NO 01/30/2021 08:00PM ET,HOU,34.42
,,,,,,,,,C,DeMarcus Cousins (16278502),DeMarcus Cousins,16278502,C/UTIL,6800,HOU@NO 01/30/2021 08:00PM ET,HOU,25.46
,,,,,,,,,PG/SG,Terry Rozier (16278506),Terry Rozier,16278506,PG/SG/G/UTIL,6700,MIL@CHA 01/30/2021 08:00PM ET,CHA,32.78
,,,,,,,,,C,Richaun Holmes (16278504),Richaun Holmes,16278504,C/UTIL,6700,SAC@MIA 01/30/2021 08:00PM ET,SAC,30.76
,,,,,,,,,PF/C,Lauri Markkanen (16278510),Lauri Markkanen,16278510,PF/C/F/UTIL,6600,POR@CHI 01/30/2021 08:00PM ET,CHI,31.12
,,,,,,,,,PG/SG,Delon Wright (16278514),Delon Wright,16278514,PG/SG/G/UTIL,6600,DET@GS 01/30/2021 10:00PM ET,DET,25.08
,,,,,,,,,PG,Kemba Walker (16278518),Kemba Walker,16278518,PG/G/UTIL,6500,LAL@BOS 01/30/2021 08:30PM ET,BOS,30.05
,,,,,,,,,PF,Jaren Jackson Jr. (16278521),Jaren Jackson Jr.,16278521,PF/F/UTIL,6500,MEM@SA 01/30/2021 08:30PM ET,MEM,0
,,,,,,,,,SG/SF,Andrew Wiggins (16278527),Andrew Wiggins,16278527,SG/SF/F/G/UTIL,6300,DET@GS 01/30/2021 10:00PM ET,GS,31.26
,,,,,,,,,SG/SF,Buddy Hield (16278532),Buddy Hield,16278532,SG/SF/F/G/UTIL,6300,SAC@MIA 01/30/2021 08:00PM ET,SAC,29.57
,,,,,,,,,PG,Goran Dragic (16278537),Goran Dragic,16278537,PG/G/UTIL,6300,SAC@MIA 01/30/2021 08:00PM ET,MIA,28.07
,,,,,,,,,PG,Dejounte Murray (16278524),Dejounte Murray,16278524,PG/G/UTIL,6300,MEM@SA 01/30/2021 08:30PM ET,SA,35.12
,,,,,,,,,SG/SF,Dillon Brooks (16278540),Dillon Brooks,16278540,SG/SF/F/G/UTIL,6300,MEM@SA 01/30/2021 08:30PM ET,MEM,27.94
,,,,,,,,,PG/SG,Marcus Smart (16278545),Marcus Smart,16278545,PG/SG/G/UTIL,6200,LAL@BOS 01/30/2021 08:30PM ET,BOS,30.92
,,,,,,,,,PF/C,PJ Washington (16278549),PJ Washington,16278549,PF/C/F/UTIL,6200,MIL@CHA 01/30/2021 08:00PM ET,CHA,30.08
,,,,,,,,,PG/SG,Kendrick Nunn (16278553),Kendrick Nunn,16278553,PG/SG/G/UTIL,6200,SAC@MIA 01/30/2021 08:00PM ET,MIA,21.64
,,,,,,,,,PG/SG,Eric Gordon (16278557),Eric Gordon,16278557,PG/SG/G/UTIL,6200,HOU@NO 01/30/2021 08:00PM ET,HOU,25.83
,,,,,,,,,SF,Mikal Bridges (16278569),Mikal Bridges,16278569,SF/F/UTIL,6100,PHO@DAL 01/30/2021 09:00PM ET,PHO,29.16
,,,,,,,,,SF/PF,Harrison Barnes (16278561),Harrison Barnes,16278561,SF/PF/F/UTIL,6100,SAC@MIA 01/30/2021 08:00PM ET,SAC,31.97
,,,,,,,,,PF/C,Brandon Clarke (16278565),Brandon Clarke,16278565,PF/C/F/UTIL,6100,MEM@SA 01/30/2021 08:30PM ET,MEM,27.08
,,,,,,,,,SF/PF,Kelly Oubre Jr. (16278572),Kelly Oubre Jr.,16278572,SF/PF/F/UTIL,6000,DET@GS 01/30/2021 10:00PM ET,GS,24.68
,,,,,,,,,SF/PF,Jae Crowder (16278584),Jae Crowder,16278584,SF/PF/F/UTIL,5900,PHO@DAL 01/30/2021 09:00PM ET,PHO,23.87
,,,,,,,,,PF/C,Blake Griffin (16278580),Blake Griffin,16278580,PF/C/F/UTIL,5900,DET@GS 01/30/2021 10:00PM ET,DET,28.8
,,,,,,,,,PF/C,Marvin Bagley III (16278576),Marvin Bagley III,16278576,PF/C/F/UTIL,5900,SAC@MIA 01/30/2021 08:00PM ET,SAC,26.65
,,,,,,,,,C,Wendell Carter Jr. (16278596),Wendell Carter Jr.,16278596,C/UTIL,5800,POR@CHI 01/30/2021 08:00PM ET,CHI,28.61
,,,,,,,,,PG/SG,Eric Bledsoe (16278588),Eric Bledsoe,16278588,PG/SG/G/UTIL,5800,HOU@NO 01/30/2021 08:00PM ET,NO,26.69
,,,,,,,,,SF/PF,Keldon Johnson (16278592),Keldon Johnson,16278592,SF/PF/F/UTIL,5800,MEM@SA 01/30/2021 08:30PM ET,SA,30.49
,,,,,,,,,PG,LaMelo Ball (16278598),LaMelo Ball,16278598,PG/G/UTIL,5600,MIL@CHA 01/30/2021 08:00PM ET,CHA,30.88
,,,,,,,,,SF/PF,Otto Porter Jr. (16278601),Otto Porter Jr.,16278601,SF/PF/F/UTIL,5600,POR@CHI 01/30/2021 08:00PM ET,CHI,26.18
,,,,,,,,,SG/SF,Tim Hardaway Jr. (16278605),Tim Hardaway Jr.,16278605,SG/SF/F/G/UTIL,5600,PHO@DAL 01/30/2021 09:00PM ET,DAL,26.85
,,,,,,,,,SF/PF,Kyle Anderson (16278610),Kyle Anderson,16278610,SF/PF/F/UTIL,5600,MEM@SA 01/30/2021 08:30PM ET,MEM,30.5
,,,,,,,,,C,Montrezl Harrell (16278621),Montrezl Harrell,16278621,C/UTIL,5500,LAL@BOS 01/30/2021 08:30PM ET,LAL,24.44
,,,,,,,,,PF,Carmelo Anthony (16278616),Carmelo Anthony,16278616,PF/F/UTIL,5500,POR@CHI 01/30/2021 08:00PM ET,POR,22.67
,,,,,,,,,C,Jusuf Nurkic (16278619),Jusuf Nurkic,16278619,C/UTIL,5500,POR@CHI 01/30/2021 08:00PM ET,POR,26.88
,,,,,,,,,C,Steven Adams (16278614),Steven Adams,16278614,C/UTIL,5500,HOU@NO 01/30/2021 08:00PM ET,NO,28.24
,,,,,,,,,PG/SG,Dennis Schroder (16278634),Dennis Schroder,16278634,PG/SG/G/UTIL,5400,LAL@BOS 01/30/2021 08:30PM ET,LAL,26.1
,,,,,,,,,C,Brook Lopez (16278627),Brook Lopez,16278627,C/UTIL,5400,MIL@CHA 01/30/2021 08:00PM ET,MIL,23.01
,,,,,,,,,C,Mason Plumlee (16278632),Mason Plumlee,16278632,C/UTIL,5400,DET@GS 01/30/2021 10:00PM ET,DET,27.13
,,,,,,,,,PF/C,LaMarcus Aldridge (16278623),LaMarcus Aldridge,16278623,PF/C/F/UTIL,5400,MEM@SA 01/30/2021 08:30PM ET,SA,25.72
,,,,,,,,,PG,Tyus Jones (16278629),Tyus Jones,16278629,PG/G/UTIL,5400,MEM@SA 01/30/2021 08:30PM ET,MEM,23.6
,,,,,,,,,SF/PF,Cameron Johnson (16278641),Cameron Johnson,16278641,SF/PF/F/UTIL,5300,PHO@DAL 01/30/2021 09:00PM ET,PHO,21.38
,,,,,,,,,SG,Duncan Robinson (16278638),Duncan Robinson,16278638,SG/G/UTIL,5300,SAC@MIA 01/30/2021 08:00PM ET,MIA,23.57
,,,,,,,,,SG/SF,Gary Trent Jr. (16278645),Gary Trent Jr.,16278645,SG/SF/F/G/UTIL,5200,POR@CHI 01/30/2021 08:00PM ET,POR,18.02
,,,,,,,,,PF/C,Draymond Green (16278650),Draymond Green,16278650,PF/C/F/UTIL,5100,DET@GS 01/30/2021 10:00PM ET,GS,22.38
,,,,,,,,,SG,Wayne Ellington (16278654),Wayne Ellington,16278654,SG/G/UTIL,5100,DET@GS 01/30/2021 10:00PM ET,DET,20.52
,,,,,,,,,SF/PF,Kyle Kuzma (16278660),Kyle Kuzma,16278660,SF/PF/F/UTIL,5000,LAL@BOS 01/30/2021 08:30PM ET,LAL,21.08
,,,,,,,,,PG/SG,Donte DiVincenzo (16278667),Donte DiVincenzo,16278667,PG/SG/G/UTIL,5000,MIL@CHA 01/30/2021 08:00PM ET,MIL,22.12
,,,,,,,,,PF,Thaddeus Young (16278657),Thaddeus Young,16278657,PF/F/UTIL,5000,POR@CHI 01/30/2021 08:00PM ET,CHI,23.77
,,,,,,,,,PG,Derrick Rose (16278671),Derrick Rose,16278671,PG/G/UTIL,5000,DET@GS 01/30/2021 10:00PM ET,DET,26.02
,,,,,,,,,PF/C,Kelly Olynyk (16278674),Kelly Olynyk,16278674,PF/C/F/UTIL,5000,SAC@MIA 01/30/2021 08:00PM ET,MIA,23.32
,,,,,,,,,PG,Lonzo Ball (16278664),Lonzo Ball,16278664,PG/G/UTIL,5000,HOU@NO 01/30/2021 08:00PM ET,NO,28.43
,,,,,,,,,PF,Robert Covington (16278678),Robert Covington,16278678,PF/F/UTIL,4900,POR@CHI 01/30/2021 08:00PM ET,POR,20.15
,,,,,,,,,PG/SG,Tyrese Haliburton (16278681),Tyrese Haliburton,16278681,PG/SG/G/UTIL,4900,SAC@MIA 01/30/2021 08:00PM ET,SAC,27.12
,,,,,,,,,PG/SG,Patty Mills (16278685),Patty Mills,16278685,PG/SG/G/UTIL,4900,MEM@SA 01/30/2021 08:30PM ET,SA,23.2
,,,,,,,,,PF/C,Daniel Theis (16278695),Daniel Theis,16278695,PF/C/F/UTIL,4800,LAL@BOS 01/30/2021 08:30PM ET,BOS,20.41
,,,,,,,,,C,James Wiseman (16278693),James Wiseman,16278693,C/UTIL,4800,DET@GS 01/30/2021 10:00PM ET,GS,23.64
,,,,,,,,,PG/SG,Derrick White (16278689),Derrick White,16278689,PG/SG/G/UTIL,4800,MEM@SA 01/30/2021 08:30PM ET,SA,15.25
,,,,,,,,,SG/SF,Garrett Temple (16278699),Garrett Temple,16278699,SG/SF/F/G/UTIL,4700,POR@CHI 01/30/2021 08:00PM ET,CHI,18.95
,,,,,,,,,SF/PF,Derrick Jones Jr. (16278704),Derrick Jones Jr.,16278704,SF/PF/F/UTIL,4700,POR@CHI 01/30/2021 08:00PM ET,POR,17.69
,,,,,,,,,SG/SF,David Nwaba (16278708),David Nwaba,16278708,SG/SF/F/G/UTIL,4700,HOU@NO 01/30/2021 08:00PM ET,HOU,18.56
,,,,,,,,,SF/PF,Patrick Williams (16278713),Patrick Williams,16278713,SF/PF/F/UTIL,4600,POR@CHI 01/30/2021 08:00PM ET,CHI,18.5
,,,,,,,,,SG,Kevin Porter Jr. (16278717),Kevin Porter Jr.,16278717,SG/G/UTIL,4600,HOU@NO 01/30/2021 08:00PM ET,HOU,0
,,,,,,,,,C,Gorgui Dieng (16278720),Gorgui Dieng,16278720,C/UTIL,4600,MEM@SA 01/30/2021 08:30PM ET,MEM,19.25
,,,,,,,,,C,Cody Zeller (16278722),Cody Zeller,16278722,C/UTIL,4500,MIL@CHA 01/30/2021 08:00PM ET,CHA,21.62
,,,,,,,,,PF,James Johnson (16278729),James Johnson,16278729,PF/F/UTIL,4500,PHO@DAL 01/30/2021 09:00PM ET,DAL,18.26
,,,,,,,,,SG/SF,Josh Jackson (16278724),Josh Jackson,16278724,SG/SF/F/G/UTIL,4500,DET@GS 01/30/2021 10:00PM ET,DET,20.19
,,,,,,,,,PG/SG,Anfernee Simons (16278742),Anfernee Simons,16278742,PG/SG/G/UTIL,4400,POR@CHI 01/30/2021 08:00PM ET,POR,12.29
,,,,,,,,,SF,Josh Hart (16278732),Josh Hart,16278732,SF/F/UTIL,4400,HOU@NO 01/30/2021 08:00PM ET,NO,22.47
,,,,,,,,,PG/SG,Nickeil Alexander-Walker (16278735),Nickeil Alexander-Walker,16278735,PG/SG/G/UTIL,4400,HOU@NO 01/30/2021 08:00PM ET,NO,19.6
,,,,,,,,,PF,Rudy Gay (16278739),Rudy Gay,16278739,PF/F/UTIL,4400,MEM@SA 01/30/2021 08:30PM ET,SA,23.49
,,,,,,,,,SF/PF,Miles Bridges (16278750),Miles Bridges,16278750,SF/PF/F/UTIL,4300,MIL@CHA 01/30/2021 08:00PM ET,CHA,21.53
,,,,,,,,,PG/SG,Jalen Brunson (16278746),Jalen Brunson,16278746,PG/SG/G/UTIL,4300,PHO@DAL 01/30/2021 09:00PM ET,DAL,21.03
,,,,,,,,,PG/SF,Jae'Sean Tate (16278759),Jae'Sean Tate,16278759,PG/SF/F/G/UTIL,4300,HOU@NO 01/30/2021 08:00PM ET,HOU,18.68
,,,,,,,,,SG/SF,Lonnie Walker IV (16278754),Lonnie Walker IV,16278754,SG/SF/F/G/UTIL,4300,MEM@SA 01/30/2021 08:30PM ET,SA,20.92
,,,,,,,,,PF/C,Bobby Portis (16278764),Bobby Portis,16278764,PF/C/F/UTIL,4200,MIL@CHA 01/30/2021 08:00PM ET,MIL,24.18
,,,,,,,,,SG/SF,Josh Richardson (16278772),Josh Richardson,16278772,SG/SF/F/G/UTIL,4200,PHO@DAL 01/30/2021 09:00PM ET,DAL,20.28
,,,,,,,,,PG/SG,De'Anthony Melton (16278768),De'Anthony Melton,16278768,PG/SG/G/UTIL,4200,MEM@SA 01/30/2021 08:30PM ET,MEM,18.64
,,,,,,,,,SG/SF,Grayson Allen (16278777),Grayson Allen,16278777,SG/SF/F/G/UTIL,4200,MEM@SA 01/30/2021 08:30PM ET,MEM,17.31
,,,,,,,,,C,Tristan Thompson (16278782),Tristan Thompson,16278782,C/UTIL,4100,LAL@BOS 01/30/2021 08:30PM ET,BOS,19.48
,,,,,,,,,C,Bismack Biyombo (16278784),Bismack Biyombo,16278784,C/UTIL,4100,MIL@CHA 01/30/2021 08:00PM ET,CHA,19.68
,,,,,,,,,SF/PF,Dorian Finney-Smith (16278786),Dorian Finney-Smith,16278786,SF/PF/F/UTIL,4000,PHO@DAL 01/30/2021 09:00PM ET,DAL,19.85
,,,,,,,,,PF/C,Maxi Kleber (16278790),Maxi Kleber,16278790,PF/C/F/UTIL,4000,PHO@DAL 01/30/2021 09:00PM ET,DAL,19.11
,,,,,,,,,PF/C,P.J. Tucker (16278794),P.J. Tucker,16278794,PF/C/F/UTIL,4000,HOU@NO 01/30/2021 08:00PM ET,HOU,16.4
,,,,,,,,,PF/C,Dario Saric (16278798),Dario Saric,16278798,PF/C/F/UTIL,3900,PHO@DAL 01/30/2021 09:00PM ET,PHO,19.14
,,,,,,,,,SF/PF,Danuel House Jr. (16278804),Danuel House Jr.,16278804,SF/PF/F/UTIL,3900,HOU@NO 01/30/2021 08:00PM ET,HOU,15.29
,,,,,,,,,C,Jakob Poeltl (16278802),Jakob Poeltl,16278802,C/UTIL,3900,MEM@SA 01/30/2021 08:30PM ET,SA,18.28
,,,,,,,,,SG/SF,Kentavious Caldwell-Pope (16278817),Kentavious Caldwell-Pope,16278817,SG/SF/F/G/UTIL,3800,LAL@BOS 01/30/2021 08:30PM ET,LAL,17.69
,,,,,,,,,SG/SF,Rodney Hood (16278812),Rodney Hood,16278812,SG/SF/F/G/UTIL,3800,POR@CHI 01/30/2021 08:00PM ET,POR,8.96
,,,,,,,,,PG/SG,Trey Burke (16278808),Trey Burke,16278808,PG/SG/G/UTIL,3800,PHO@DAL 01/30/2021 09:00PM ET,DAL,18.03
,,,,,,,,,SG,Denzel Valentine (16278822),Denzel Valentine,16278822,SG/G/UTIL,3700,POR@CHI 01/30/2021 08:00PM ET,CHI,17.44
,,,,,,,,,SF,Abdel Nader (16278833),Abdel Nader,16278833,SF/F/UTIL,3700,PHO@DAL 01/30/2021 09:00PM ET,PHO,15
,,,,,,,,,SF,Andre Iguodala (16278825),Andre Iguodala,16278825,SF/F/UTIL,3700,SAC@MIA 01/30/2021 08:00PM ET,MIA,15.78
,,,,,,,,,SG/SF,Devin Vassell (16278828),Devin Vassell,16278828,SG/SF/F/G/UTIL,3700,MEM@SA 01/30/2021 08:30PM ET,SA,15.51
,,,,,,,,,PG,Payton Pritchard (16278836),Payton Pritchard,16278836,PG/G/UTIL,3600,LAL@BOS 01/30/2021 08:30PM ET,BOS,16.91
,,,,,,,,,C,Willie Cauley-Stein (16278842),Willie Cauley-Stein,16278842,C/UTIL,3600,PHO@DAL 01/30/2021 09:00PM ET,DAL,14.82
,,,,,,,,,SG,Mason Jones (16278839),Mason Jones,16278839,SG/G/UTIL,3600,HOU@NO 01/30/2021 08:00PM ET,HOU,14.39
,,,,,,,,,PG/SG,Jeff Teague (16278851),Jeff Teague,16278851,PG/SG/G/UTIL,3500,LAL@BOS 01/30/2021 08:30PM ET,BOS,14.3
,,,,,,,,,PG/SG,Alex Caruso (16278862),Alex Caruso,16278862,PG/SG/G/UTIL,3500,LAL@BOS 01/30/2021 08:30PM ET,LAL,14.37
,,,,,,,,,PG,Tomas Satoransky (16278848),Tomas Satoransky,16278848,PG/G/UTIL,3500,POR@CHI 01/30/2021 08:00PM ET,CHI,16.67
,,,,,,,,,PG/SG,Gabe Vincent (16278844),Gabe Vincent,16278844,PG/SG/G/UTIL,3500,SAC@MIA 01/30/2021 08:00PM ET,MIA,15.66
,,,,,,,,,SF,Sterling Brown (16278855),Sterling Brown,16278855,SF/F/UTIL,3500,HOU@NO 01/30/2021 08:00PM ET,HOU,17.37
,,,,,,,,,PF/C,Xavier Tillman (16278858),Xavier Tillman,16278858,PF/C/F/UTIL,3500,MEM@SA 01/30/2021 08:30PM ET,MEM,19.59
,,,,,,,,,C,Marc Gasol (16278871),Marc Gasol,16278871,C/UTIL,3400,LAL@BOS 01/30/2021 08:30PM ET,LAL,15.98
,,,,,,,,,PF/C,Markieff Morris (16278873),Markieff Morris,16278873,PF/C/F/UTIL,3400,LAL@BOS 01/30/2021 08:30PM ET,LAL,10.83
,,,,,,,,,C,Frank Kaminsky (16278866),Frank Kaminsky,16278866,C/UTIL,3400,PHO@DAL 01/30/2021 09:00PM ET,PHO,13.68
,,,,,,,,,PF,Precious Achiuwa (16278868),Precious Achiuwa,16278868,PF/F/UTIL,3400,SAC@MIA 01/30/2021 08:00PM ET,MIA,16.75
,,,,,,,,,SF/PF,Semi Ojeleye (16278893),Semi Ojeleye,16278893,SF/PF/F/UTIL,3300,LAL@BOS 01/30/2021 08:30PM ET,BOS,10.84
,,,,,,,,,C,Harry Giles III (16278881),Harry Giles III,16278881,C/UTIL,3300,POR@CHI 01/30/2021 08:00PM ET,POR,10.31
,,,,,,,,,PG/SG,Jevon Carter (16278883),Jevon Carter,16278883,PG/SG/G/UTIL,3300,PHO@DAL 01/30/2021 09:00PM ET,PHO,9.16
,,,,,,,,,SF/PF,Eric Paschall (16278877),Eric Paschall,16278877,SF/PF/F/UTIL,3300,DET@GS 01/30/2021 10:00PM ET,GS,17.21
,,,,,,,,,SF/PF,Saddiq Bey (16278887),Saddiq Bey,16278887,SF/PF/F/UTIL,3300,DET@GS 01/30/2021 10:00PM ET,DET,13.98
,,,,,,,,,C,Isaiah Stewart (16278891),Isaiah Stewart,16278891,C/UTIL,3300,DET@GS 01/30/2021 10:00PM ET,DET,14.9
,,,,,,,,,C,Robert Williams (16278897),Robert Williams,16278897,C/UTIL,3200,LAL@BOS 01/30/2021 08:30PM ET,BOS,18.69
,,,,,,,,,SF,Talen Horton-Tucker (16278905),Talen Horton-Tucker,16278905,SF/F/UTIL,3200,LAL@BOS 01/30/2021 08:30PM ET,LAL,14.58
,,,,,,,,,PG,D.J. Augustin (16278899),D.J. Augustin,16278899,PG/G/UTIL,3200,MIL@CHA 01/30/2021 08:00PM ET,MIL,12.37
,,,,,,,,,SF,Pat Connaughton (16278902),Pat Connaughton,16278902,SF/F/UTIL,3200,MIL@CHA 01/30/2021 08:00PM ET,MIL,15.95
,,,,,,,,,PG/SG,Bryn Forbes (16278913),Bryn Forbes,16278913,PG/SG/G/UTIL,3200,MIL@CHA 01/30/2021 08:00PM ET,MIL,10.43
,,,,,,,,,C,Hassan Whiteside (16278911),Hassan Whiteside,16278911,C/UTIL,3200,SAC@MIA 01/30/2021 08:00PM ET,SAC,16.52
,,,,,,,,,SG,Desmond Bane (16278908),Desmond Bane,16278908,SG/G/UTIL,3200,MEM@SA 01/30/2021 08:30PM ET,MEM,15.42
,,,,,,,,,SF,Javonte Green (16278922),Javonte Green,16278922,SF/F/UTIL,3100,LAL@BOS 01/30/2021 08:30PM ET,BOS,12.7
,,,,,,,,,PG,Cameron Payne (16278941),Cameron Payne,16278941,PG/G/UTIL,3100,PHO@DAL 01/30/2021 09:00PM ET,PHO,16.69
,,,,,,,,,PG,Brad Wanamaker (16278928),Brad Wanamaker,16278928,PG/G/UTIL,3100,DET@GS 01/30/2021 10:00PM ET,GS,12.3
,,,,,,,,,SF,Kent Bazemore (16278931),Kent Bazemore,16278931,SF/F/UTIL,3100,DET@GS 01/30/2021 10:00PM ET,GS,13.82
,,,,,,,,,SG,Damion Lee (16278934),Damion Lee,16278934,SG/G/UTIL,3100,DET@GS 01/30/2021 10:00PM ET,GS,14.92
,,,,,,,,,SG,Svi Mykhailiuk (16278944),Svi Mykhailiuk,16278944,SG/G/UTIL,3100,DET@GS 01/30/2021 10:00PM ET,DET,12.54
,,,,,,,,,SF/PF,Glenn Robinson III (16278937),Glenn Robinson III,16278937,SF/PF/F/UTIL,3100,SAC@MIA 01/30/2021 08:00PM ET,SAC,10.33
