Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?
Michael Brantley,4900.00,HOU,OF,BAL,9.84,2.01,3,1
Mike Trout,5800.00,LAA,OF,BOS,11.67,2.01,2,1
Randal Grichuk,4100.00,TOR,OF,NYY,8.21,2,4,1
Michael Chavis,4200.00,BOS,1B/2B,LAA,8.39,2,8,1
John Hicks,3000.00,DET,1B/C,KCR,5.98,1.99,8,1
Matt Olson,3900.00,OAK,1B,CHW,7.75,1.99,4,1
Manny Pina,3100.00,MIL,C,TEX,6.13,1.98,6,1
Robbie Grossman,3300.00,OAK,OF,CHW,6.53,1.98,6,1
Anthony Rizzo,4600.00,CHC,1B,CIN,9.11,1.98,4,1
Tommy Edman,4000.00,STL,2B/3B,PIT,7.86,1.97,1,1
Niko Goodrum,4000.00,DET,OF/SS,KCR,7.88,1.97,2,1
Ian Happ,4100.00,CHC,2B/OF,CIN,8.06,1.97,7,1
Marwin Gonzalez,3400.00,MIN,3B/OF,CLE,6.68,1.96,8,1
Cheslor Cuthbert,3700.00,KCR,1B/3B,DET,7.27,1.96,5,1
Gleyber Torres,4400.00,NYY,2B/SS,TOR,8.61,1.96,6,1
Hernan Perez,2900.00,MIL,2B,TEX,5.68,1.96,8,1
Jose Abreu,4200.00,CHW,1B,OAK,8.21,1.95,3,1
Gerardo Parra,3600.00,WAS,1B/OF,NYM,7.01,1.95,7,1
Tim Anderson,4400.00,CHW,SS,OAK,8.56,1.95,5,1
Alex Gordon,3800.00,KCR,OF,DET,7.41,1.95,2,1
Rougned Odor,4300.00,TEX,2B,MIL,8.35,1.94,5,1
Jeff Mathis,2000.00,TEX,C,MIL,3.87,1.94,8,1
Aristides Aquino,4200.00,CIN,OF,CHC,8.13,1.94,4,1
Adam Eaton,3700.00,WAS,OF,NYM,7.14,1.93,2,1
Garrett Cooper,3700.00,MIA,1B/OF,ATL,7.14,1.93,4,1
Jose Martinez,3600.00,STL,OF,PIT,6.96,1.93,2,1
Ender Inciarte,3600.00,ATL,OF,MIA,6.96,1.93,7,1
Gary Sanchez,4800.00,NYY,C,TOR,9.23,1.92,3,1
Carlos Correa,5100.00,HOU,SS,BAL,9.8,1.92,6,1
Lorenzo Cain,3900.00,MIL,OF,TEX,7.49,1.92,1,1
Jace Peterson,3200.00,BAL,3B/OF,HOU,6.1,1.91,5,1
Nick Senzel,4100.00,CIN,OF,CHC,7.83,1.91,1,1
Andrew Benintendi,4600.00,BOS,OF,LAA,8.72,1.9,5,1
Cavan Biggio,4600.00,TOR,2B,NYY,8.75,1.9,2,1
Joe Panik,2900.00,NYM,2B,WAS,5.52,1.9,8,1
Matt Chapman,3900.00,OAK,3B,CHW,7.42,1.9,3,1
Erik Gonzalez,2800.00,PIT,SS,STL,5.33,1.9,8,1
Amed Rosario,3900.00,NYM,SS,WAS,7.42,1.9,2,1
Chris Herrmann,3000.00,OAK,C,CHW,5.68,1.89,9,1
Brett Gardner,4600.00,NYY,OF,TOR,8.62,1.87,5,1
Paul DeJong,4100.00,STL,SS,PIT,7.67,1.87,5,1
Kyle Schwarber,4200.00,CHC,OF,CIN,7.82,1.86,6,1
Matthew Thaiss,3900.00,LAA,1B/3B,BOS,7.26,1.86,7,1
George Springer,5300.00,HOU,OF,BAL,9.87,1.86,1,1
David Fletcher,3700.00,LAA,3B/SS,BOS,6.9,1.86,6,1
Giovanny Urshela,5100.00,NYY,3B,TOR,9.41,1.85,4,1
Kyle Farmer,3700.00,CIN,2B/C,CHC,6.85,1.85,7,1
Starlin Castro,3600.00,MIA,2B,ATL,6.66,1.85,5,1
Luis Rengifo,3500.00,LAA,2B/SS,BOS,6.42,1.83,9,1
Christian Vazquez,4400.00,BOS,C,LAA,8.07,1.83,7,1
Jose Altuve,5500.00,HOU,2B,BAL,9.99,1.82,2,1
Travis Demeritte,3700.00,DET,OF,KCR,6.73,1.82,7,1
Carlos Santana,4500.00,CLE,1B,MIN,8.17,1.82,3,1
Eloy Jimenez,3600.00,CHW,OF,OAK,6.56,1.82,7,1
Hunter Dozier,4500.00,KCR,3B,DET,8.18,1.82,3,1
Tyler Flowers,3400.00,ATL,C,MIA,6.18,1.82,8,1
Yordan Alvarez,5700.00,HOU,OF,BAL,10.32,1.81,5,1
Alex Bregman,5600.00,HOU,3B/SS,BAL,10.15,1.81,4,1
Pete Alonso,4900.00,NYM,1B,WAS,8.87,1.81,4,1
Eugenio Suarez,4800.00,CIN,3B,CHC,8.65,1.8,3,1
Ryan Goins,3300.00,CHW,3B/SS,OAK,5.9,1.79,8,1
Brian Goodwin,4400.00,LAA,OF,BOS,7.86,1.79,1,1
Albert Pujols,4200.00,LAA,1B,BOS,7.51,1.79,4,1
Gordon Beckham,3400.00,DET,2B/SS,KCR,6.07,1.79,9,1
Todd Frazier,3800.00,NYM,3B,WAS,6.8,1.79,7,1
Bo Bichette,4800.00,TOR,SS,NYY,8.58,1.79,1,1
Jorge Soler,4500.00,KCR,OF,DET,8.01,1.78,4,1
Mike Ford,3700.00,NYY,1B,TOR,6.6,1.78,7,1
Joey Votto,4100.00,CIN,1B,CHC,7.28,1.78,2,1
Francisco Lindor,4900.00,CLE,SS,MIN,8.68,1.77,1,1
Michael Conforto,4800.00,NYM,OF,WAS,8.51,1.77,3,1
Jorge Alfaro,3200.00,MIA,C,ATL,5.67,1.77,7,1
Jason Kipnis,4000.00,CLE,2B,MIN,7.03,1.76,6,1
Brandon Drury,3400.00,TOR,3B/OF,NYY,5.97,1.76,8,1
Marcus Semien,4300.00,OAK,SS,CHW,7.51,1.75,1,1
Ryan Braun,4500.00,MIL,OF,TEX,7.88,1.75,4,1
C.J. Cron,4100.00,MIN,1B,CLE,7.15,1.74,7,1
Pedro Severino,3300.00,BAL,C,HOU,5.74,1.74,4,1
Kris Bryant,4500.00,CHC,3B/OF,CIN,7.85,1.74,3,1
Bryan Reynolds,4400.00,PIT,OF,STL,7.66,1.74,2,1
Colin Moran,3400.00,PIT,3B,STL,5.88,1.73,6,1
Jorge Polanco,4700.00,MIN,SS,CLE,8.1,1.72,2,1
Chad Pinder,3900.00,OAK,2B/OF,CHW,6.7,1.72,7,1
Elvis Andrus,4500.00,TEX,SS,MIL,7.75,1.72,3,1
Yasmani Grandal,4200.00,MIL,C,TEX,7.24,1.72,5,1
Nick Castellanos,4300.00,CHC,OF,CIN,7.39,1.72,2,1
Rafael Devers,5500.00,BOS,3B,LAA,9.44,1.72,2,1
Jose Ramirez,4600.00,CLE,3B,MIN,7.86,1.71,5,1
Josh Bell,4800.00,PIT,1B,STL,8.22,1.71,4,1
Jonathan Villar,4100.00,BAL,2B/SS,HOU,6.99,1.7,1,1
Ronald Acuna,5400.00,ATL,OF,MIA,9.19,1.7,1,1
Elias Diaz,2800.00,PIT,C,STL,4.77,1.7,7,1
Phillip Ervin,4000.00,CIN,OF,CHC,6.78,1.7,6,1
Freddy Galvis,4200.00,TOR,SS,NYY,7.14,1.7,3,1
Chris Davis,2700.00,BAL,1B,HOU,4.56,1.69,8,1
J.D. Davis,4200.00,NYM,3B/OF,WAS,7.07,1.68,5,1
Brian Anderson,4600.00,MIA,3B/OF,ATL,7.73,1.68,3,1
Jeff McNeil,4900.00,NYM,2B/OF,WAS,8.21,1.68,1,1
Isiah Kiner-Falefa,3200.00,TEX,C,MIL,5.37,1.68,7,1
Reese McGuire,3500.00,TOR,C,NYY,5.86,1.67,9,1
Freddie Freeman,5500.00,ATL,1B,MIA,9.19,1.67,3,1
Melky Cabrera,3300.00,PIT,OF,STL,5.51,1.67,5,1
Trey Mancini,4200.00,BAL,1B/OF,HOU,7.01,1.67,2,1
Matt Adams,3800.00,WAS,1B,NYM,6.31,1.66,5,1
Mark Canha,3900.00,OAK,1B/OF,CHW,6.45,1.65,5,1
Derek Fisher,4100.00,TOR,OF,NYY,6.77,1.65,7,1
James McCann,4000.00,CHW,C,OAK,6.54,1.64,4,1
Luis Arraez,4000.00,MIN,2B/3B,CLE,6.57,1.64,6,1
Robinson Chirinos,4100.00,HOU,C,BAL,6.72,1.64,8,1
Jackie Bradley,3600.00,BOS,OF,LAA,5.9,1.64,9,1
DJ LeMahieu,5400.00,NYY,2B/3B,TOR,8.87,1.64,1,1
Javier Baez,5000.00,CHC,SS,CIN,8.21,1.64,5,1
Miguel Sano,5000.00,MIN,3B,CLE,8.21,1.64,3,1
Josh Reddick,3600.00,HOU,OF,BAL,5.9,1.64,9,1
Juan Soto,4400.00,WAS,OF,NYM,7.21,1.64,4,1
Trea Turner,4600.00,WAS,SS,NYM,7.52,1.63,1,1
Ozzie Albies,5100.00,ATL,2B,MIA,8.33,1.63,2,1
Jurickson Profar,3400.00,OAK,2B,CHW,5.53,1.63,8,1
Josh Donaldson,4700.00,ATL,3B,MIA,7.64,1.63,4,1
Keston Hiura,4800.00,MIL,2B,TEX,7.77,1.62,2,1
Willie Calhoun,5000.00,TEX,OF,MIL,8.11,1.62,4,1
Asdrubal Cabrera,3200.00,WAS,3B,NYM,5.16,1.61,6,1
Chance Sisco,3400.00,BAL,C,HOU,5.43,1.6,7,1
Jonathan Schoop,3800.00,MIN,2B,CLE,6.07,1.6,9,1
Victor Caratini,3800.00,CHC,C,CIN,6.07,1.6,8,1
Aledmys Diaz,4500.00,HOU,1B/2B,BAL,7.2,1.6,7,1
Danny Santana,5100.00,TEX,1B/OF,MIL,8.11,1.59,2,1
Starling Marte,5000.00,PIT,OF,STL,7.92,1.58,3,1
Andrew Knizner,3300.00,STL,C,PIT,5.15,1.56,7,1
Jon Berti,4300.00,MIA,3B/OF,ATL,6.71,1.56,1,1
Max Kepler,5200.00,MIN,OF,CLE,7.98,1.53,1,1
Lane Thomas,4000.00,STL,OF,PIT,6.07,1.52,8,1
Austin Romine,3900.00,NYY,C,TOR,5.92,1.52,8,1
Charlie Culberson,4100.00,ATL,OF/SS,MIA,6.19,1.51,6,1
Anthony Santander,3900.00,BAL,OF,HOU,5.78,1.48,3,1
Kurt Suzuki,3500.00,WAS,C,NYM,5.15,1.47,8,1
Wilson Ramos,3800.00,NYM,C,WAS,5.58,1.47,6,1
Eddie Rosario,5100.00,MIN,OF,CLE,7.38,1.45,4,1
Harold Ramirez,3700.00,MIA,OF,ATL,5.32,1.44,6,1
Mitch Garver,5400.00,MIN,C,CLE,7.8,1.44,5,1
Tucker Barnhart,3600.00,CIN,C,CHC,5.1,1.42,8,1
Mike Tauchman,5200.00,NYY,OF,TOR,7.36,1.42,9,1
Hanser Alberto,3200.00,BAL,2B/3B,HOU,4.52,1.41,6,1
Tyler Naquin,3500.00,CLE,OF,MIN,4.95,1.41,8,1
Marcell Ozuna,4900.00,STL,OF,PIT,6.78,1.38,4,1
Yolmer Sanchez,2900.00,CHW,2B,OAK,3.93,1.36,9,1
Delino DeShields,4100.00,TEX,OF,MIL,5.49,1.34,6,1
Teoscar Hernandez,4100.00,TOR,OF,NYY,5.46,1.33,6,1
Anthony Rendon,4900.00,WAS,3B,NYM,6.51,1.33,3,1
