Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
34,2473763454,wanders64 (9/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,DK Metcalf,WR,7.32%,26.6
34,2473763455,wanders64 (10/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Ryan Tannehill,QB,7.09%,10.2
34,2473763456,wanders64 (11/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Cole Beasley,WR,6.81%,12.7
34,2473763457,wanders64 (12/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Titans ,DST,6.81%,8
34,2473763458,wanders64 (13/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Steelers ,DST,6.50%,-4
34,2473763459,wanders64 (14/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Zach Pascal,WR,6.17%,12.7
34,2473763460,wanders64 (15/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Drew Brees,QB,6.11%,18.8
34,2473763461,wanders64 (16/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Saints ,DST,6.08%,5
34,2473763462,wanders64 (17/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Kareem Hunt,FLEX,5.86%,19.1
34,2473763463,wanders64 (18/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Jarvis Landry,WR,5.75%,20.2
34,2473763464,wanders64 (19/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Emmanuel Sanders,WR,5.66%,2.3
34,2473763465,wanders64 (20/20),0,186.23999,QB Ben Roethlisberger RB J.K. Dobbins RB Nyheim Hines WR Stefon Diggs WR Diontae Johnson WR JuJu Smith-Schuster FLEX Marquise Brown TE Eric Ebron DST Steelers ,,Michael Pittman Jr.,WR,5.63%,15.1
54,2473687762,Cornfed755,0,186.04,QB Ben Roethlisberger RB David Montgomery RB Nick Chubb FLEX Stefon Diggs WR Marquise Brown WR Cole Beasley WR Chase Claypool TE Eric Ebron DST Rams ,,Cooper Kupp,FLEX,5.47%,11.8
55,2473341327,TheFFOracle (9/20),0,185.96,QB Josh Allen RB Cam Akers RB James Conner WR Stefon Diggs FLEX Diontae Johnson WR JuJu Smith-Schuster WR Corey Davis TE Mark Andrews DST Seahawks ,,Robert Woods,WR,4.91%,14.5
55,2473341808,RR0025,0,185.95999,QB Josh Allen RB J.K. Dobbins RB Cam Akers WR Stefon Diggs WR Diontae Johnson FLEX Cole Beasley WR Chase Claypool TE Eric Ebron DST Seahawks ,,Dawson Knox,TE,4.37%,8.5
57,2473573319,Titleistman2015 (14/20),0,185.86,QB Mitchell Trubisky RB Alvin Kamara RB Leonard Fournette WR Stefon Diggs WR Michael Thomas WR Diontae Johnson FLEX JuJu Smith-Schuster TE Cole Kmet DST Rams ,,Anthony Miller,WR,4.37%,4.4
58,2473361215,jaxhess,0,185.76,QB Josh Allen RB J.D. McKissic RB Nyheim Hines WR Stefon Diggs FLEX A.J. Brown WR JuJu Smith-Schuster WR Marquise Brown TE Eric Ebron DST Buccaneers ,,Isaiah McKenzie,WR,4.32%,0
59,2473341320,TheFFOracle (2/20),0,185.56001,QB Josh Allen RB Chris Carson RB Cam Akers WR Stefon Diggs FLEX JuJu Smith-Schuster WR Marquise Brown WR Corey Davis TE Mark Andrews DST Rams ,,Tyler Lockett,WR,4.18%,6.3
60,2473594015,gamorris76 (20/20),0,185.36002,QB Josh Allen RB Cam Akers RB Devin Singletary WR Stefon Diggs FLEX Allen Robinson II WR Michael Thomas WR Marquise Brown TE Austin Hooper DST Rams ,,Austin Hooper,TE,4.12%,17.6
61,2473554785,ch3val3 (6/8),0,185.16,QB Lamar Jackson FLEX Derrick Henry RB Cam Akers RB Gus Edwards WR Jarvis Landry WR JuJu Smith-Schuster WR Marquise Brown TE Eric Ebron DST Rams ,,Gabriel Davis,WR,4.12%,12.5
62,2473689470,abeezy2009 (1/2),0,184.76001,QB Lamar Jackson RB Nick Chubb RB J.K. Dobbins WR A.J. Brown WR JuJu Smith-Schuster WR Marquise Brown FLEX Rashard Higgins TE Eric Ebron DST Rams ,,Browns ,DST,4.09%,12
63,2473341336,TheFFOracle (18/20),0,184.16,QB Josh Allen RB Cam Akers RB James Conner WR Stefon Diggs WR Diontae Johnson FLEX Chase Claypool WR Corey Davis TE Mark Andrews DST Rams ,,Cam Sims,WR,3.84%,20.4
64,2473341330,TheFFOracle (12/20),0,184.06001,QB Josh Allen RB Cam Akers RB James Conner WR Stefon Diggs FLEX Diontae Johnson WR Marquise Brown WR Corey Davis TE Mark Andrews DST Rams ,,Terry McLaurin,WR,3.64%,13.5
64,2473624340,mcgillagorilla (2/2),0,184.06,QB Josh Allen RB Antonio Gibson RB Cam Akers WR Stefon Diggs WR Diontae Johnson WR Antonio Brown TE Logan Thomas FLEX Austin Hooper DST Rams ,,Colts ,DST,3.42%,2
66,2473582537,nlemons (14/20),0,183.86,QB Josh Allen RB Cam Akers RB Nyheim Hines WR Stefon Diggs FLEX Diontae Johnson WR Jarvis Landry WR Marquise Brown TE Mark Andrews DST WAS Football Team ,,Latavius Murray,RB,3.31%,10
67,2473380691,CzechMate1978 (3/3),0,183.73999,QB Ben Roethlisberger RB Jonathan Taylor RB Nick Chubb FLEX J.K. Dobbins WR Diontae Johnson WR JuJu Smith-Schuster WR Marquise Brown TE Jonnu Smith DST WAS Football Team ,,Josh Reynolds,WR,3.28%,0
68,2473704308,bentm,0,183.04,QB Tom Brady RB J.K. Dobbins RB James Conner WR Stefon Diggs WR JuJu Smith-Schuster WR Marquise Brown FLEX Chase Claypool TE Logan Thomas DST Seahawks ,,Mitchell Trubisky,QB,3.14%,12.96
69,2473537708,Feltonmatt (1/2),0,182.84,QB Ben Roethlisberger RB Chris Carson RB Cam Akers FLEX Stefon Diggs WR DK Metcalf WR Diontae Johnson WR Chase Claypool TE Gerald Everett DST Saints ,,Russell Wilson,QB,3.14%,18.96
69,2473541401,Feltonmatt (2/2),0,182.84,QB Ben Roethlisberger RB Chris Carson RB Cam Akers FLEX Stefon Diggs WR DK Metcalf WR Diontae Johnson WR Chase Claypool TE Gerald Everett DST Saints ,,Tyler Higbee,FLEX,3.03%,1.4
71,2473594014,gamorris76 (19/20),0,182.76001,QB Josh Allen RB Cam Akers RB Devin Singletary WR Stefon Diggs WR A.J. Brown FLEX Michael Thomas WR Marquise Brown TE Eric Ebron DST Seahawks ,,Antonio Gibson,FLEX,2.80%,5.5
72,2473449065,fivestarco (5/20),0,182.73999,QB Ben Roethlisberger RB Nick Chubb RB Chris Carson WR DK Metcalf WR Diontae Johnson FLEX Marquise Brown WR Chase Claypool TE Jared Cook DST WAS Football Team ,,Philip Rivers,QB,2.78%,25.26
72,2473454496,fivestarco (10/20),0,182.73999,QB Ben Roethlisberger RB Nick Chubb RB Chris Carson WR DK Metcalf WR Diontae Johnson FLEX Marquise Brown WR Chase Claypool TE Jared Cook DST WAS Football Team ,,Gus Edwards,FLEX,2.75%,3.8
72,2473461059,fivestarco (15/20),0,182.73999,QB Ben Roethlisberger RB Nick Chubb RB Chris Carson WR DK Metcalf WR Diontae Johnson FLEX Marquise Brown WR Chase Claypool TE Jared Cook DST WAS Football Team ,,Bills ,DST,2.72%,0
72,2473470134,fivestarco (20/20),0,182.73999,QB Ben Roethlisberger RB Nick Chubb RB Chris Carson WR DK Metcalf WR Diontae Johnson FLEX Marquise Brown WR Chase Claypool TE Jared Cook DST WAS Football Team ,,Jimmy Graham,TE,2.41%,10.5
