P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,SP,Taijuan Walker (13104051),Taijuan Walker,13104051,P,8400,ARI@LAD 08/09/2019 10:10PM ET,ARI,0
,,,,,,,,,,,SP,Madison Bumgarner (13103934),Madison Bumgarner,13103934,P,8400,PHI@SF 08/09/2019 10:15PM ET,SF,17.03
,,,,,,,,,,,SP,Hyun-Jin Ryu (13104218),Hyun-Jin Ryu,13104218,P,8300,ARI@LAD 08/09/2019 10:10PM ET,LAD,21.13
,,,,,,,,,,,SP,Jacob Nix (13104282),Jacob Nix,13104282,P,8300,COL@SD 08/09/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Jon Gray (13104063),Jon Gray,13104063,P,8200,COL@SD 08/09/2019 10:10PM ET,COL,15.24
,,,,,,,,,,,SP,Brett Kennedy (13104342),Brett Kennedy,13104342,P,8100,COL@SD 08/09/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Anthony Banda (13104149),Anthony Banda,13104149,P,8100,TB@SEA 08/09/2019 10:10PM ET,TB,0
,,,,,,,,,,,SP,Zach Eflin (13104178),Zach Eflin,13104178,P,8100,PHI@SF 08/09/2019 10:15PM ET,PHI,12.08
,,,,,,,,,,,SP,Joel Payamps (13104114),Joel Payamps,13104114,P,8000,ARI@LAD 08/09/2019 10:10PM ET,ARI,0
,,,,,,,,,,,SP,Tommy Milone (13103971),Tommy Milone,13103971,P,8000,TB@SEA 08/09/2019 10:10PM ET,SEA,13.2
,,,,,,,,,,,SP,Jason Vargas (13103897),Jason Vargas,13103897,P,8000,PHI@SF 08/09/2019 10:15PM ET,PHI,12.53
,,,,,,,,,,,SP,JoJo Romero (13104367),JoJo Romero,13104367,P,7900,PHI@SF 08/09/2019 10:15PM ET,PHI,0
,,,,,,,,,,,SP,Pedro Avila (13104317),Pedro Avila,13104317,P,7800,COL@SD 08/09/2019 10:10PM ET,SD,15.8
,,,,,,,,,,,SP,Ryan Yarbrough (13104253),Ryan Yarbrough,13104253,P,7800,TB@SEA 08/09/2019 10:10PM ET,TB,13.15
,,,,,,,,,,,SP,Vince Velasquez (13104053),Vince Velasquez,13104053,P,7800,PHI@SF 08/09/2019 10:15PM ET,PHI,9.18
,,,,,,,,,,,SP,Archie Bradley (13104117),Archie Bradley,13104117,P,7700,ARI@LAD 08/09/2019 10:10PM ET,ARI,3.65
,,,,,,,,,,,SP,Justin Dunn (13104257),Justin Dunn,13104257,P,7700,TB@SEA 08/09/2019 10:10PM ET,SEA,0
,,,,,,,,,,,SP,Ariel Miranda (13104350),Ariel Miranda,13104350,P,7700,TB@SEA 08/09/2019 10:10PM ET,SEA,0
,,,,,,,,,,,RP,Matt Andriese (13104091),Matt Andriese,13104091,P,7600,ARI@LAD 08/09/2019 10:10PM ET,ARI,3.18
,,,,,,,,,,,SP,Jalen Beeks (13104270),Jalen Beeks,13104270,P,7600,TB@SEA 08/09/2019 10:10PM ET,TB,7.96
,,,,,,,,,,,SP,Adonis Medina (13104305),Adonis Medina,13104305,P,7600,PHI@SF 08/09/2019 10:15PM ET,PHI,0
,,,,,,,,,,,SP,Ross Stripling (13104138),Ross Stripling,13104138,P,7500,ARI@LAD 08/09/2019 10:10PM ET,LAD,8.59
,,,,,,,,,,,SP,Dustin May (13104370),Dustin May,13104370,P,7500,ARI@LAD 08/09/2019 10:10PM ET,LAD,14.25
,,,,,,,,,,,SP,Marco Gonzales (13104074),Marco Gonzales,13104074,P,7400,TB@SEA 08/09/2019 10:10PM ET,SEA,13.15
,,,,,,,,,,,SP,Andrew Suarez (13104139),Andrew Suarez,13104139,P,7300,PHI@SF 08/09/2019 10:15PM ET,SF,2.56
,,,,,,,,,,,RP,Sam Coonrod (13104274),Sam Coonrod,13104274,P,7300,PHI@SF 08/09/2019 10:15PM ET,SF,3.27
,,,,,,,,,,,SP,J.B. Bukauskas (13104290),J.B. Bukauskas,13104290,P,7200,ARI@LAD 08/09/2019 10:10PM ET,ARI,0
,,,,,,,,,,,SP,Conner Menez (13104376),Conner Menez,13104376,P,7200,PHI@SF 08/09/2019 10:15PM ET,SF,11.18
,,,,,,,,,,,SP,Corbin Martin (13104357),Corbin Martin,13104357,P,7100,ARI@LAD 08/09/2019 10:10PM ET,ARI,8.1
,,,,,,,,,,,SP,Rico Garcia (13104378),Rico Garcia,13104378,P,7100,COL@SD 08/09/2019 10:10PM ET,COL,0
,,,,,,,,,,,SP,Erik Swanson (13104286),Erik Swanson,13104286,P,7100,TB@SEA 08/09/2019 10:10PM ET,SEA,5.11
,,,,,,,,,,,SP,Jerad Eickhoff (13104084),Jerad Eickhoff,13104084,P,7100,PHI@SF 08/09/2019 10:15PM ET,PHI,10.37
,,,,,,,,,,,SP,Ranger Suarez (13104210),Ranger Suarez,13104210,P,7100,PHI@SF 08/09/2019 10:15PM ET,PHI,4.12
,,,,,,,,,,,SP,Kenta Maeda (13103932),Kenta Maeda,13103932,P,7000,ARI@LAD 08/09/2019 10:10PM ET,LAD,13.04
,,,,,,,,,,,SP,Alex Young (13104205),Alex Young,13104205,P,7000,ARI@LAD 08/09/2019 10:10PM ET,ARI,16.11
,,,,,,,,,,,SP,Bo Takahashi (13104302),Bo Takahashi,13104302,P,7000,ARI@LAD 08/09/2019 10:10PM ET,ARI,0
,,,,,,,,,,,SP,Tony Gonsolin (13104372),Tony Gonsolin,13104372,P,7000,ARI@LAD 08/09/2019 10:10PM ET,LAD,14.77
,,,,,,,,,,,SP,Dietrich Enns (13104106),Dietrich Enns,13104106,P,7000,COL@SD 08/09/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Trevor Richards (13104385),Trevor Richards,13104385,P,7000,TB@SEA 08/09/2019 10:10PM ET,TB,10.92
,,,,,,,,,,,SP,Logan Webb (13104281),Logan Webb,13104281,P,7000,PHI@SF 08/09/2019 10:15PM ET,SF,0
,,,,,,,,,,,SP,Enyel De Los Santos (13104352),Enyel De Los Santos,13104352,P,7000,PHI@SF 08/09/2019 10:15PM ET,PHI,2.79
,,,,,,,,,,,SP,Zack Godley (13104020),Zack Godley,13104020,P,6900,ARI@LAD 08/09/2019 10:10PM ET,ARI,4.38
,,,,,,,,,,,SP,Matt Strahm (13104200),Matt Strahm,13104200,P,6900,COL@SD 08/09/2019 10:10PM ET,SD,9.55
,,,,,,,,,,,SP,Robbie Erlin (13103994),Robbie Erlin,13103994,P,6800,COL@SD 08/09/2019 10:10PM ET,SD,3.35
,,,,,,,,,,,SP,Phil Hughes (13103892),Phil Hughes,13103892,P,6700,COL@SD 08/09/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Eric Lauer (13104243),Eric Lauer,13104243,P,6700,COL@SD 08/09/2019 10:10PM ET,SD,11.17
,,,,,,,,,,,SP,Felix Hernandez (13103886),Felix Hernandez,13103886,P,6700,TB@SEA 08/09/2019 10:10PM ET,SEA,8.22
,,,,,,,,,,,SP,Merrill Kelly (13104089),Merrill Kelly,13104089,P,6600,ARI@LAD 08/09/2019 10:10PM ET,ARI,12.94
,,,,,,,,,,,SP,Julio Urias (13104223),Julio Urias,13104223,P,6400,ARI@LAD 08/09/2019 10:10PM ET,LAD,8.31
,,,,,,,,,,,SP,Adrian Morejon (13104387),Adrian Morejon,13104387,P,6400,COL@SD 08/09/2019 10:10PM ET,SD,1.44
,,,,,,,,,,,SP,Sam McWilliams (13104285),Sam McWilliams,13104285,P,6400,TB@SEA 08/09/2019 10:10PM ET,TB,0
,,,,,,,,,,,SP,Jon Duplantier (13104327),Jon Duplantier,13104327,P,6300,ARI@LAD 08/09/2019 10:10PM ET,ARI,7.76
,,,,,,,,,,,SP,Bryan Mitchell (13103999),Bryan Mitchell,13103999,P,6300,COL@SD 08/09/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Tyler Anderson (13104100),Tyler Anderson,13104100,P,6300,COL@SD 08/09/2019 10:10PM ET,COL,2.42
,,,,,,,,,,,SP,Nick Margevicius (13104392),Nick Margevicius,13104392,P,6300,COL@SD 08/09/2019 10:10PM ET,SD,6.32
,,,,,,,,,,,SP,Cal Quantrill (13104248),Cal Quantrill,13104248,P,6200,COL@SD 08/09/2019 10:10PM ET,SD,11
,,,,,,,,,,,SP,Jake Arrieta (13103939),Jake Arrieta,13103939,P,6200,PHI@SF 08/09/2019 10:15PM ET,PHI,12.66
,,,,,,,,,,,RP,Nick Anderson (13104102),Nick Anderson,13104102,P,6100,TB@SEA 08/09/2019 10:10PM ET,TB,4.05
,,,,,,,,,,,SP,Kris Medlen (13103924),Kris Medlen,13103924,P,6000,ARI@LAD 08/09/2019 10:10PM ET,ARI,0
,,,,,,,,,,,RP,Colin Poche (13104191),Colin Poche,13104191,P,6000,TB@SEA 08/09/2019 10:10PM ET,TB,3.9
,,,,,,,,,,,SP,Garrett Williams (13104252),Garrett Williams,13104252,P,6000,PHI@SF 08/09/2019 10:15PM ET,SF,0
,,,,,,,,,,,SP,Ricardo Sanchez (13104301),Ricardo Sanchez,13104301,P,5900,TB@SEA 08/09/2019 10:10PM ET,SEA,0
,,,,,,,,,,,SP,Braden Shipley (13104231),Braden Shipley,13104231,P,5800,ARI@LAD 08/09/2019 10:10PM ET,ARI,0
,,,,,,,,,,,SP,Chad Bettis (13103951),Chad Bettis,13103951,P,5800,COL@SD 08/09/2019 10:10PM ET,COL,2.2
,,,,,,,,,,,SP,Drew Smyly (13104056),Drew Smyly,13104056,P,5800,PHI@SF 08/09/2019 10:15PM ET,PHI,8.19
,,,,,,,,,,,RP,Kenley Jansen (13103908),Kenley Jansen,13103908,P,5700,ARI@LAD 08/09/2019 10:10PM ET,LAD,3.8
,,,,,,,,,,,RP,Will Smith (13103974),,13103974,P,5700,PHI@SF 08/09/2019 10:15PM ET,SF,4.26
,,,,,,,,,,,SS,Fernando Tatis Jr. (13104384),Fernando Tatis Jr.,13104384,SS,5600,COL@SD 08/09/2019 10:10PM ET,SD,10.98
,,,,,,,,,,,SP,Wade LeBlanc (13103914),Wade LeBlanc,13103914,P,5600,TB@SEA 08/09/2019 10:10PM ET,SEA,10.17
,,,,,,,,,,,SP,Nick Pivetta (13104240),Nick Pivetta,13104240,P,5600,PHI@SF 08/09/2019 10:15PM ET,PHI,9.45
,,,,,,,,,,,RP,Silvino Bracho (13104177),Silvino Bracho,13104177,P,5500,ARI@LAD 08/09/2019 10:10PM ET,ARI,0
,,,,,,,,,,,OF,Charlie Blackmon (13103966),Charlie Blackmon,13103966,OF,5500,COL@SD 08/09/2019 10:10PM ET,COL,10.75
,,,,,,,,,,,SS,Trevor Story (13104119),Trevor Story,13104119,SS,5500,COL@SD 08/09/2019 10:10PM ET,COL,10.51
,,,,,,,,,,,SP,Melvin Adon (13104322),Melvin Adon,13104322,P,5500,PHI@SF 08/09/2019 10:15PM ET,SF,0
,,,,,,,,,,,OF,Cody Bellinger (13104236),Cody Bellinger,13104236,OF,5400,ARI@LAD 08/09/2019 10:10PM ET,LAD,11.13
,,,,,,,,,,,RP,Yoan Lopez (13104313),Yoan Lopez,13104313,P,5400,ARI@LAD 08/09/2019 10:10PM ET,ARI,2.2
,,,,,,,,,,,RP,Wade Davis (13103893),Wade Davis,13103893,P,5400,COL@SD 08/09/2019 10:10PM ET,COL,1.71
,,,,,,,,,,,RP,Jesus Tinoco (13104176),Jesus Tinoco,13104176,P,5400,COL@SD 08/09/2019 10:10PM ET,COL,3.34
,,,,,,,,,,,SP,Chi Chi Gonzalez (13104216),Chi Chi Gonzalez,13104216,P,5300,COL@SD 08/09/2019 10:10PM ET,COL,4.65
,,,,,,,,,,,SP,Tyler Beede (13104124),Tyler Beede,13104124,P,5300,PHI@SF 08/09/2019 10:15PM ET,SF,9.7
,,,,,,,,,,,SP,Cole Irvin (13104202),Cole Irvin,13104202,P,5300,PHI@SF 08/09/2019 10:15PM ET,PHI,5
,,,,,,,,,,,RP,Dennis Santana (13104228),Dennis Santana,13104228,P,5200,ARI@LAD 08/09/2019 10:10PM ET,LAD,2.68
,,,,,,,,,,,SP,Peter Lambert (13104335),Peter Lambert,13104335,P,5200,COL@SD 08/09/2019 10:10PM ET,COL,6.94
,,,,,,,,,,,RP,Reyes Moronta (13104116),Reyes Moronta,13104116,P,5200,PHI@SF 08/09/2019 10:15PM ET,SF,3.91
,,,,,,,,,,,RP,Jimmie Sherfy (13104241),Jimmie Sherfy,13104241,P,5100,ARI@LAD 08/09/2019 10:10PM ET,ARI,5.63
,,,,,,,,,,,SP,Matt Koch (13104009),Matt Koch,13104009,P,5000,ARI@LAD 08/09/2019 10:10PM ET,ARI,-0.03
,,,,,,,,,,,SP,Jeff Hoffman (13104215),Jeff Hoffman,13104215,P,5000,COL@SD 08/09/2019 10:10PM ET,COL,7.7
,,,,,,,,,,,SP,Yusei Kikuchi (13104043),Yusei Kikuchi,13104043,P,5000,TB@SEA 08/09/2019 10:10PM ET,SEA,9.13
,,,,,,,,,,,SP,Diego Castillo (13104262),Diego Castillo,13104262,P,5000,TB@SEA 08/09/2019 10:10PM ET,TB,2.96
,,,,,,,,,,,RP,Juan Nicasio (13103956),Juan Nicasio,13103956,P,5000,PHI@SF 08/09/2019 10:15PM ET,PHI,2.18
,,,,,,,,,,,3B,Nolan Arenado (13103991),Nolan Arenado,13103991,3B,4900,COL@SD 08/09/2019 10:10PM ET,COL,9.15
,,,,,,,,,,,SP,Taylor Clarke (13104337),Taylor Clarke,13104337,P,4800,ARI@LAD 08/09/2019 10:10PM ET,ARI,8.57
,,,,,,,,,,,SP,Kyle Freeland (13104151),Kyle Freeland,13104151,P,4800,COL@SD 08/09/2019 10:10PM ET,COL,6.95
,,,,,,,,,,,OF,David Dahl (13104181),David Dahl,13104181,OF,4800,COL@SD 08/09/2019 10:10PM ET,COL,8.65
,,,,,,,,,,,OF,Austin Meadows (13104230),Austin Meadows,13104230,OF,4800,TB@SEA 08/09/2019 10:10PM ET,TB,9.17
,,,,,,,,,,,SP,Dan Straily (13104001),Dan Straily,13104001,P,4800,PHI@SF 08/09/2019 10:15PM ET,PHI,1.36
,,,,,,,,,,,OF,Corey Dickerson (13104002),Corey Dickerson,13104002,OF,4800,PHI@SF 08/09/2019 10:15PM ET,PHI,7.06
,,,,,,,,,,,SP,Dereck Rodriguez (13104136),Dereck Rodriguez,13104136,P,4800,PHI@SF 08/09/2019 10:15PM ET,SF,5.53
,,,,,,,,,,,SP,Shaun Anderson (13104258),Shaun Anderson,13104258,P,4800,PHI@SF 08/09/2019 10:15PM ET,SF,8.25
,,,,,,,,,,,RP,Pedro Baez (13103952),Pedro Baez,13103952,P,4700,ARI@LAD 08/09/2019 10:10PM ET,LAD,3.26
,,,,,,,,,,,RP,Andrew Chafin (13104118),Andrew Chafin,13104118,P,4700,ARI@LAD 08/09/2019 10:10PM ET,ARI,2.15
,,,,,,,,,,,SP,Caleb Ferguson (13104298),Caleb Ferguson,13104298,P,4700,ARI@LAD 08/09/2019 10:10PM ET,LAD,2.12
,,,,,,,,,,,RP,Chaz Roe (13103906),Chaz Roe,13103906,P,4700,TB@SEA 08/09/2019 10:10PM ET,TB,2.24
,,,,,,,,,,,RP,Dan Winkler (13104082),Dan Winkler,13104082,P,4700,PHI@SF 08/09/2019 10:15PM ET,SF,2.32
,,,,,,,,,,,RP,Joe Kelly (13103995),Joe Kelly,13103995,P,4600,ARI@LAD 08/09/2019 10:10PM ET,LAD,3.27
,,,,,,,,,,,2B/OF,Ketel Marte (13104110),Ketel Marte,13104110,2B/OF,4600,ARI@LAD 08/09/2019 10:10PM ET,ARI,9.89
,,,,,,,,,,,OF/SS,Chris Taylor (13104165),Chris Taylor,13104165,SS/OF,4600,ARI@LAD 08/09/2019 10:10PM ET,LAD,6.22
,,,,,,,,,,,RP,Josh Sborz (13104272),Josh Sborz,13104272,P,4600,ARI@LAD 08/09/2019 10:10PM ET,LAD,-4.02
,,,,,,,,,,,SP,Antonio Senzatela (13104175),Antonio Senzatela,13104175,P,4600,COL@SD 08/09/2019 10:10PM ET,COL,6.64
,,,,,,,,,,,RP,Yency Almonte (13104198),Yency Almonte,13104198,P,4600,COL@SD 08/09/2019 10:10PM ET,COL,2.72
,,,,,,,,,,,RP,Oliver Drake (13103986),Oliver Drake,13103986,P,4600,TB@SEA 08/09/2019 10:10PM ET,TB,2.93
,,,,,,,,,,,1B/3B,Yandy Diaz (13104263),Yandy Diaz,13104263,1B/3B,4600,TB@SEA 08/09/2019 10:10PM ET,TB,8.37
,,,,,,,,,,,RP,Tony Watson (13103927),Tony Watson,13103927,P,4600,PHI@SF 08/09/2019 10:15PM ET,SF,2.45
,,,,,,,,,,,RP,Austin Davis (13104283),Austin Davis,13104283,P,4600,PHI@SF 08/09/2019 10:15PM ET,PHI,1.95
,,,,,,,,,,,RP,Joey Krehbiel (13104142),Joey Krehbiel,13104142,P,4500,ARI@LAD 08/09/2019 10:10PM ET,ARI,0
,,,,,,,,,,,1B,Eric Hosmer (13103960),Eric Hosmer,13103960,1B,4500,COL@SD 08/09/2019 10:10PM ET,SD,7.74
,,,,,,,,,,,OF,Hunter Renfroe (13104076),Hunter Renfroe,13104076,OF,4500,COL@SD 08/09/2019 10:10PM ET,SD,7.5
,,,,,,,,,,,2B,Eric Sogard (13103946),Eric Sogard,13103946,2B,4500,TB@SEA 08/09/2019 10:10PM ET,TB,8.61
,,,,,,,,,,,SP,Austin Adams (13104196),Austin Adams,13104196,P,4500,TB@SEA 08/09/2019 10:10PM ET,SEA,4.93
,,,,,,,,,,,2B,Brandon Lowe (13104328),Brandon Lowe,13104328,2B,4500,TB@SEA 08/09/2019 10:10PM ET,TB,8.47
,,,,,,,,,,,1B/OF,Jay Bruce (13103900),Jay Bruce,13103900,1B/OF,4500,PHI@SF 08/09/2019 10:15PM ET,PHI,7.88
,,,,,,,,,,,RP,Edward Paredes (13103935),Edward Paredes,13103935,P,4500,PHI@SF 08/09/2019 10:15PM ET,PHI,0
,,,,,,,,,,,OF,Alex Dickerson (13104040),Alex Dickerson,13104040,OF,4500,PHI@SF 08/09/2019 10:15PM ET,SF,7.36
,,,,,,,,,,,OF,Bryce Harper (13104048),Bryce Harper,13104048,OF,4500,PHI@SF 08/09/2019 10:15PM ET,PHI,8.66
,,,,,,,,,,,3B/OF,Scott Kingery (13104308),Scott Kingery,13104308,3B/OF,4500,PHI@SF 08/09/2019 10:15PM ET,PHI,8.17
,,,,,,,,,,,2B/3B,Eduardo Escobar (13103980),Eduardo Escobar,13103980,2B/3B,4400,ARI@LAD 08/09/2019 10:10PM ET,ARI,9.5
,,,,,,,,,,,1B,Daniel Murphy (13103926),Daniel Murphy,13103926,1B,4400,COL@SD 08/09/2019 10:10PM ET,COL,7.49
,,,,,,,,,,,3B/SS,Manny Machado (13104049),Manny Machado,13104049,3B/SS,4400,COL@SD 08/09/2019 10:10PM ET,SD,8.55
,,,,,,,,,,,1B/C,Travis d'Arnaud (13103942),Travis d'Arnaud,13103942,C/1B,4400,TB@SEA 08/09/2019 10:10PM ET,TB,7.53
,,,,,,,,,,,3B,Ryon Healy (13104161),Ryon Healy,13104161,3B,4400,TB@SEA 08/09/2019 10:10PM ET,SEA,7
,,,,,,,,,,,SP,Gerson Bautista (13104221),Gerson Bautista,13104221,P,4400,TB@SEA 08/09/2019 10:10PM ET,SEA,-0.12
,,,,,,,,,,,1B,Rhys Hoskins (13104269),Rhys Hoskins,13104269,1B,4400,PHI@SF 08/09/2019 10:15PM ET,PHI,8.63
,,,,,,,,,,,1B,David Freese (13103922),David Freese,13103922,1B,4300,ARI@LAD 08/09/2019 10:10PM ET,LAD,5.71
,,,,,,,,,,,RP,Josh Fields (13103940),Josh Fields,13103940,P,4300,ARI@LAD 08/09/2019 10:10PM ET,LAD,0
,,,,,,,,,,,2B,Ryan McMahon (13104233),Ryan McMahon,13104233,2B,4300,COL@SD 08/09/2019 10:10PM ET,COL,7.07
,,,,,,,,,,,OF,Tommy Pham (13103929),Tommy Pham,13103929,OF,4300,TB@SEA 08/09/2019 10:10PM ET,TB,8.47
,,,,,,,,,,,OF,Domingo Santana (13104022),Domingo Santana,13104022,OF,4300,TB@SEA 08/09/2019 10:10PM ET,SEA,8.46
,,,,,,,,,,,RP,Dan Altavilla (13104273),Dan Altavilla,13104273,P,4300,TB@SEA 08/09/2019 10:10PM ET,SEA,0.42
,,,,,,,,,,,1B,Nate Lowe (13104375),Nate Lowe,13104375,1B,4300,TB@SEA 08/09/2019 10:10PM ET,TB,7.43
,,,,,,,,,,,RP,Blake Parker (13103928),Blake Parker,13103928,P,4300,PHI@SF 08/09/2019 10:15PM ET,PHI,2.54
,,,,,,,,,,,RP,James Pazos (13104016),James Pazos,13104016,P,4300,PHI@SF 08/09/2019 10:15PM ET,PHI,0
,,,,,,,,,,,C,J.T. Realmuto (13104054),J.T. Realmuto,13104054,C,4300,PHI@SF 08/09/2019 10:15PM ET,PHI,7.47
,,,,,,,,,,,1B/2B,Max Muncy (13104013),Max Muncy,13104013,1B/2B,4200,ARI@LAD 08/09/2019 10:10PM ET,LAD,8.8
,,,,,,,,,,,1B,Kevin Cron (13104130),Kevin Cron,13104130,1B,4200,ARI@LAD 08/09/2019 10:10PM ET,ARI,5.15
,,,,,,,,,,,RP,JT Chargois (13104160),JT Chargois,13104160,P,4200,ARI@LAD 08/09/2019 10:10PM ET,LAD,3.41
,,,,,,,,,,,RP,Jaime Schultz (13104211),Jaime Schultz,13104211,P,4200,ARI@LAD 08/09/2019 10:10PM ET,LAD,0.96
,,,,,,,,,,,OF,Ian Desmond (13103888),Ian Desmond,13103888,OF,4200,COL@SD 08/09/2019 10:10PM ET,COL,6.74
,,,,,,,,,,,RP,Carlos Estevez (13104141),Carlos Estevez,13104141,P,4200,COL@SD 08/09/2019 10:10PM ET,COL,2.92
,,,,,,,,,,,OF,Franchy Cordero (13104171),Franchy Cordero,13104171,OF,4200,COL@SD 08/09/2019 10:10PM ET,SD,4
,,,,,,,,,,,SP,Ryan Castellani (13104277),Ryan Castellani,13104277,P,4200,COL@SD 08/09/2019 10:10PM ET,COL,0
,,,,,,,,,,,SP,Sam Tuivailala (13104055),Sam Tuivailala,13104055,P,4200,TB@SEA 08/09/2019 10:10PM ET,SEA,4.04
,,,,,,,,,,,SP,Andrew Kittredge (13104090),Andrew Kittredge,13104090,P,4200,TB@SEA 08/09/2019 10:10PM ET,TB,5.32
,,,,,,,,,,,1B,Daniel Vogelbach (13104123),Daniel Vogelbach,13104123,1B,4200,TB@SEA 08/09/2019 10:10PM ET,SEA,7.96
,,,,,,,,,,,SP,Matt Wisler (13104152),Matt Wisler,13104152,P,4200,TB@SEA 08/09/2019 10:10PM ET,SEA,3.82
,,,,,,,,,,,SP,Jose Alvarez (13103957),Jose Alvarez,13103957,P,4200,PHI@SF 08/09/2019 10:15PM ET,PHI,2.54
,,,,,,,,,,,SS,Jean Segura (13103984),Jean Segura,13103984,SS,4200,PHI@SF 08/09/2019 10:15PM ET,PHI,7.84
,,,,,,,,,,,OF,Mike Yastrzemski (13104008),Mike Yastrzemski,13104008,OF,4200,PHI@SF 08/09/2019 10:15PM ET,SF,7.52
,,,,,,,,,,,3B,Justin Turner (13103919),Justin Turner,13103919,3B,4100,ARI@LAD 08/09/2019 10:10PM ET,LAD,7.82
,,,,,,,,,,,RP,Yoshihisa Hirano (13103933),Yoshihisa Hirano,13103933,P,4100,ARI@LAD 08/09/2019 10:10PM ET,ARI,2.6
