first_name,last_name,position,reg_line,pp_line,game_date,team,opp,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Max,Pacioretty,W,2,1,2019-10-02,VGK,SJS,6.5,3.7,5600,26,11.0,21.8,42.5,8.5,1.5,,
Kevin,Labanc,W,3,2,2019-10-02,SJS,VGK,6.5,2.8,4700,9,0.0,4.7,13.0,8.2,1.7,,
Jaden,Schwartz,W,1,2,2019-10-02,STL,WSH,5.5,3,4900,27,0.0,3.3,11.5,8.1,1.7,,
Darnell,Nurse,D,1,2,2019-10-02,EDM,VAN,6,3.2,4600,4,3.0,9.9,19.5,8.0,1.7,,
Brandon,Pirri,W,3,2,2019-10-02,VGK,SJS,6.5,3.7,4600,26,0.5,8.4,13.5,7.9,1.7,,
Tom,Wilson,W,1,2,2019-10-02,WSH,STL,5.5,2.5,5000,3,0.0,7.9,18.5,7.9,1.6,,
Reilly,Smith,W,1,2,2019-10-02,VGK,SJS,6.5,3.7,5300,26,6.0,13.2,22.5,7.8,1.5,,
Micheal,Ferland,W,1,2,2019-10-02,VAN,EDM,6,2.9,4500,10,0.0,3.5,10.0,7.3,1.6,,
Paul,Stastny,C,3,1,2019-10-02,VGK,SJS,6.5,3.7,5000,15,0.0,11.4,38.0,7.2,1.4,,
James,Neal,W,1,2,2019-10-02,EDM,VAN,6,3.2,4500,4,2.0,3.3,4.5,7.2,1.6,,
David,Perron,W,2,1,2019-10-02,STL,WSH,5.5,3,4400,27,3.0,8.4,17.5,7.1,1.6,,
Oscar,Klefbom,D,2,1,2019-10-02,EDM,VAN,6,3.2,5000,4,3.5,7.3,14.0,7.1,1.4,,
Tanner,Pearson,W,2,2,2019-10-02,VAN,EDM,6,2.9,4000,10,2.5,14.5,33.0,7.1,1.8,,
J.T.,Miller,W,2,1,2019-10-02,VAN,EDM,6,2.9,4200,10,0.0,7.3,14.0,7.0,1.7,,
Anthony,Duclair,W,2,2,2019-10-02,OTT,TOR,6.5,2.5,3900,21,3.5,14.3,26.5,7.0,1.8,,
Kasperi,Kapanen,W,1,2,2019-10-02,TOR,OTT,6.5,4,4300,12,1.5,7.0,18.0,7.0,1.6,,
Cody,Ceci,D,1,,2019-10-02,TOR,OTT,6.5,4,4200,24,3.0,10.2,25.5,6.9,1.6,,
Bobby,Ryan,W,2,1,2019-10-02,OTT,TOR,6.5,2.5,3800,21,0.0,5.2,13.0,6.8,1.8,,
Alexander,Kerfoot,C,3,2,2019-10-02,TOR,OTT,6.5,4,3200,24,1.5,4.5,8.0,6.7,2.1,,
Colton,Parayko,D,2,,2019-10-02,STL,WSH,5.5,3,4700,31,2.0,5.9,12.0,6.3,1.3,,
Nate,Schmidt,D,1,2,2019-10-02,VGK,SJS,6.5,3.7,4000,11,2.0,8.0,16.5,6.1,1.5,,
Marc-Edouard,Vlasic,D,2,2,2019-10-02,SJS,VGK,6.5,2.8,3900,15,4.0,6.1,9.0,6.0,1.5,,
Richard,Panik,W,3,1,2019-10-02,WSH,STL,5.5,2.5,3400,3,2.0,7.8,13.5,5.9,1.7,,
Cody,Glass,C,2,1,2019-10-02,VGK,SJS,6.5,3.7,2800,15,,,,5.8,2.1,,
Artem,Anisimov,C,3,,2019-10-02,OTT,TOR,6.5,2.5,3700,23,0.0,6.3,13.0,5.7,1.5,,
Colin,White,C,1,1,2019-10-02,OTT,TOR,6.5,2.5,4100,23,0.0,5.6,14.5,5.6,1.4,,
Quinn,Hughes,D,2,2,2019-10-02,VAN,EDM,6,2.9,4000,13,0.0,4.9,13.0,5.3,1.3,,
Dmitry,Orlov,D,2,2,2019-10-02,WSH,STL,5.5,2.5,3400,19,0.0,5.0,8.0,5.1,1.5,,
Lars,Eller,C,2,2,2019-10-02,WSH,STL,5.5,2.5,4500,18,0.0,4.1,8.5,5.1,1.1,,
Alex,Chiasson,W,3,1,2019-10-02,EDM,VAN,6,3.2,3000,4,0.0,4.5,15.0,5.0,1.7,,
Jean-Gabriel,Pageau,C,4,2,2019-10-02,OTT,TOR,6.5,2.5,3500,23,2.5,6.6,17.5,5.0,1.4,,
Jake,Virtanen,W,4,,2019-10-02,VAN,EDM,6,2.9,3400,10,0.0,5.4,13.0,4.9,1.4,,
Vince,Dunn,D,3,2,2019-10-02,STL,WSH,5.5,3,4400,31,0.5,3.6,9.5,4.7,1.1,,
Josh,Leivo,W,3,1,2019-10-02,VAN,EDM,6,2.9,3200,10,1.5,5.9,12.5,4.6,1.4,,
Carl,Hagelin,W,3,,2019-10-02,WSH,STL,5.5,2.5,3300,3,0.0,4.4,9.0,4.6,1.4,,
Brandon,Sutter,C,3,,2019-10-02,VAN,EDM,6,2.9,2800,30,1.5,5.1,8.0,4.6,1.6,,
Brayden,McNabb,D,1,,2019-10-02,VGK,SJS,6.5,3.7,3000,11,1.0,6.3,9.5,4.5,1.5,,
Jake,Muzzin,D,2,,2019-10-02,TOR,OTT,6.5,4,4500,24,1.5,3.6,5.0,4.5,1.0,,
Tyler,Myers,D,1,2,2019-10-02,VAN,EDM,6,2.9,4100,13,2.0,3.9,6.5,4.4,1.1,,
Drake,Batherson,W,3,1,2019-10-02,OTT,TOR,6.5,2.5,3700,21,0.5,3.9,8.5,4.4,1.2,,
Radko,Gudas,D,3,,2019-10-02,WSH,STL,5.5,2.5,3300,19,0.0,4.4,12.0,4.3,1.3,,
Troy,Stecher,D,3,,2019-10-02,VAN,EDM,6,2.9,2900,13,2.5,6.7,18.5,4.3,1.5,,
Dylan,DeMelo,D,3,,2019-10-02,OTT,TOR,6.5,2.5,3500,21,1.0,3.9,8.0,4.2,1.2,,
Mark,Borowiecki,D,3,,2019-10-02,OTT,TOR,6.5,2.5,2800,21,0.5,4.0,6.0,4.2,1.5,,
Tyler,Bozak,C,3,1,2019-10-02,STL,WSH,5.5,3,3600,1,0.0,3.4,8.5,4.2,1.2,,
Markus,Granlund,C,3,,2019-10-02,EDM,VAN,6,3.2,3300,28,0.0,5.2,10.0,4.2,1.3,,
Ethan,Bear,D,2,2,2019-10-02,EDM,VAN,6,3.2,2600,4,1.5,4.3,7.5,4.2,1.6,,
Zack,Kassian,W,2,,2019-10-02,EDM,VAN,6,3.2,3900,4,0.0,3.1,9.5,4.2,1.1,,
Chris,Tierney,C,2,,2019-10-02,OTT,TOR,6.5,2.5,2900,23,1.5,4.8,9.5,4.1,1.4,,
Nick,Holden,D,3,,2019-10-02,VGK,SJS,6.5,3.7,2700,11,0.0,4.0,7.0,4.0,1.5,,
Adam,Larsson,D,1,,2019-10-02,EDM,VAN,6,3.2,3300,4,0.5,3.7,5.5,4.0,1.2,,
Christopher,Tanev,D,2,,2019-10-02,VAN,EDM,6,2.9,3100,13,0.5,4.2,11.5,3.9,1.3,,
Joe,Thornton,C,3,2,2019-10-02,SJS,VGK,6.5,2.8,3400,31,0.0,6.2,26.5,3.8,1.1,,
Ron,Hainsey,D,2,,2019-10-02,OTT,TOR,6.5,2.5,3300,21,0.0,3.3,8.0,3.8,1.2,,
Jujhar,Khaira,W,4,,2019-10-02,EDM,VAN,6,3.2,2700,4,0.0,4.3,9.5,3.7,1.4,,
Brendan,Leipsic,W,4,2,2019-10-02,WSH,STL,5.5,2.5,2800,3,2.0,4.8,12.0,3.7,1.3,,
