CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,TE,Harrison Bryant (16117674),Harrison Bryant,16117674,CPT,1200,CLE@PIT 01/10/2021 08:15PM ET,CLE,4.91
,,,,,,,RB,Benny Snell Jr. (16117629),Benny Snell Jr.,16117629,FLEX,1000,CLE@PIT 01/10/2021 08:15PM ET,PIT,5.26
,,,,,,,WR,KhaDarel Hodge (16117675),KhaDarel Hodge,16117675,CPT,900,CLE@PIT 01/10/2021 08:15PM ET,CLE,4.14
,,,,,,,TE,Harrison Bryant (16117630),Harrison Bryant,16117630,FLEX,800,CLE@PIT 01/10/2021 08:15PM ET,CLE,4.91
,,,,,,,WR,KhaDarel Hodge (16117631),KhaDarel Hodge,16117631,FLEX,600,CLE@PIT 01/10/2021 08:15PM ET,CLE,4.14
,,,,,,,WR,Ray-Ray McCloud III (16117676),Ray-Ray McCloud III,16117676,CPT,600,CLE@PIT 01/10/2021 08:15PM ET,PIT,2.08
,,,,,,,WR,Ray-Ray McCloud III (16117632),Ray-Ray McCloud III,16117632,FLEX,400,CLE@PIT 01/10/2021 08:15PM ET,PIT,2.08
,,,,,,,RB,Derek Watt (16117677),Derek Watt,16117677,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,PIT,0
,,,,,,,WR,Odell Beckham Jr. (16117678),Odell Beckham Jr.,16117678,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,12.4
,,,,,,,WR,Taywan Taylor (16117679),Taywan Taylor,16117679,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,0
,,,,,,,TE,Zach Gentry (16117680),Zach Gentry,16117680,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,PIT,0
,,,,,,,WR,Ja'Marcus Bradley (16117681),Ja'Marcus Bradley,16117681,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,11
,,,,,,,TE,Kevin Rader (16117682),Kevin Rader,16117682,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,PIT,0
,,,,,,,RB,D'Ernest Johnson (16117683),D'Ernest Johnson,16117683,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,1.5
,,,,,,,RB,Trey Edmunds (16117684),Trey Edmunds,16117684,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,PIT,0
,,,,,,,WR,Marvin Hall (16117685),Marvin Hall,16117685,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,5.28
,,,,,,,WR,Alexander Hollins (16117686),Alexander Hollins,16117686,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,0
,,,,,,,RB,Anthony McFarland Jr. (16117687),Anthony McFarland Jr.,16117687,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,PIT,2.06
,,,,,,,RB,Jaylen Samuels (16117688),Jaylen Samuels,16117688,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,PIT,1.82
,,,,,,,WR,JoJo Natson (16117689),JoJo Natson,16117689,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,0.1
,,,,,,,TE,Stephen Carlson (16117690),Stephen Carlson,16117690,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,0.59
,,,,,,,RB,Andy Janovich (16117691),Andy Janovich,16117691,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,0.46
,,,,,,,RB,John Kelly (16117692),John Kelly,16117692,CPT,300,CLE@PIT 01/10/2021 08:15PM ET,CLE,0
,,,,,,,RB,Derek Watt (16117633),Derek Watt,16117633,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,PIT,0
,,,,,,,WR,Odell Beckham Jr. (16117634),Odell Beckham Jr.,16117634,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,12.4
