QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,RB,Javonte Williams (31485660),Javonte Williams,31485660,RB/FLEX,5800,DEN@LAC 12/10/2023 04:25PM ET,DEN,10.63
,,,,,,,,,,WR,Zay Flowers (31485926),Zay Flowers,31485926,WR/FLEX,5700,LAR@BAL 12/10/2023 01:00PM ET,BAL,11.91
,,,,,,,,,,RB,Devin Singletary (31485662),Devin Singletary,31485662,RB/FLEX,5700,HOU@NYJ 12/10/2023 01:00PM ET,HOU,8.79
,,,,,,,,,,WR,Jakobi Meyers (31485928),Jakobi Meyers,31485928,WR/FLEX,5700,MIN@LV 12/10/2023 04:05PM ET,LV,14.09
,,,,,,,,,,QB,Geno Smith (31485564),Geno Smith,31485564,QB,5700,SEA@SF 12/10/2023 04:05PM ET,SEA,16.3
,,,,,,,,,,QB,Derek Carr (31485565),Derek Carr,31485565,QB,5600,CAR@NO 12/10/2023 01:00PM ET,NO,13.86
,,,,,,,,,,RB,Chuba Hubbard (31485664),Chuba Hubbard,31485664,RB/FLEX,5600,CAR@NO 12/10/2023 01:00PM ET,CAR,10.6
,,,,,,,,,,WR,Tyler Lockett (31485930),Tyler Lockett,31485930,WR/FLEX,5600,SEA@SF 12/10/2023 04:05PM ET,SEA,12.27
,,,,,,,,,,RB,Jerome Ford (31485666),Jerome Ford,31485666,RB/FLEX,5500,JAX@CLE 12/10/2023 01:00PM ET,CLE,13.11
,,,,,,,,,,QB,Jameis Winston (31485566),Jameis Winston,31485566,QB,5500,CAR@NO 12/10/2023 01:00PM ET,NO,3.03
,,,,,,,,,,WR,Garrett Wilson (31485932),Garrett Wilson,31485932,WR/FLEX,5500,HOU@NYJ 12/10/2023 01:00PM ET,NYJ,13.42
,,,,,,,,,,RB,Alexander Mattison (31485668),Alexander Mattison,31485668,RB/FLEX,5500,MIN@LV 12/10/2023 04:05PM ET,MIN,9.98
,,,,,,,,,,WR,Jordan Addison (31485934),Jordan Addison,31485934,WR/FLEX,5500,MIN@LV 12/10/2023 04:05PM ET,MIN,13.98
,,,,,,,,,,TE,Dalton Kincaid (31486298),Dalton Kincaid,31486298,TE/FLEX,5500,BUF@KC 12/10/2023 04:25PM ET,BUF,10.4
,,,,,,,,,,QB,Gardner Minshew II (31485567),Gardner Minshew II,31485567,QB,5400,IND@CIN 12/10/2023 01:00PM ET,IND,12.63
,,,,,,,,,,TE,Taysom Hill (31486300),Taysom Hill,31486300,TE/FLEX,5400,CAR@NO 12/10/2023 01:00PM ET,NO,9.95
,,,,,,,,,,RB,Zach Charbonnet (31485670),Zach Charbonnet,31485670,RB/FLEX,5400,SEA@SF 12/10/2023 04:05PM ET,SEA,7.36
,,,,,,,,,,WR,Rashee Rice (31485936),Rashee Rice,31485936,WR/FLEX,5400,BUF@KC 12/10/2023 04:25PM ET,KC,11.98
,,,,,,,,,,QB,Baker Mayfield (31485568),Baker Mayfield,31485568,QB,5300,TB@ATL 12/10/2023 01:00PM ET,TB,16.31
,,,,,,,,,,RB,D'Onta Foreman (31485672),D'Onta Foreman,31485672,RB/FLEX,5200,DET@CHI 12/10/2023 01:00PM ET,CHI,11.8
,,,,,,,,,,QB,Jake Browning (31485569),Jake Browning,31485569,QB,5200,IND@CIN 12/10/2023 01:00PM ET,CIN,13.32
,,,,,,,,,,RB,Khalil Herbert (31485674),Khalil Herbert,31485674,RB/FLEX,5100,DET@CHI 12/10/2023 01:00PM ET,CHI,9.63
,,,,,,,,,,QB,Aidan O'Connell (31485570),Aidan O'Connell,31485570,QB,5100,MIN@LV 12/10/2023 04:05PM ET,LV,10.44
,,,,,,,,,,QB,Desmond Ridder (31485571),Desmond Ridder,31485571,QB,5000,TB@ATL 12/10/2023 01:00PM ET,ATL,13.6
,,,,,,,,,,RB,Dameon Pierce (31485676),Dameon Pierce,31485676,RB/FLEX,5000,HOU@NYJ 12/10/2023 01:00PM ET,HOU,7.67
