P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,SP,Antonio Senzatela (13097241),Antonio Senzatela,13097241,P,4600,COL@SD 08/08/2019 10:10PM ET,COL,6.64
,,,,,,,,,,,RP,Yency Almonte (13097251),Yency Almonte,13097251,P,4600,COL@SD 08/08/2019 10:10PM ET,COL,2.72
,,,,,,,,,,,RP,Tony Watson (13097126),Tony Watson,13097126,P,4600,PHI@SF 08/08/2019 09:45PM ET,SF,2.45
,,,,,,,,,,,RP,Austin Davis (13097290),Austin Davis,13097290,P,4600,PHI@SF 08/08/2019 09:45PM ET,PHI,1.95
,,,,,,,,,,,1B/OF,Jay Bruce (13097109),Jay Bruce,13097109,1B/OF,4500,PHI@SF 08/08/2019 09:45PM ET,PHI,7.98
,,,,,,,,,,,RP,Edward Paredes (13097129),Edward Paredes,13097129,P,4500,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,3B/SS,Manny Machado (13097183),Manny Machado,13097183,3B/SS,4400,COL@SD 08/08/2019 10:10PM ET,SD,8.54
,,,,,,,,,,,2B,Ryan McMahon (13097267),Ryan McMahon,13097267,2B,4400,COL@SD 08/08/2019 10:10PM ET,COL,7.08
,,,,,,,,,,,3B/OF,Scott Kingery (13097301),Scott Kingery,13097301,3B/OF,4400,PHI@SF 08/08/2019 09:45PM ET,PHI,8.25
,,,,,,,,,,,OF,Ian Desmond (13097097),Ian Desmond,13097097,OF,4300,COL@SD 08/08/2019 10:10PM ET,COL,6.81
,,,,,,,,,,,1B,Eric Hosmer (13097137),Eric Hosmer,13097137,1B,4300,COL@SD 08/08/2019 10:10PM ET,SD,7.76
,,,,,,,,,,,OF,Hunter Renfroe (13097195),Hunter Renfroe,13097195,OF,4300,COL@SD 08/08/2019 10:10PM ET,SD,7.58
,,,,,,,,,,,RP,Blake Parker (13097127),Blake Parker,13097127,P,4300,PHI@SF 08/08/2019 09:45PM ET,PHI,2.54
