CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,WR,Gehrig Dieter (16188852),Gehrig Dieter,16188852,CPT,300,BUF@KC 01/24/2021 06:40PM ET,KC,2
,,,,,,,WR,Andre Roberts (16188853),Andre Roberts,16188853,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,0.3
,,,,,,,TE,Nick Keizer (16188854),Nick Keizer,16188854,CPT,300,BUF@KC 01/24/2021 06:40PM ET,KC,1.03
,,,,,,,TE,Lee Smith (16188855),Lee Smith,16188855,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,3.9
,,,,,,,TE,Ricky Seals-Jones (16188856),Ricky Seals-Jones,16188856,CPT,300,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,RB,Zack Moss (16188857),Zack Moss,16188857,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,7.88
,,,,,,,RB,Antonio Williams (16188858),Antonio Williams,16188858,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,21.3
,,,,,,,TE,Deon Yelder (16188859),Deon Yelder,16188859,CPT,300,BUF@KC 01/24/2021 06:40PM ET,KC,1.77
,,,,,,,WR,Chad Williams (16188860),Chad Williams,16188860,CPT,300,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,TE,Tyler Kroft (16188861),Tyler Kroft,16188861,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,5.99
,,,,,,,WR,Isaiah Hodgins (16188862),Isaiah Hodgins,16188862,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,TE,Reggie Gilliam (16188863),Reggie Gilliam,16188863,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,2.4
,,,,,,,TE,Tommy Sweeney (16188864),Tommy Sweeney,16188864,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,TE,James Winchester (16188865),James Winchester,16188865,CPT,300,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,WR,Marcus Kemp (16188866),Marcus Kemp,16188866,CPT,300,BUF@KC 01/24/2021 06:40PM ET,KC,0.42
,,,,,,,WR,Tajae Sharpe (16188867),Tajae Sharpe,16188867,CPT,300,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,WR,Duke Williams (16188868),Duke Williams,16188868,CPT,300,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,RB,Anthony Sherman (16188802),Anthony Sherman,16188802,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,KC,1.38
,,,,,,,RB,Taiwan Jones (16188803),Taiwan Jones,16188803,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,WR,Gehrig Dieter (16188804),Gehrig Dieter,16188804,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,KC,2
,,,,,,,WR,Andre Roberts (16188805),Andre Roberts,16188805,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,0.3
,,,,,,,TE,Nick Keizer (16188806),Nick Keizer,16188806,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,KC,1.03
,,,,,,,TE,Lee Smith (16188807),Lee Smith,16188807,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,3.9
,,,,,,,TE,Ricky Seals-Jones (16188808),Ricky Seals-Jones,16188808,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,RB,Zack Moss (16188809),Zack Moss,16188809,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,7.88
,,,,,,,RB,Antonio Williams (16188810),Antonio Williams,16188810,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,21.3
,,,,,,,TE,Deon Yelder (16188811),Deon Yelder,16188811,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,KC,1.77
,,,,,,,WR,Chad Williams (16188812),Chad Williams,16188812,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,TE,Tyler Kroft (16188813),Tyler Kroft,16188813,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,5.99
,,,,,,,WR,Isaiah Hodgins (16188814),Isaiah Hodgins,16188814,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,TE,Reggie Gilliam (16188815),Reggie Gilliam,16188815,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,2.4
,,,,,,,TE,Tommy Sweeney (16188816),Tommy Sweeney,16188816,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,TE,James Winchester (16188817),James Winchester,16188817,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,WR,Marcus Kemp (16188818),Marcus Kemp,16188818,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,KC,0.42
,,,,,,,WR,Tajae Sharpe (16188819),Tajae Sharpe,16188819,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,WR,Duke Williams (16188820),Duke Williams,16188820,FLEX,200,BUF@KC 01/24/2021 06:40PM ET,BUF,0
