CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
16188726,16188728,16188732,16188730,16188743,16188752,,QB,Aaron Rodgers (16188680),Aaron Rodgers,16188680,FLEX,11200,TB@GB 01/24/2021 03:05PM ET,GB,25.34
16188749,16188727,16188728,16188732,16188726,16188741,,QB,Tom Brady (16188681),Tom Brady,16188681,FLEX,10600,TB@GB 01/24/2021 03:05PM ET,TB,23.34
16188732,16188728,16188730,16188734,16188726,16188752,,WR,Allen Lazard (16188733),Allen Lazard,16188733,CPT,9900,TB@GB 01/24/2021 03:05PM ET,GB,10.94
16188732,16188728,16188730,16188726,16188749,16188741,,RB,Aaron Jones (16188682),Aaron Jones,16188682,FLEX,9800,TB@GB 01/24/2021 03:05PM ET,GB,19.08
16188728,16188727,16188730,16188726,16188749,16188754,,TE,Robert Tonyan (16188734),Robert Tonyan,16188734,CPT,9300,TB@GB 01/24/2021 03:05PM ET,GB,11.66
,,,,,,,WR,Mike Evans (16188683),Mike Evans,16188683,FLEX,9000,TB@GB 01/24/2021 03:05PM ET,TB,16.04
,,,,,,,QB,Tim Boyle (16188735),Tim Boyle,16188735,CPT,9000,TB@GB 01/24/2021 03:05PM ET,GB,-0.11
,,,,,,,QB,Jordan Love (16188736),Jordan Love,16188736,CPT,9000,TB@GB 01/24/2021 03:05PM ET,GB,0
,,,,,,,QB,Blaine Gabbert (16188737),Blaine Gabbert,16188737,CPT,9000,TB@GB 01/24/2021 03:05PM ET,TB,3.83
,,,,,,,QB,Ryan Griffin (16188738),Ryan Griffin,16188738,CPT,9000,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,WR,Antonio Brown (16188739),Antonio Brown,16188739,CPT,8700,TB@GB 01/24/2021 03:05PM ET,TB,13.72
,,,,,,,RB,Leonard Fournette (16188684),Leonard Fournette,16188684,FLEX,8400,TB@GB 01/24/2021 03:05PM ET,TB,12.85
,,,,,,,RB,Ronald Jones II (16188740),Ronald Jones II,16188740,CPT,8100,TB@GB 01/24/2021 03:05PM ET,TB,13.77
,,,,,,,WR,Chris Godwin (16188685),Chris Godwin,16188685,FLEX,7800,TB@GB 01/24/2021 03:05PM ET,TB,15.74
,,,,,,,WR,Marquez Valdes-Scantling (16188741),Marquez Valdes-Scantling,16188741,CPT,7500,TB@GB 01/24/2021 03:05PM ET,GB,9.91
,,,,,,,TE,Cameron Brate (16188742),Cameron Brate,16188742,CPT,6900,TB@GB 01/24/2021 03:05PM ET,TB,5.58
,,,,,,,WR,Allen Lazard (16188686),Allen Lazard,16188686,FLEX,6600,TB@GB 01/24/2021 03:05PM ET,GB,10.94
,,,,,,,TE,Rob Gronkowski (16188743),Rob Gronkowski,16188743,CPT,6600,TB@GB 01/24/2021 03:05PM ET,TB,8.59
,,,,,,,TE,Robert Tonyan (16188687),Robert Tonyan,16188687,FLEX,6200,TB@GB 01/24/2021 03:05PM ET,GB,11.66
,,,,,,,QB,Tim Boyle (16188688),Tim Boyle,16188688,FLEX,6000,TB@GB 01/24/2021 03:05PM ET,GB,-0.11
,,,,,,,QB,Jordan Love (16188689),Jordan Love,16188689,FLEX,6000,TB@GB 01/24/2021 03:05PM ET,GB,0
,,,,,,,QB,Blaine Gabbert (16188690),Blaine Gabbert,16188690,FLEX,6000,TB@GB 01/24/2021 03:05PM ET,TB,3.83
,,,,,,,QB,Ryan Griffin (16188691),Ryan Griffin,16188691,FLEX,6000,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,WR,Antonio Brown (16188692),Antonio Brown,16188692,FLEX,5800,TB@GB 01/24/2021 03:05PM ET,TB,13.72
,,,,,,,K,Mason Crosby (16188744),Mason Crosby,16188744,CPT,5700,TB@GB 01/24/2021 03:05PM ET,GB,7.53
,,,,,,,RB,Ronald Jones II (16188693),Ronald Jones II,16188693,FLEX,5400,TB@GB 01/24/2021 03:05PM ET,TB,13.77
,,,,,,,K,Ryan Succop (16188745),Ryan Succop,16188745,CPT,5400,TB@GB 01/24/2021 03:05PM ET,TB,9.44
,,,,,,,WR,Marquez Valdes-Scantling (16188694),Marquez Valdes-Scantling,16188694,FLEX,5000,TB@GB 01/24/2021 03:05PM ET,GB,9.91
,,,,,,,TE,Cameron Brate (16188695),Cameron Brate,16188695,FLEX,4600,TB@GB 01/24/2021 03:05PM ET,TB,5.58
,,,,,,,DST,Packers  (16188746),Packers ,16188746,CPT,4500,TB@GB 01/24/2021 03:05PM ET,GB,5.82
,,,,,,,TE,Rob Gronkowski (16188696),Rob Gronkowski,16188696,FLEX,4400,TB@GB 01/24/2021 03:05PM ET,TB,8.59
,,,,,,,DST,Buccaneers  (16188747),Buccaneers ,16188747,CPT,3900,TB@GB 01/24/2021 03:05PM ET,TB,7.33
,,,,,,,K,Mason Crosby (16188697),Mason Crosby,16188697,FLEX,3800,TB@GB 01/24/2021 03:05PM ET,GB,7.53
,,,,,,,K,Ryan Succop (16188698),Ryan Succop,16188698,FLEX,3600,TB@GB 01/24/2021 03:05PM ET,TB,9.44
,,,,,,,RB,Jamaal Williams (16188748),Jamaal Williams,16188748,CPT,3300,TB@GB 01/24/2021 03:05PM ET,GB,8.91
,,,,,,,DST,Packers  (16188699),Packers ,16188699,FLEX,3000,TB@GB 01/24/2021 03:05PM ET,GB,5.82
,,,,,,,WR,Scotty Miller (16188749),Scotty Miller,16188749,CPT,2700,TB@GB 01/24/2021 03:05PM ET,TB,6.63
,,,,,,,DST,Buccaneers  (16188700),Buccaneers ,16188700,FLEX,2600,TB@GB 01/24/2021 03:05PM ET,TB,7.33
,,,,,,,RB,Jamaal Williams (16188701),Jamaal Williams,16188701,FLEX,2200,TB@GB 01/24/2021 03:05PM ET,GB,8.91
,,,,,,,WR,Scotty Miller (16188702),Scotty Miller,16188702,FLEX,1800,TB@GB 01/24/2021 03:05PM ET,TB,6.63
,,,,,,,RB,AJ Dillon (16188750),AJ Dillon,16188750,CPT,1800,TB@GB 01/24/2021 03:05PM ET,GB,4.6
,,,,,,,WR,Equanimeous St. Brown (16188751),Equanimeous St. Brown,16188751,CPT,1500,TB@GB 01/24/2021 03:05PM ET,GB,3.23
,,,,,,,RB,AJ Dillon (16188703),AJ Dillon,16188703,FLEX,1200,TB@GB 01/24/2021 03:05PM ET,GB,4.6
,,,,,,,WR,Tyler Johnson (16188752),Tyler Johnson,16188752,CPT,1200,TB@GB 01/24/2021 03:05PM ET,TB,3.62
,,,,,,,WR,Equanimeous St. Brown (16188704),Equanimeous St. Brown,16188704,FLEX,1000,TB@GB 01/24/2021 03:05PM ET,GB,3.23
,,,,,,,WR,Tavon Austin (16188753),Tavon Austin,16188753,CPT,900,TB@GB 01/24/2021 03:05PM ET,GB,1.2
,,,,,,,WR,Tyler Johnson (16188705),Tyler Johnson,16188705,FLEX,800,TB@GB 01/24/2021 03:05PM ET,TB,3.62
,,,,,,,WR,Tavon Austin (16188706),Tavon Austin,16188706,FLEX,600,TB@GB 01/24/2021 03:05PM ET,GB,1.2
,,,,,,,TE,Marcedes Lewis (16188754),Marcedes Lewis,16188754,CPT,600,TB@GB 01/24/2021 03:05PM ET,GB,3.52
,,,,,,,TE,Marcedes Lewis (16188707),Marcedes Lewis,16188707,FLEX,400,TB@GB 01/24/2021 03:05PM ET,GB,3.52
,,,,,,,RB,LeSean McCoy (16188755),LeSean McCoy,16188755,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,3.52
,,,,,,,TE,John Lovett (16188756),John Lovett,16188756,CPT,300,TB@GB 01/24/2021 03:05PM ET,GB,0.15
,,,,,,,WR,Malik Taylor (16188757),Malik Taylor,16188757,CPT,300,TB@GB 01/24/2021 03:05PM ET,GB,1.68
,,,,,,,TE,Dominique Dafney (16188758),Dominique Dafney,16188758,CPT,300,TB@GB 01/24/2021 03:05PM ET,GB,3.53
,,,,,,,RB,Patrick Taylor (16188759),Patrick Taylor,16188759,CPT,300,TB@GB 01/24/2021 03:05PM ET,GB,0
,,,,,,,RB,T.J. Logan (16188760),T.J. Logan,16188760,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,TE,Josiah Deguara (16188761),Josiah Deguara,16188761,CPT,300,TB@GB 01/24/2021 03:05PM ET,GB,1.1
,,,,,,,WR,Justin Watson (16188762),Justin Watson,16188762,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,2.34
,,,,,,,WR,John Franklin III (16188763),John Franklin III,16188763,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,RB,Kenjon Barner (16188764),Kenjon Barner,16188764,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,TE,Tanner Hudson (16188765),Tanner Hudson,16188765,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,1.78
,,,,,,,TE,Antony Auclair (16188766),Antony Auclair,16188766,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,TE,Jace Sternberger (16188767),Jace Sternberger,16188767,CPT,300,TB@GB 01/24/2021 03:05PM ET,GB,3.27
,,,,,,,RB,Tyler Ervin (16188768),Tyler Ervin,16188768,CPT,300,TB@GB 01/24/2021 03:05PM ET,GB,3.26
,,,,,,,RB,Ke'Shawn Vaughn (16188769),Ke'Shawn Vaughn,16188769,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,3.63
,,,,,,,WR,Jaydon Mickens (16188770),Jaydon Mickens,16188770,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,1.07
,,,,,,,TE,O.J. Howard (16188771),O.J. Howard,16188771,CPT,300,TB@GB 01/24/2021 03:05PM ET,TB,9.4
,,,,,,,RB,Dexter Williams (16188772),Dexter Williams,16188772,CPT,300,TB@GB 01/24/2021 03:05PM ET,GB,0.8
,,,,,,,RB,LeSean McCoy (16188708),LeSean McCoy,16188708,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,3.52
,,,,,,,TE,John Lovett (16188709),John Lovett,16188709,FLEX,200,TB@GB 01/24/2021 03:05PM ET,GB,0.15
,,,,,,,WR,Malik Taylor (16188710),Malik Taylor,16188710,FLEX,200,TB@GB 01/24/2021 03:05PM ET,GB,1.68
,,,,,,,TE,Dominique Dafney (16188711),Dominique Dafney,16188711,FLEX,200,TB@GB 01/24/2021 03:05PM ET,GB,3.53
,,,,,,,RB,Patrick Taylor (16188712),Patrick Taylor,16188712,FLEX,200,TB@GB 01/24/2021 03:05PM ET,GB,0
,,,,,,,RB,T.J. Logan (16188713),T.J. Logan,16188713,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,TE,Josiah Deguara (16188714),Josiah Deguara,16188714,FLEX,200,TB@GB 01/24/2021 03:05PM ET,GB,1.1
,,,,,,,WR,Justin Watson (16188715),Justin Watson,16188715,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,2.34
,,,,,,,WR,John Franklin III (16188716),John Franklin III,16188716,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,RB,Kenjon Barner (16188717),Kenjon Barner,16188717,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,TE,Tanner Hudson (16188718),Tanner Hudson,16188718,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,1.78
,,,,,,,TE,Antony Auclair (16188719),Antony Auclair,16188719,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,TE,Jace Sternberger (16188720),Jace Sternberger,16188720,FLEX,200,TB@GB 01/24/2021 03:05PM ET,GB,3.27
,,,,,,,RB,Tyler Ervin (16188721),Tyler Ervin,16188721,FLEX,200,TB@GB 01/24/2021 03:05PM ET,GB,3.26
,,,,,,,RB,Ke'Shawn Vaughn (16188722),Ke'Shawn Vaughn,16188722,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,3.63
,,,,,,,WR,Jaydon Mickens (16188723),Jaydon Mickens,16188723,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,1.07
,,,,,,,TE,O.J. Howard (16188724),O.J. Howard,16188724,FLEX,200,TB@GB 01/24/2021 03:05PM ET,TB,9.4
,,,,,,,RB,Dexter Williams (16188725),Dexter Williams,16188725,FLEX,200,TB@GB 01/24/2021 03:05PM ET,GB,0.8
