QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,RB,Xavier Jones (16135636),Xavier Jones,16135636,RB/FLEX,4000,LAR@GB 01/16/2021 04:35PM ET,LAR,0
,,,,,,,,,,RB,Raymond Calais (16135638),Raymond Calais,16135638,RB/FLEX,4000,LAR@GB 01/16/2021 04:35PM ET,LAR,0
,,,,,,,,,,RB,Patrick Taylor (16135640),Patrick Taylor,16135640,RB/FLEX,4000,LAR@GB 01/16/2021 04:35PM ET,GB,0
,,,,,,,,,,RB,Tyler Ervin (16135642),Tyler Ervin,16135642,RB/FLEX,4000,LAR@GB 01/16/2021 04:35PM ET,GB,3.26
,,,,,,,,,,RB,Darrel Williams (16135610),Darrel Williams,16135610,RB/FLEX,4000,CLE@KC 01/17/2021 03:05PM ET,KC,4.19
,,,,,,,,,,RB,Anthony Sherman (16135630),Anthony Sherman,16135630,RB/FLEX,4000,CLE@KC 01/17/2021 03:05PM ET,KC,1.38
,,,,,,,,,,RB,D'Ernest Johnson (16135632),D'Ernest Johnson,16135632,RB/FLEX,4000,CLE@KC 01/17/2021 03:05PM ET,CLE,1.4
,,,,,,,,,,RB,Andy Janovich (16135634),Andy Janovich,16135634,RB/FLEX,4000,CLE@KC 01/17/2021 03:05PM ET,CLE,0.46
,,,,,,,,,,QB,Ryan Griffin (16135573),Ryan Griffin,16135573,QB,4000,TB@NO 01/17/2021 06:40PM ET,TB,0
,,,,,,,,,,RB,Ty Montgomery (16135614),Ty Montgomery,16135614,RB/FLEX,4000,TB@NO 01/17/2021 06:40PM ET,NO,4.7
,,,,,,,,,,RB,T.J. Logan (16135618),T.J. Logan,16135618,RB/FLEX,4000,TB@NO 01/17/2021 06:40PM ET,TB,0
,,,,,,,,,,RB,Michael Burton (16135620),Michael Burton,16135620,RB/FLEX,4000,TB@NO 01/17/2021 06:40PM ET,NO,1.73
,,,,,,,,,,RB,Ke'Shawn Vaughn (16135622),Ke'Shawn Vaughn,16135622,RB/FLEX,4000,TB@NO 01/17/2021 06:40PM ET,TB,3.63
,,,,,,,,,,RB,LeSean McCoy (16135624),LeSean McCoy,16135624,RB/FLEX,4000,TB@NO 01/17/2021 06:40PM ET,TB,3.52
,,,,,,,,,,RB,Kenjon Barner (16135626),Kenjon Barner,16135626,RB/FLEX,4000,TB@NO 01/17/2021 06:40PM ET,TB,0
,,,,,,,,,,RB,Dwayne Washington (16135628),Dwayne Washington,16135628,RB/FLEX,4000,TB@NO 01/17/2021 06:40PM ET,NO,0.25
,,,,,,,,,,TE,Jared Cook (16135784),Jared Cook,16135784,TE/FLEX,4000,TB@NO 01/17/2021 06:40PM ET,NO,8.52
,,,,,,,,,,WR,Allen Lazard (16135692),Allen Lazard,16135692,WR/FLEX,3900,LAR@GB 01/16/2021 04:35PM ET,GB,10.08
,,,,,,,,,,DST,Packers  (16135848),Packers ,16135848,DST,3900,LAR@GB 01/16/2021 04:35PM ET,GB,5.88
,,,,,,,,,,WR,Mecole Hardman (16135690),Mecole Hardman,16135690,WR/FLEX,3900,CLE@KC 01/17/2021 03:05PM ET,KC,8.13
,,,,,,,,,,WR,Marquez Valdes-Scantling (16135694),Marquez Valdes-Scantling,16135694,WR/FLEX,3800,LAR@GB 01/16/2021 04:35PM ET,GB,10.09
,,,,,,,,,,TE,Austin Hooper (16135786),Austin Hooper,16135786,TE/FLEX,3800,CLE@KC 01/17/2021 03:05PM ET,CLE,9.36
,,,,,,,,,,DST,Chiefs  (16135849),Chiefs ,16135849,DST,3600,CLE@KC 01/17/2021 03:05PM ET,KC,6.75
,,,,,,,,,,TE,Rob Gronkowski (16135788),Rob Gronkowski,16135788,TE/FLEX,3600,TB@NO 01/17/2021 06:40PM ET,TB,8.96
,,,,,,,,,,WR,Deonte Harris (16135696),Deonte Harris,16135696,WR/FLEX,3500,TB@NO 01/17/2021 06:40PM ET,NO,6.38
,,,,,,,,,,WR,Scotty Miller (16135698),Scotty Miller,16135698,WR/FLEX,3400,TB@NO 01/17/2021 06:40PM ET,TB,6.8
,,,,,,,,,,WR,Willie Snead IV (16135702),Willie Snead IV,16135702,WR/FLEX,3300,BAL@BUF 01/16/2021 08:15PM ET,BAL,7.15
,,,,,,,,,,WR,Isaiah McKenzie (16135704),Isaiah McKenzie,16135704,WR/FLEX,3300,BAL@BUF 01/16/2021 08:15PM ET,BUF,6.64
,,,,,,,,,,WR,Tre'Quan Smith (16135700),Tre'Quan Smith,16135700,WR/FLEX,3300,TB@NO 01/17/2021 06:40PM ET,NO,7.93
,,,,,,,,,,DST,Saints  (16135850),Saints ,16135850,DST,3300,TB@NO 01/17/2021 06:40PM ET,NO,7.71
,,,,,,,,,,WR,Josh Reynolds (16135708),Josh Reynolds,16135708,WR/FLEX,3200,LAR@GB 01/16/2021 04:35PM ET,LAR,7.83
,,,,,,,,,,WR,Byron Pringle (16135706),Byron Pringle,16135706,WR/FLEX,3200,CLE@KC 01/17/2021 03:05PM ET,KC,5.12
,,,,,,,,,,WR,Miles Boykin (16135710),Miles Boykin,16135710,WR/FLEX,3100,BAL@BUF 01/16/2021 08:15PM ET,BAL,4.64
,,,,,,,,,,TE,Dawson Knox (16135790),Dawson Knox,16135790,TE/FLEX,3100,BAL@BUF 01/16/2021 08:15PM ET,BUF,6.44
,,,,,,,,,,WR,Marquez Callaway (16135712),Marquez Callaway,16135712,WR/FLEX,3100,TB@NO 01/17/2021 06:40PM ET,NO,4.7
,,,,,,,,,,DST,Buccaneers  (16135851),Buccaneers ,16135851,DST,3100,TB@NO 01/17/2021 06:40PM ET,TB,7.24
,,,,,,,,,,WR,Duke Williams (16135714),Duke Williams,16135714,WR/FLEX,3000,BAL@BUF 01/16/2021 08:15PM ET,BUF,0
,,,,,,,,,,WR,Dez Bryant (16135762),Dez Bryant,16135762,WR/FLEX,3000,BAL@BUF 01/16/2021 08:15PM ET,BAL,4.54
,,,,,,,,,,WR,Devin Duvernay (16135764),Devin Duvernay,16135764,WR/FLEX,3000,BAL@BUF 01/16/2021 08:15PM ET,BAL,3.32
,,,,,,,,,,WR,Chris Moore (16135766),Chris Moore,16135766,WR/FLEX,3000,BAL@BUF 01/16/2021 08:15PM ET,BAL,0
,,,,,,,,,,WR,James Proche (16135768),James Proche,16135768,WR/FLEX,3000,BAL@BUF 01/16/2021 08:15PM ET,BAL,0.18
,,,,,,,,,,WR,Antoine Wesley (16135770),Antoine Wesley,16135770,WR/FLEX,3000,BAL@BUF 01/16/2021 08:15PM ET,BAL,0
,,,,,,,,,,WR,DeAndrew White (16135772),DeAndrew White,16135772,WR/FLEX,3000,BAL@BUF 01/16/2021 08:15PM ET,BAL,0
,,,,,,,,,,WR,Andre Roberts (16135774),Andre Roberts,16135774,WR/FLEX,3000,BAL@BUF 01/16/2021 08:15PM ET,BUF,0.32
,,,,,,,,,,WR,Isaiah Hodgins (16135776),Isaiah Hodgins,16135776,WR/FLEX,3000,BAL@BUF 01/16/2021 08:15PM ET,BUF,0
,,,,,,,,,,WR,Van Jefferson Jr. (16135718),Van Jefferson Jr.,16135718,WR/FLEX,3000,LAR@GB 01/16/2021 04:35PM ET,LAR,3.13
,,,,,,,,,,WR,Nsimba Webster (16135752),Nsimba Webster,16135752,WR/FLEX,3000,LAR@GB 01/16/2021 04:35PM ET,LAR,-0.06
,,,,,,,,,,WR,Trishton Jackson (16135754),Trishton Jackson,16135754,WR/FLEX,3000,LAR@GB 01/16/2021 04:35PM ET,LAR,0
,,,,,,,,,,WR,Equanimeous St. Brown (16135756),Equanimeous St. Brown,16135756,WR/FLEX,3000,LAR@GB 01/16/2021 04:35PM ET,GB,3.18
,,,,,,,,,,WR,Tavon Austin (16135758),Tavon Austin,16135758,WR/FLEX,3000,LAR@GB 01/16/2021 04:35PM ET,GB,1.5
,,,,,,,,,,WR,Malik Taylor (16135760),Malik Taylor,16135760,WR/FLEX,3000,LAR@GB 01/16/2021 04:35PM ET,GB,1.85
,,,,,,,,,,TE,Tyler Higbee (16135792),Tyler Higbee,16135792,TE/FLEX,3000,LAR@GB 01/16/2021 04:35PM ET,LAR,8.1
,,,,,,,,,,WR,Donovan Peoples-Jones (16135716),Donovan Peoples-Jones,16135716,WR/FLEX,3000,CLE@KC 01/17/2021 03:05PM ET,CLE,4.63
,,,,,,,,,,WR,Gehrig Dieter (16135736),Gehrig Dieter,16135736,WR/FLEX,3000,CLE@KC 01/17/2021 03:05PM ET,KC,2
,,,,,,,,,,WR,Alexander Hollins (16135738),Alexander Hollins,16135738,WR/FLEX,3000,CLE@KC 01/17/2021 03:05PM ET,CLE,0
,,,,,,,,,,WR,Marvin Hall (16135740),Marvin Hall,16135740,WR/FLEX,3000,CLE@KC 01/17/2021 03:05PM ET,CLE,5.28
,,,,,,,,,,WR,Ja'Marcus Bradley (16135742),Ja'Marcus Bradley,16135742,WR/FLEX,3000,CLE@KC 01/17/2021 03:05PM ET,CLE,11
,,,,,,,,,,WR,KhaDarel Hodge (16135744),KhaDarel Hodge,16135744,WR/FLEX,3000,CLE@KC 01/17/2021 03:05PM ET,CLE,4.14
,,,,,,,,,,WR,Taywan Taylor (16135746),Taywan Taylor,16135746,WR/FLEX,3000,CLE@KC 01/17/2021 03:05PM ET,CLE,0
,,,,,,,,,,WR,Odell Beckham Jr. (16135748),Odell Beckham Jr.,16135748,WR/FLEX,3000,CLE@KC 01/17/2021 03:05PM ET,CLE,12.4
,,,,,,,,,,WR,JoJo Natson (16135750),JoJo Natson,16135750,WR/FLEX,3000,CLE@KC 01/17/2021 03:05PM ET,CLE,0.1
,,,,,,,,,,WR,Tyler Johnson (16135720),Tyler Johnson,16135720,WR/FLEX,3000,TB@NO 01/17/2021 06:40PM ET,TB,3.72
,,,,,,,,,,WR,Justin Watson (16135722),Justin Watson,16135722,WR/FLEX,3000,TB@NO 01/17/2021 06:40PM ET,TB,2.34
,,,,,,,,,,WR,Jaydon Mickens (16135724),Jaydon Mickens,16135724,WR/FLEX,3000,TB@NO 01/17/2021 06:40PM ET,TB,1.16
,,,,,,,,,,WR,John Franklin III (16135726),John Franklin III,16135726,WR/FLEX,3000,TB@NO 01/17/2021 06:40PM ET,TB,0
,,,,,,,,,,WR,Juwan Johnson (16135728),Juwan Johnson,16135728,WR/FLEX,3000,TB@NO 01/17/2021 06:40PM ET,NO,1.58
,,,,,,,,,,WR,Austin Carr (16135730),Austin Carr,16135730,WR/FLEX,3000,TB@NO 01/17/2021 06:40PM ET,NO,2.34
,,,,,,,,,,WR,Lil'Jordan Humphrey (16135732),Lil'Jordan Humphrey,16135732,WR/FLEX,3000,TB@NO 01/17/2021 06:40PM ET,NO,5.33
,,,,,,,,,,WR,Bennie Fowler III (16135734),Bennie Fowler III,16135734,WR/FLEX,3000,TB@NO 01/17/2021 06:40PM ET,NO,1.55
,,,,,,,,,,DST,Bills  (16135852),Bills ,16135852,DST,2900,BAL@BUF 01/16/2021 08:15PM ET,BUF,6.94
,,,,,,,,,,TE,Cameron Brate (16135794),Cameron Brate,16135794,TE/FLEX,2900,TB@NO 01/17/2021 06:40PM ET,TB,5.35
,,,,,,,,,,DST,Ravens  (16135853),Ravens ,16135853,DST,2800,BAL@BUF 01/16/2021 08:15PM ET,BAL,8.71
,,,,,,,,,,TE,Gerald Everett (16135796),Gerald Everett,16135796,TE/FLEX,2700,LAR@GB 01/16/2021 04:35PM ET,LAR,5.87
,,,,,,,,,,DST,Rams  (16135854),Rams ,16135854,DST,2600,LAR@GB 01/16/2021 04:35PM ET,LAR,9.82
,,,,,,,,,,TE,David Njoku (16135798),David Njoku,16135798,TE/FLEX,2600,CLE@KC 01/17/2021 03:05PM ET,CLE,4.5
,,,,,,,,,,TE,Eric Tomlinson (16135836),Eric Tomlinson,16135836,TE/FLEX,2500,BAL@BUF 01/16/2021 08:15PM ET,BAL,0
,,,,,,,,,,TE,Nick Boyle (16135838),Nick Boyle,16135838,TE/FLEX,2500,BAL@BUF 01/16/2021 08:15PM ET,BAL,4.14
,,,,,,,,,,TE,Tyler Kroft (16135840),Tyler Kroft,16135840,TE/FLEX,2500,BAL@BUF 01/16/2021 08:15PM ET,BUF,5.99
,,,,,,,,,,TE,Lee Smith (16135842),Lee Smith,16135842,TE/FLEX,2500,BAL@BUF 01/16/2021 08:15PM ET,BUF,3.9
,,,,,,,,,,TE,Tommy Sweeney (16135844),Tommy Sweeney,16135844,TE/FLEX,2500,BAL@BUF 01/16/2021 08:15PM ET,BUF,0
,,,,,,,,,,TE,Reggie Gilliam (16135846),Reggie Gilliam,16135846,TE/FLEX,2500,BAL@BUF 01/16/2021 08:15PM ET,BUF,2.4
,,,,,,,,,,TE,Johnny Mundt (16135822),Johnny Mundt,16135822,TE/FLEX,2500,LAR@GB 01/16/2021 04:35PM ET,LAR,1.86
,,,,,,,,,,TE,Brycen Hopkins (16135824),Brycen Hopkins,16135824,TE/FLEX,2500,LAR@GB 01/16/2021 04:35PM ET,LAR,0
,,,,,,,,,,TE,Marcedes Lewis (16135826),Marcedes Lewis,16135826,TE/FLEX,2500,LAR@GB 01/16/2021 04:35PM ET,GB,3.52
,,,,,,,,,,TE,Dominique Dafney (16135828),Dominique Dafney,16135828,TE/FLEX,2500,LAR@GB 01/16/2021 04:35PM ET,GB,5.3
,,,,,,,,,,TE,Jace Sternberger (16135830),Jace Sternberger,16135830,TE/FLEX,2500,LAR@GB 01/16/2021 04:35PM ET,GB,3.27
,,,,,,,,,,TE,Josiah Deguara (16135832),Josiah Deguara,16135832,TE/FLEX,2500,LAR@GB 01/16/2021 04:35PM ET,GB,1.1
,,,,,,,,,,TE,John Lovett (16135834),John Lovett,16135834,TE/FLEX,2500,LAR@GB 01/16/2021 04:35PM ET,GB,0.15
,,,,,,,,,,TE,Nick Keizer (16135800),Nick Keizer,16135800,TE/FLEX,2500,CLE@KC 01/17/2021 03:05PM ET,KC,1.03
,,,,,,,,,,TE,Deon Yelder (16135802),Deon Yelder,16135802,TE/FLEX,2500,CLE@KC 01/17/2021 03:05PM ET,KC,1.77
,,,,,,,,,,TE,Harrison Bryant (16135804),Harrison Bryant,16135804,TE/FLEX,2500,CLE@KC 01/17/2021 03:05PM ET,CLE,4.91
,,,,,,,,,,TE,James Winchester (16135818),James Winchester,16135818,TE/FLEX,2500,CLE@KC 01/17/2021 03:05PM ET,KC,0
,,,,,,,,,,TE,Stephen Carlson (16135820),Stephen Carlson,16135820,TE/FLEX,2500,CLE@KC 01/17/2021 03:05PM ET,CLE,0.59
,,,,,,,,,,TE,Tanner Hudson (16135806),Tanner Hudson,16135806,TE/FLEX,2500,TB@NO 01/17/2021 06:40PM ET,TB,1.78
,,,,,,,,,,TE,Antony Auclair (16135808),Antony Auclair,16135808,TE/FLEX,2500,TB@NO 01/17/2021 06:40PM ET,TB,0
,,,,,,,,,,TE,O.J. Howard (16135810),O.J. Howard,16135810,TE/FLEX,2500,TB@NO 01/17/2021 06:40PM ET,TB,9.4
,,,,,,,,,,TE,Adam Trautman (16135812),Adam Trautman,16135812,TE/FLEX,2500,TB@NO 01/17/2021 06:40PM ET,NO,3.59
,,,,,,,,,,TE,Josh Hill (16135814),Josh Hill,16135814,TE/FLEX,2500,TB@NO 01/17/2021 06:40PM ET,NO,1.86
,,,,,,,,,,TE,Zach Wood (16135816),Zach Wood,16135816,TE/FLEX,2500,TB@NO 01/17/2021 06:40PM ET,NO,0
,,,,,,,,,,DST,Browns  (16135855),Browns ,16135855,DST,2300,CLE@KC 01/17/2021 03:05PM ET,CLE,6.29
