PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
,,,,,,,,,C,Nikola Vucevic (16209973),Nikola Vucevic,16209973,C/UTIL,8900,ORL@IND 01/22/2021 07:00PM ET,ORL,47.53
,,,,,,,,,PG,De'Aaron Fox (16209975),De'Aaron Fox,16209975,PG/G/UTIL,8800,NY@SAC 01/22/2021 10:00PM ET,SAC,36.72
,,,,,,,,,PG/SG,D'Angelo Russell (16209978),D'Angelo Russell,16209978,PG/SG/G/UTIL,8700,ATL@MIN 01/22/2021 08:00PM ET,MIN,37.69
,,,,,,,,,C,Bam Adebayo (16209982),Bam Adebayo,16209982,C/UTIL,8600,MIA@TOR 01/22/2021 07:30PM ET,MIA,41.7
,,,,,,,,,C,Christian Wood (16209984),Christian Wood,16209984,C/UTIL,8500,HOU@DET 01/22/2021 07:00PM ET,HOU,44.81
,,,,,,,,,SG/SF,Jaylen Brown (16209986),Jaylen Brown,16209986,SG/SF/F/G/UTIL,8500,BOS@PHI 01/22/2021 07:30PM ET,BOS,42.67
,,,,,,,,,PG/SF,Ben Simmons (16209991),Ben Simmons,16209991,PG/SF/F/G/UTIL,8400,BOS@PHI 01/22/2021 07:30PM ET,PHI,39.67
,,,,,,,,,C,Clint Capela (16209996),Clint Capela,16209996,C/UTIL,8300,ATL@MIN 01/22/2021 08:00PM ET,ATL,38.88
,,,,,,,,,PG,Malcolm Brogdon (16209998),Malcolm Brogdon,16209998,PG/G/UTIL,8200,ORL@IND 01/22/2021 07:00PM ET,IND,42.8
,,,,,,,,,SF/PF,Jerami Grant (16210005),Jerami Grant,16210005,SF/PF/F/UTIL,8100,HOU@DET 01/22/2021 07:00PM ET,DET,42.34
,,,,,,,,,PF/C,Kristaps Porzingis (16210001),Kristaps Porzingis,16210001,PF/C/F/UTIL,8100,DAL@SA 01/22/2021 08:30PM ET,DAL,37.6
,,,,,,,,,PG/SG,Victor Oladipo (16210009),Victor Oladipo,16210009,PG/SG/G/UTIL,8000,HOU@DET 01/22/2021 07:00PM ET,HOU,39.75
,,,,,,,,,SG,Devin Booker (16210013),Devin Booker,16210013,SG/G/UTIL,8000,DEN@PHO 01/22/2021 10:00PM ET,PHO,34.46
,,,,,,,,,PG,Shai Gilgeous-Alexander (16210016),Shai Gilgeous-Alexander,16210016,PG/G/UTIL,7900,OKC@LAC 01/22/2021 10:00PM ET,OKC,39.36
,,,,,,,,,PG,Kyle Lowry (16210019),Kyle Lowry,16210019,PG/G/UTIL,7900,MIA@TOR 01/22/2021 07:30PM ET,TOR,39.67
,,,,,,,,,SF/PF,DeMar DeRozan (16210022),DeMar DeRozan,16210022,SF/PF/F/UTIL,7900,DAL@SA 01/22/2021 08:30PM ET,SA,40.21
,,,,,,,,,PG,LaMelo Ball (16210026),LaMelo Ball,16210026,PG/G/UTIL,7800,CHI@CHA 01/22/2021 07:00PM ET,CHA,33.45
,,,,,,,,,PG/SG,Fred VanVleet (16210029),Fred VanVleet,16210029,PG/SG/G/UTIL,7800,MIA@TOR 01/22/2021 07:30PM ET,TOR,39.11
,,,,,,,,,SF/PF,Gordon Hayward (16210045),Gordon Hayward,16210045,SF/PF/F/UTIL,7700,CHI@CHA 01/22/2021 07:00PM ET,CHA,37.38
,,,,,,,,,PG,Caris LeVert (16210033),Caris LeVert,16210033,PG/G/UTIL,7700,ORL@IND 01/22/2021 07:00PM ET,IND,36.17
,,,,,,,,,PF/C,Pascal Siakam (16210036),Pascal Siakam,16210036,PF/C/F/UTIL,7700,MIA@TOR 01/22/2021 07:30PM ET,TOR,38.42
,,,,,,,,,PG/SF,Jimmy Butler (16210040),Jimmy Butler,16210040,PG/SF/F/G/UTIL,7700,MIA@TOR 01/22/2021 07:30PM ET,MIA,35.71
,,,,,,,,,PG/SF,Aaron Gordon (16210051),Aaron Gordon,16210051,PG/SF/F/G/UTIL,7600,ORL@IND 01/22/2021 07:00PM ET,ORL,33.07
,,,,,,,,,C,Deandre Ayton (16210049),Deandre Ayton,16210049,C/UTIL,7600,DEN@PHO 01/22/2021 10:00PM ET,PHO,35.14
,,,,,,,,,PF/C,John Collins (16210056),John Collins,16210056,PF/C/F/UTIL,7400,ATL@MIN 01/22/2021 08:00PM ET,ATL,32.02
,,,,,,,,,PG,Dejounte Murray (16210060),Dejounte Murray,16210060,PG/G/UTIL,7400,DAL@SA 01/22/2021 08:30PM ET,SA,36.5
,,,,,,,,,PG/SG,Collin Sexton (16210063),Collin Sexton,16210063,PG/SG/G/UTIL,7300,BKN@CLE 01/22/2021 07:30PM ET,CLE,39.28
,,,,,,,,,C,Chris Boucher (16210067),Chris Boucher,16210067,C/UTIL,7300,MIA@TOR 01/22/2021 07:30PM ET,TOR,32.43
,,,,,,,,,PG,John Wall (16210072),John Wall,16210072,PG/G/UTIL,7200,HOU@DET 01/22/2021 07:00PM ET,HOU,35.96
,,,,,,,,,PG,Chris Paul (16210069),Chris Paul,16210069,PG/G/UTIL,7200,DEN@PHO 01/22/2021 10:00PM ET,PHO,33.38
,,,,,,,,,SF/PF,Tobias Harris (16210079),Tobias Harris,16210079,SF/PF/F/UTIL,7100,BOS@PHI 01/22/2021 07:30PM ET,PHI,36.65
,,,,,,,,,PG/SG,Tyler Herro (16210075),Tyler Herro,16210075,PG/SG/G/UTIL,7100,MIA@TOR 01/22/2021 07:30PM ET,MIA,32.22
,,,,,,,,,PG/SG,Coby White (16210086),Coby White,16210086,PG/SG/G/UTIL,7000,CHI@CHA 01/22/2021 07:00PM ET,CHI,32.2
,,,,,,,,,PG,Jamal Murray (16210083),Jamal Murray,16210083,PG/G/UTIL,7000,DEN@PHO 01/22/2021 10:00PM ET,DEN,31.98
,,,,,,,,,C,Myles Turner (16210093),Myles Turner,16210093,C/UTIL,6900,ORL@IND 01/22/2021 07:00PM ET,IND,34.25
,,,,,,,,,SG,Malik Beasley (16210090),Malik Beasley,16210090,SG/G/UTIL,6900,ATL@MIN 01/22/2021 08:00PM ET,MIN,31.42
,,,,,,,,,PF/C,PJ Washington (16210095),PJ Washington,16210095,PF/C/F/UTIL,6800,CHI@CHA 01/22/2021 07:00PM ET,CHA,31.04
,,,,,,,,,SF/PF,Michael Porter Jr. (16210099),Michael Porter Jr.,16210099,SF/PF/F/UTIL,6800,DEN@PHO 01/22/2021 10:00PM ET,DEN,37.06
,,,,,,,,,SG/SF,RJ Barrett (16210103),RJ Barrett,16210103,SG/SF/F/G/UTIL,6800,NY@SAC 01/22/2021 10:00PM ET,NY,34.09
,,,,,,,,,PG/SG,Terry Rozier (16210108),Terry Rozier,16210108,PG/SG/G/UTIL,6700,CHI@CHA 01/22/2021 07:00PM ET,CHA,33.66
,,,,,,,,,PF/C,Larry Nance Jr. (16210112),Larry Nance Jr.,16210112,PF/C/F/UTIL,6700,BKN@CLE 01/22/2021 07:30PM ET,CLE,30.38
,,,,,,,,,PF,Lauri Markkanen (16210118),Lauri Markkanen,16210118,PF/F/UTIL,6600,CHI@CHA 01/22/2021 07:00PM ET,CHI,32.79
,,,,,,,,,C,Jarrett Allen (16210116),Jarrett Allen,16210116,C/UTIL,6600,BKN@CLE 01/22/2021 07:30PM ET,CLE,31.42
,,,,,,,,,SF/PF,Cedi Osman (16210121),Cedi Osman,16210121,SF/PF/F/UTIL,6500,BKN@CLE 01/22/2021 07:30PM ET,CLE,27.54
,,,,,,,,,PG,Kemba Walker (16210125),Kemba Walker,16210125,PG/G/UTIL,6500,BOS@PHI 01/22/2021 07:30PM ET,BOS,27.12
,,,,,,,,,SG/SF,Buddy Hield (16210128),Buddy Hield,16210128,SG/SF/F/G/UTIL,6400,NY@SAC 01/22/2021 10:00PM ET,SAC,28.22
,,,,,,,,,PG,Darius Garland (16210139),Darius Garland,16210139,PG/G/UTIL,6300,BKN@CLE 01/22/2021 07:30PM ET,CLE,34.17
,,,,,,,,,SF/PF,Keldon Johnson (16210133),Keldon Johnson,16210133,SF/PF/F/UTIL,6300,DAL@SA 01/22/2021 08:30PM ET,SA,29.8
,,,,,,,,,C,Richaun Holmes (16210137),Richaun Holmes,16210137,C/UTIL,6300,NY@SAC 01/22/2021 10:00PM ET,SAC,30.27
,,,,,,,,,PG,Devonte' Graham (16210142),Devonte' Graham,16210142,PG/G/UTIL,6200,CHI@CHA 01/22/2021 07:00PM ET,CHA,30.38
,,,,,,,,,PF,Kevin Love (16210145),Kevin Love,16210145,PF/F/UTIL,6200,BKN@CLE 01/22/2021 07:30PM ET,CLE,21.75
,,,,,,,,,PF/C,Blake Griffin (16210152),Blake Griffin,16210152,PF/C/F/UTIL,6200,HOU@DET 01/22/2021 07:00PM ET,DET,29.41
,,,,,,,,,PG/SG,Marcus Smart (16210148),Marcus Smart,16210148,PG/SG/G/UTIL,6200,BOS@PHI 01/22/2021 07:30PM ET,BOS,29.19
,,,,,,,,,SF/PF,OG Anunoby (16210156),OG Anunoby,16210156,SF/PF/F/UTIL,6100,MIA@TOR 01/22/2021 07:30PM ET,TOR,28.75
,,,,,,,,,SF/PF,De'Andre Hunter (16210160),De'Andre Hunter,16210160,SF/PF/F/UTIL,6000,ATL@MIN 01/22/2021 08:00PM ET,ATL,29.92
,,,,,,,,,PG,Goran Dragic (16210164),Goran Dragic,16210164,PG/G/UTIL,6000,MIA@TOR 01/22/2021 07:30PM ET,MIA,27.09
,,,,,,,,,SG/SF,Kevin Huerter (16210167),Kevin Huerter,16210167,SG/SF/F/G/UTIL,5900,ATL@MIN 01/22/2021 08:00PM ET,ATL,26.21
,,,,,,,,,C,Mitchell Robinson (16210172),Mitchell Robinson,16210172,C/UTIL,5900,NY@SAC 01/22/2021 10:00PM ET,NY,26.34
,,,,,,,,,SF/PF,Otto Porter Jr. (16210181),Otto Porter Jr.,16210181,SF/PF/F/UTIL,5800,CHI@CHA 01/22/2021 07:00PM ET,CHI,25.96
,,,,,,,,,C,Wendell Carter Jr. (16210200),Wendell Carter Jr.,16210200,C/UTIL,5800,CHI@CHA 01/22/2021 07:00PM ET,CHI,28.61
,,,,,,,,,SG/SF,Terrence Ross (16210185),Terrence Ross,16210185,SG/SF/F/G/UTIL,5800,ORL@IND 01/22/2021 07:00PM ET,ORL,24.93
,,,,,,,,,PG,Elfrid Payton (16210174),Elfrid Payton,16210174,PG/G/UTIL,5800,NY@SAC 01/22/2021 10:00PM ET,NY,25.34
,,,,,,,,,SF/PF,Harrison Barnes (16210177),Harrison Barnes,16210177,SF/PF/F/UTIL,5800,NY@SAC 01/22/2021 10:00PM ET,SAC,30.07
,,,,,,,,,SG/SF,Eric Gordon (16210190),Eric Gordon,16210190,SG/SF/F/G/UTIL,5700,HOU@DET 01/22/2021 07:00PM ET,HOU,24.75
,,,,,,,,,C,Serge Ibaka (16210198),Serge Ibaka,16210198,C/UTIL,5700,OKC@LAC 01/22/2021 10:00PM ET,LAC,24.7
,,,,,,,,,SG,Duncan Robinson (16210195),Duncan Robinson,16210195,SG/G/UTIL,5700,MIA@TOR 01/22/2021 07:30PM ET,MIA,25
,,,,,,,,,C,Al Horford (16210202),Al Horford,16210202,C/UTIL,5600,OKC@LAC 01/22/2021 10:00PM ET,OKC,26.33
,,,,,,,,,PG,Derrick Rose (16210208),Derrick Rose,16210208,PG/G/UTIL,5500,HOU@DET 01/22/2021 07:00PM ET,DET,27.66
,,,,,,,,,SF,Mikal Bridges (16210211),Mikal Bridges,16210211,SF/F/UTIL,5500,DEN@PHO 01/22/2021 10:00PM ET,PHO,28.54
,,,,,,,,,SG/SF,Will Barton (16210227),Will Barton,16210227,SG/SF/F/G/UTIL,5500,DEN@PHO 01/22/2021 10:00PM ET,DEN,25.05
,,,,,,,,,PF/C,Kelly Olynyk (16210204),Kelly Olynyk,16210204,PF/C/F/UTIL,5500,MIA@TOR 01/22/2021 07:30PM ET,MIA,26.33
,,,,,,,,,SG/SF,Tim Hardaway Jr. (16210218),Tim Hardaway Jr.,16210218,SG/SF/F/G/UTIL,5500,DAL@SA 01/22/2021 08:30PM ET,DAL,28.42
,,,,,,,,,PF/C,LaMarcus Aldridge (16210223),LaMarcus Aldridge,16210223,PF/C/F/UTIL,5500,DAL@SA 01/22/2021 08:30PM ET,SA,24.98
,,,,,,,,,PF/C,Marvin Bagley III (16210214),Marvin Bagley III,16210214,PF/C/F/UTIL,5500,NY@SAC 01/22/2021 10:00PM ET,SAC,26.68
,,,,,,,,,SF/PF,Patrick Williams (16210244),Patrick Williams,16210244,SF/PF/F/UTIL,5400,CHI@CHA 01/22/2021 07:00PM ET,CHI,19.5
,,,,,,,,,SG,Evan Fournier (16210248),Evan Fournier,16210248,SG/G/UTIL,5400,ORL@IND 01/22/2021 07:00PM ET,ORL,24.12
,,,,,,,,,PG/SG,Shake Milton (16210240),Shake Milton,16210240,PG/SG/G/UTIL,5400,BOS@PHI 01/22/2021 07:30PM ET,PHI,26.9
,,,,,,,,,PG/SG,Kendrick Nunn (16210236),Kendrick Nunn,16210236,PG/SG/G/UTIL,5400,MIA@TOR 01/22/2021 07:30PM ET,MIA,18.16
,,,,,,,,,PG/SG,Derrick White (16210232),Derrick White,16210232,PG/SG/G/UTIL,5400,DAL@SA 01/22/2021 08:30PM ET,SA,15.25
,,,,,,,,,SG/SF,Joe Harris (16210251),Joe Harris,16210251,SG/SF/F/G/UTIL,5300,BKN@CLE 01/22/2021 07:30PM ET,BKN,25.45
,,,,,,,,,C,Mason Plumlee (16210259),Mason Plumlee,16210259,C/UTIL,5300,HOU@DET 01/22/2021 07:00PM ET,DET,27.25
,,,,,,,,,PF,T.J. Warren (16210256),T.J. Warren,16210256,PF/F/UTIL,5300,ORL@IND 01/22/2021 07:00PM ET,IND,22.25
,,,,,,,,,PF/C,Daniel Theis (16210265),Daniel Theis,16210265,PF/C/F/UTIL,5300,BOS@PHI 01/22/2021 07:30PM ET,BOS,19.5
,,,,,,,,,PG/SG,Tyrese Haliburton (16210261),Tyrese Haliburton,16210261,PG/SG/G/UTIL,5300,NY@SAC 01/22/2021 10:00PM ET,SAC,25.9
,,,,,,,,,C,DeAndre Jordan (16210269),DeAndre Jordan,16210269,C/UTIL,5200,BKN@CLE 01/22/2021 07:30PM ET,BKN,19.13
,,,,,,,,,PG,Cole Anthony (16210271),Cole Anthony,16210271,PG/G/UTIL,5200,ORL@IND 01/22/2021 07:00PM ET,ORL,22.38
,,,,,,,,,SG/SF,Luguentz Dort (16210276),Luguentz Dort,16210276,SG/SF/F/G/UTIL,5200,OKC@LAC 01/22/2021 10:00PM ET,OKC,23.25
,,,,,,,,,C,Naz Reid (16210274),Naz Reid,16210274,C/UTIL,5200,ATL@MIN 01/22/2021 08:00PM ET,MIN,20.73
,,,,,,,,,SG,Seth Curry (16210281),Seth Curry,16210281,SG/G/UTIL,5100,BOS@PHI 01/22/2021 07:30PM ET,PHI,28.31
,,,,,,,,,SG,Alec Burks (16210284),Alec Burks,16210284,SG/G/UTIL,5100,NY@SAC 01/22/2021 10:00PM ET,NY,31.12
,,,,,,,,,PG/SG,Delon Wright (16210293),Delon Wright,16210293,PG/SG/G/UTIL,5000,HOU@DET 01/22/2021 07:00PM ET,DET,20.89
,,,,,,,,,SF/PF,Doug McDermott (16210287),Doug McDermott,16210287,SF/PF/F/UTIL,5000,ORL@IND 01/22/2021 07:00PM ET,IND,20.46
,,,,,,,,,PF/C,Isaiah Roby (16210301),Isaiah Roby,16210301,PF/C/F/UTIL,5000,OKC@LAC 01/22/2021 10:00PM ET,OKC,18.75
,,,,,,,,,PF/C,Jarred Vanderbilt (16210297),Jarred Vanderbilt,16210297,PF/C/F/UTIL,5000,ATL@MIN 01/22/2021 08:00PM ET,MIN,17.39
,,,,,,,,,C,Willie Cauley-Stein (16210291),Willie Cauley-Stein,16210291,C/UTIL,5000,DAL@SA 01/22/2021 08:30PM ET,DAL,17.18
,,,,,,,,,PF,Rudy Gay (16210305),Rudy Gay,16210305,PF/F/UTIL,5000,DAL@SA 01/22/2021 08:30PM ET,SA,23.97
,,,,,,,,,PG/SF,Jae'Sean Tate (16210320),Jae'Sean Tate,16210320,PG/SF/F/G/UTIL,4900,HOU@DET 01/22/2021 07:00PM ET,HOU,19.6
,,,,,,,,,SF/PF,Darius Bazley (16210312),Darius Bazley,16210312,SF/PF/F/UTIL,4900,OKC@LAC 01/22/2021 10:00PM ET,OKC,24.86
,,,,,,,,,PG/SG,Trey Burke (16210308),Trey Burke,16210308,PG/SG/G/UTIL,4900,DAL@SA 01/22/2021 08:30PM ET,DAL,18.42
,,,,,,,,,PG/SG,Patty Mills (16210316),Patty Mills,16210316,PG/SG/G/UTIL,4900,DAL@SA 01/22/2021 08:30PM ET,SA,22.57
,,,,,,,,,SG/SF,Garrett Temple (16210348),Garrett Temple,16210348,SG/SF/F/G/UTIL,4800,CHI@CHA 01/22/2021 07:00PM ET,CHI,18.83
,,,,,,,,,SG/SF,Justin Holiday (16210328),Justin Holiday,16210328,SG/SF/F/G/UTIL,4800,ORL@IND 01/22/2021 07:00PM ET,IND,20.55
,,,,,,,,,SF,Trevor Ariza (16210325),Trevor Ariza,16210325,SF/F/UTIL,4800,OKC@LAC 01/22/2021 10:00PM ET,OKC,0
,,,,,,,,,SF/PF,Nicolas Batum (16210336),Nicolas Batum,16210336,SF/PF/F/UTIL,4800,OKC@LAC 01/22/2021 10:00PM ET,LAC,24.2
,,,,,,,,,PG,Ricky Rubio (16210333),Ricky Rubio,16210333,PG/G/UTIL,4800,ATL@MIN 01/22/2021 08:00PM ET,MIN,19.98
,,,,,,,,,SF/PF,Danilo Gallinari (16210340),Danilo Gallinari,16210340,SF/PF/F/UTIL,4800,ATL@MIN 01/22/2021 08:00PM ET,ATL,14.12
,,,,,,,,,PF/C,Paul Millsap (16210344),Paul Millsap,16210344,PF/C/F/UTIL,4800,DEN@PHO 01/22/2021 10:00PM ET,DEN,21.88
,,,,,,,,,PF,Thaddeus Young (16210366),Thaddeus Young,16210366,PF/F/UTIL,4700,CHI@CHA 01/22/2021 07:00PM ET,CHI,21.98
,,,,,,,,,SG,Kevin Porter Jr. (16210357),Kevin Porter Jr.,16210357,SG/G/UTIL,4700,BKN@CLE 01/22/2021 07:30PM ET,CLE,0
,,,,,,,,,PG,Patrick Beverley (16210363),Patrick Beverley,16210363,PG/G/UTIL,4700,OKC@LAC 01/22/2021 10:00PM ET,LAC,20.88
,,,,,,,,,PF,Juancho Hernangomez (16210369),Juancho Hernangomez,16210369,PF/F/UTIL,4700,ATL@MIN 01/22/2021 08:00PM ET,MIN,15.68
,,,,,,,,,SF,Danny Green (16210360),Danny Green,16210360,SF/F/UTIL,4700,BOS@PHI 01/22/2021 07:30PM ET,PHI,22.75
,,,,,,,,,PG/SG,Jalen Brunson (16210353),Jalen Brunson,16210353,PG/SG/G/UTIL,4700,DAL@SA 01/22/2021 08:30PM ET,DAL,20.92
,,,,,,,,,PF/C,Jeff Green (16210372),Jeff Green,16210372,PF/C/F/UTIL,4600,BKN@CLE 01/22/2021 07:30PM ET,BKN,14.75
,,,,,,,,,PG/SG,Damyean Dotson (16210381),Damyean Dotson,16210381,PG/SG/G/UTIL,4600,BKN@CLE 01/22/2021 07:30PM ET,CLE,17.46
,,,,,,,,,SG/SF,Anthony Edwards (16210387),Anthony Edwards,16210387,SG/SF/F/G/UTIL,4600,ATL@MIN 01/22/2021 08:00PM ET,MIN,19.44
,,,,,,,,,SG,Cam Reddish (16210392),Cam Reddish,16210392,SG/G/UTIL,4600,ATL@MIN 01/22/2021 08:00PM ET,ATL,22.75
,,,,,,,,,C,Dwight Howard (16210385),Dwight Howard,16210385,C/UTIL,4600,BOS@PHI 01/22/2021 07:30PM ET,PHI,19.45
,,,,,,,,,SG/SF,Josh Richardson (16210376),Josh Richardson,16210376,SG/SF/F/G/UTIL,4600,DAL@SA 01/22/2021 08:30PM ET,DAL,22.41
,,,,,,,,,SF/PF,Miles Bridges (16210395),Miles Bridges,16210395,SF/PF/F/UTIL,4500,CHI@CHA 01/22/2021 07:00PM ET,CHA,22.12
,,,,,,,,,SG,Denzel Valentine (16210406),Denzel Valentine,16210406,SG/G/UTIL,4500,CHI@CHA 01/22/2021 07:00PM ET,CHI,18.85
,,,,,,,,,C,Ivica Zubac (16210417),Ivica Zubac,16210417,C/UTIL,4500,OKC@LAC 01/22/2021 10:00PM ET,LAC,17.72
,,,,,,,,,C,Tristan Thompson (16210409),Tristan Thompson,16210409,C/UTIL,4500,BOS@PHI 01/22/2021 07:30PM ET,BOS,20.59
,,,,,,,,,SF/PF,Jae Crowder (16210402),Jae Crowder,16210402,SF/PF/F/UTIL,4500,DEN@PHO 01/22/2021 10:00PM ET,PHO,21.71
,,,,,,,,,PF,JaMychal Green (16210414),JaMychal Green,16210414,PF/F/UTIL,4500,DEN@PHO 01/22/2021 10:00PM ET,DEN,22.4
,,,,,,,,,PF,James Johnson (16210411),James Johnson,16210411,PF/F/UTIL,4500,DAL@SA 01/22/2021 08:30PM ET,DAL,17.7
,,,,,,,,,PG,Immanuel Quickley (16210399),Immanuel Quickley,16210399,PG/G/UTIL,4500,NY@SAC 01/22/2021 10:00PM ET,NY,17.48
,,,,,,,,,PG,Tomas Satoransky (16210427),Tomas Satoransky,16210427,PG/G/UTIL,4400,CHI@CHA 01/22/2021 07:00PM ET,CHI,20.58
,,,,,,,,,C,DeMarcus Cousins (16210430),DeMarcus Cousins,16210430,C/UTIL,4400,HOU@DET 01/22/2021 07:00PM ET,HOU,19.42
,,,,,,,,,SF/PF,Marcus Morris Sr. (16210419),Marcus Morris Sr.,16210419,SF/PF/F/UTIL,4400,OKC@LAC 01/22/2021 10:00PM ET,LAC,18.89
,,,,,,,,,SF/PF,Cameron Johnson (16210423),Cameron Johnson,16210423,SF/PF/F/UTIL,4400,DEN@PHO 01/22/2021 10:00PM ET,PHO,21.73
,,,,,,,,,SF/PF,Dorian Finney-Smith (16210432),Dorian Finney-Smith,16210432,SF/PF/F/UTIL,4400,DAL@SA 01/22/2021 08:30PM ET,DAL,21.62
,,,,,,,,,SF/PF,Taurean Prince (16210436),Taurean Prince,16210436,SF/PF/F/UTIL,4300,BKN@CLE 01/22/2021 07:30PM ET,CLE,16.83
,,,,,,,,,SF/PF,Danuel House Jr. (16210445),Danuel House Jr.,16210445,SF/PF/F/UTIL,4300,HOU@DET 01/22/2021 07:00PM ET,HOU,17.75
,,,,,,,,,SG/SF,Norman Powell (16210440),Norman Powell,16210440,SG/SF/F/G/UTIL,4300,MIA@TOR 01/22/2021 07:30PM ET,TOR,18
,,,,,,,,,PF,Maxi Kleber (16210449),Maxi Kleber,16210449,PF/F/UTIL,4300,DAL@SA 01/22/2021 08:30PM ET,DAL,19.11
,,,,,,,,,SG/SF,Lonnie Walker IV (16210452),Lonnie Walker IV,16210452,SG/SF/F/G/UTIL,4300,DAL@SA 01/22/2021 08:30PM ET,SA,21.27
,,,,,,,,,C,Bismack Biyombo (16210466),Bismack Biyombo,16210466,C/UTIL,4200,CHI@CHA 01/22/2021 07:00PM ET,CHA,22.11
,,,,,,,,,PG/SF,Michael Carter-Williams (16210461),Michael Carter-Williams,16210461,PG/SF/F/G/UTIL,4200,ORL@IND 01/22/2021 07:00PM ET,ORL,15.86
,,,,,,,,,PG/SG,George Hill (16210457),George Hill,16210457,PG/SG/G/UTIL,4200,OKC@LAC 01/22/2021 10:00PM ET,OKC,20.71
,,,,,,,,,PG,Payton Pritchard (16210483),Payton Pritchard,16210483,PG/G/UTIL,4200,BOS@PHI 01/22/2021 07:30PM ET,BOS,18.21
,,,,,,,,,SG/SF,Gary Harris (16210473),Gary Harris,16210473,SG/SF/F/G/UTIL,4200,DEN@PHO 01/22/2021 10:00PM ET,DEN,18.56
,,,,,,,,,SG/SF,Devin Vassell (16210468),Devin Vassell,16210468,SG/SF/F/G/UTIL,4200,DAL@SA 01/22/2021 08:30PM ET,SA,15.48
