QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,RB,Najee Harris (30500615),Najee Harris,30500615,RB/FLEX,5100,JAX@PIT 10/29/2023 01:00PM ET,PIT,8.2
,,,,,,,,,,QB,Desmond Ridder (30500508),Desmond Ridder,30500508,QB,5100,ATL@TEN 10/29/2023 01:00PM ET,ATL,16.56
,,,,,,,,,,WR,Drake London (30500921),Drake London,30500921,WR/FLEX,5100,ATL@TEN 10/29/2023 01:00PM ET,ATL,12.31
,,,,,,,,,,QB,Mac Jones (30500510),Mac Jones,30500510,QB,5000,NE@MIA 10/29/2023 01:00PM ET,NE,12.6
,,,,,,,,,,WR,Diontae Johnson (30500923),Diontae Johnson,30500923,WR/FLEX,5000,JAX@PIT 10/29/2023 01:00PM ET,PIT,10.35
,,,,,,,,,,RB,Tyler Allgeier (30500619),Tyler Allgeier,30500619,RB/FLEX,5000,ATL@TEN 10/29/2023 01:00PM ET,ATL,8.8
,,,,,,,,,,WR,Rashee Rice (30500925),Rashee Rice,30500925,WR/FLEX,5000,KC@DEN 10/29/2023 04:25PM ET,KC,10.6
,,,,,,,,,,RB,Jordan Mason (30500617),Jordan Mason,30500617,RB/FLEX,5000,CIN@SF 10/29/2023 04:25PM ET,SF,3.71
,,,,,,,,,,RB,Miles Sanders (30500625),Miles Sanders,30500625,RB/FLEX,4900,HOU@CAR 10/29/2023 01:00PM ET,CAR,9.22
,,,,,,,,,,WR,Tank Dell (30500929),Tank Dell,30500929,WR/FLEX,4900,HOU@CAR 10/29/2023 01:00PM ET,HOU,13.46
,,,,,,,,,,WR,Romeo Doubs (30500931),Romeo Doubs,30500931,WR/FLEX,4900,MIN@GB 10/29/2023 01:00PM ET,GB,12.13
,,,,,,,,,,WR,Michael Thomas (30500927),Michael Thomas,30500927,WR/FLEX,4900,NO@IND 10/29/2023 01:00PM ET,NO,11.01
,,,,,,,,,,QB,Kenny Pickett (30500511),Kenny Pickett,30500511,QB,4900,JAX@PIT 10/29/2023 01:00PM ET,PIT,12.25
,,,,,,,,,,RB,Jaylen Warren (30500623),Jaylen Warren,30500623,RB/FLEX,4900,JAX@PIT 10/29/2023 01:00PM ET,PIT,10.02
,,,,,,,,,,QB,Ryan Tannehill (30500512),Ryan Tannehill,30500512,QB,4900,ATL@TEN 10/29/2023 01:00PM ET,TEN,9.52
,,,,,,,,,,RB,Elijah Mitchell (30500621),Elijah Mitchell,30500621,RB/FLEX,4900,CIN@SF 10/29/2023 04:25PM ET,SF,2
,,,,,,,,,,RB,Chuba Hubbard (30500631),Chuba Hubbard,30500631,RB/FLEX,4800,HOU@CAR 10/29/2023 01:00PM ET,CAR,8.18
,,,,,,,,,,RB,Darrell Henderson Jr. (30500633),Darrell Henderson Jr.,30500633,RB/FLEX,4800,LAR@DAL 10/29/2023 01:00PM ET,LAR,13.6
,,,,,,,,,,RB,Cam Akers (30500627),Cam Akers,30500627,RB/FLEX,4800,MIN@GB 10/29/2023 01:00PM ET,MIN,6.08
,,,,,,,,,,WR,Josh Downs (30500933),Josh Downs,30500933,WR/FLEX,4800,NO@IND 10/29/2023 01:00PM ET,IND,12.59
,,,,,,,,,,QB,Zach Wilson (30500514),Zach Wilson,30500514,QB,4800,NYJ@NYG 10/29/2023 01:00PM ET,NYJ,11.28
,,,,,,,,,,QB,P.J. Walker (30500513),P.J. Walker,30500513,QB,4800,CLE@SEA 10/29/2023 04:05PM ET,CLE,6.1
,,,,,,,,,,RB,Emari Demercado (30500629),Emari Demercado,30500629,RB/FLEX,4800,BAL@ARI 10/29/2023 04:25PM ET,ARI,5
,,,,,,,,,,WR,K.J. Osborn (30500937),K.J. Osborn,30500937,WR/FLEX,4700,MIN@GB 10/29/2023 01:00PM ET,MIN,8.59
,,,,,,,,,,QB,Jameis Winston (30500519),Jameis Winston,30500519,QB,4700,NO@IND 10/29/2023 01:00PM ET,NO,0.88
,,,,,,,,,,QB,Mike White (30500518),Mike White,30500518,QB,4700,NE@MIA 10/29/2023 01:00PM ET,MIA,2.59
,,,,,,,,,,WR,Kendrick Bourne (30500935),Kendrick Bourne,30500935,WR/FLEX,4700,NE@MIA 10/29/2023 01:00PM ET,NE,12.63
,,,,,,,,,,QB,C.J. Beathard (30500515),C.J. Beathard,30500515,QB,4700,JAX@PIT 10/29/2023 01:00PM ET,JAX,0.08
,,,,,,,,,,QB,Malik Willis (30500516),Malik Willis,30500516,QB,4700,ATL@TEN 10/29/2023 01:00PM ET,TEN,2.33
,,,,,,,,,,RB,Tyjae Spears (30500637),Tyjae Spears,30500637,RB/FLEX,4700,ATL@TEN 10/29/2023 01:00PM ET,TEN,8.2
,,,,,,,,,,RB,Cordarrelle Patterson (30500641),Cordarrelle Patterson,30500641,RB/FLEX,4700,ATL@TEN 10/29/2023 01:00PM ET,ATL,2.22
,,,,,,,,,,QB,Tyler Huntley (30500517),Tyler Huntley,30500517,QB,4700,BAL@ARI 10/29/2023 04:25PM ET,BAL,0.4
,,,,,,,,,,RB,Justice Hill (30500635),Justice Hill,30500635,RB/FLEX,4700,BAL@ARI 10/29/2023 04:25PM ET,BAL,8.38
,,,,,,,,,,RB,Jaleel McLaughlin (30500639),Jaleel McLaughlin,30500639,RB/FLEX,4700,KC@DEN 10/29/2023 04:25PM ET,DEN,8.2
,,,,,,,,,,QB,Brett Rypien (30500524),Brett Rypien,30500524,QB,4600,LAR@DAL 10/29/2023 01:00PM ET,LAR,0
,,,,,,,,,,RB,Royce Freeman (30500651),Royce Freeman,30500651,RB/FLEX,4600,LAR@DAL 10/29/2023 01:00PM ET,LAR,1.65
,,,,,,,,,,WR,Brandin Cooks (30500941),Brandin Cooks,30500941,WR/FLEX,4600,LAR@DAL 10/29/2023 01:00PM ET,DAL,6.38
,,,,,,,,,,QB,Jaren Hall (30500520),Jaren Hall,30500520,QB,4600,MIN@GB 10/29/2023 01:00PM ET,MIN,0
,,,,,,,,,,RB,Ezekiel Elliott (30500643),Ezekiel Elliott,30500643,RB/FLEX,4600,NE@MIA 10/29/2023 01:00PM ET,NE,7.47
,,,,,,,,,,RB,Salvon Ahmed (30500649),Salvon Ahmed,30500649,RB/FLEX,4600,NE@MIA 10/29/2023 01:00PM ET,MIA,4.38
