Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
37,2381836342,greendose,0,157.95999,QB Cam Newton RB Dalvin Cook RB Nyheim Hines FLEX Brian Hill WR Tyreek Hill WR Justin Jefferson WR Nelson Agholor TE Mike Gesicki DST Jets ,,Robby Anderson,WR,8.00%,19.4
38,2381790934,Socky,0,157.09999,QB Tom Brady RB Damien Harris RB Kenyan Drake FLEX Justin Jefferson WR Mike Evans WR Chris Godwin WR Antonio Brown TE Rob Gronkowski DST Rams ,,Evan Engram,TE,8.00%,20.9
39,2382284766,bergi77,0,156.98,QB Patrick Mahomes RB Alvin Kamara FLEX James Robinson RB Brian Hill WR Robby Anderson WR DeVante Parker WR Corey Davis TE Kyle Rudolph DST Saints ,,Justin Herbert,QB,8.00%,20.44
40,2382175175,nbhaber,0,156.88,QB Ryan Fitzpatrick FLEX Dalvin Cook RB Wayne Gallman Jr. RB Brian Hill WR Tyreek Hill WR DeVante Parker WR Laviska Shenault Jr. TE Darren Waller DST Bills ,,Derrick Henry,RB,7.50%,41.5
41,2382151287,shaner06,0,156.58,QB Josh Allen RB Nick Chubb RB Mike Davis FLEX Wayne Gallman Jr. WR Justin Jefferson WR Robert Woods WR Nelson Agholor TE Austin Hooper DST Panthers ,,Browns ,DST,7.50%,0
42,2381815379,5ugarbisuit,0,155.98,QB Patrick Mahomes RB Derrick Henry RB Josh Jacobs FLEX Nyheim Hines WR Jarvis Landry WR Corey Davis WR A.J. Green DST Dolphins  TE Eric Ebron,,Sammy Watkins,WR,7.00%,7.8
43,2381953870,abene15,0,154.78,QB Ryan Fitzpatrick RB Dalvin Cook FLEX Derrick Henry RB Brian Hill WR Justin Jefferson WR DeVante Parker WR Denzel Mims TE Hunter Henry DST Broncos ,,Kyler Murray,QB,7.00%,8.9
44,2382295989,chadscherm,0,154.18,QB Ryan Fitzpatrick RB Nick Chubb FLEX Austin Ekeler RB Kareem Hunt WR Calvin Ridley WR Mike Evans WR DeVante Parker TE Austin Hooper DST Bills ,,Alvin Kamara,RB,7.00%,6.2
45,2381774768,coreycowboy,0,152.37999,QB Patrick Mahomes RB Josh Jacobs RB Frank Gore WR Tyreek Hill FLEX Robert Woods WR Corey Davis WR Tee Higgins TE Jonnu Smith DST Colts ,,Denzel Mims,WR,7.00%,10.7
46,2381875929,Bigcatlechnir,0,152.28,QB Josh Allen FLEX James Robinson RB Austin Ekeler RB Jordan Wilkins WR Stefon Diggs WR Justin Jefferson WR Curtis Samuel TE Hunter Henry DST Jets ,,Gabriel Davis,FLEX,7.00%,16.9
47,2382163754,surEman,0,152.18001,QB Patrick Mahomes RB Derrick Henry RB Wayne Gallman Jr. WR Cole Beasley FLEX Corey Davis WR Sammy Watkins WR Josh Reynolds TE Travis Kelce DST Chiefs ,,Jarvis Landry,WR,6.50%,31.3
48,2382064176,theriot326,0,151.84,QB Justin Herbert RB James Robinson RB Austin Ekeler FLEX Nyheim Hines WR Stefon Diggs WR Calvin Ridley WR Gabriel Davis TE Darren Waller DST Jets ,,Austin Hooper,TE,6.50%,9.3
49,2381906983,piracy1068,0,151.40001,QB Derek Carr RB Derrick Henry RB Nick Chubb WR Cooper Kupp WR DeVante Parker WR Cole Beasley FLEX Sterling Shepard TE Rob Gronkowski DST Jaguars ,,Mike Evans,FLEX,6.50%,20
49,2382102790,ryan.macleod92,0,151.4,QB Derek Carr RB Nick Chubb FLEX Austin Ekeler RB Latavius Murray WR Calvin Ridley WR DJ Moore WR Nelson Agholor TE Trey Burton DST Saints ,,Dolphins ,DST,6.50%,14
51,2382216220,KCSteve1160,0,150.38,QB Patrick Mahomes RB Dalvin Cook RB Kareem Hunt FLEX Brian Hill WR Tyreek Hill WR Cooper Kupp WR Keelan Cole Sr. TE Kyle Rudolph DST Broncos ,,Vikings ,DST,6.00%,5
52,2381762754,blake6905,0,150.28,QB Patrick Mahomes RB Austin Ekeler RB Raheem Mostert WR Calvin Ridley WR A.J. Brown FLEX Emmanuel Sanders WR Sammy Watkins TE Kyle Rudolph DST Saints ,,Jets ,DST,6.00%,9
53,2381886483,kurtwarner-be,0,149.6,QB Tom Brady RB James Robinson RB Wayne Gallman Jr. FLEX Keenan Allen WR Robby Anderson WR Antonio Brown WR Sammy Watkins TE Rob Gronkowski DST Giants ,,Jonnu Smith,TE,6.00%,0
54,2381985807,wstre001,0,149.12,QB Taysom Hill RB Dalvin Cook RB Nyheim Hines FLEX Brian Hill WR Tyreek Hill WR Breshad Perriman WR Keelan Cole Sr. TE Travis Kelce DST Browns ,,Damiere Byrd,FLEX,5.50%,6.3
55,2381851871,bgodwin,0,148.38,QB Ryan Fitzpatrick RB Nick Chubb RB Nyheim Hines FLEX Keenan Allen WR Stefon Diggs WR DeVante Parker WR Gabriel Davis TE Darren Waller DST Jets ,,Jordan Wilkins,RB,5.50%,8.7
56,2382181162,lance1282,0,148.1,QB Matt Ryan FLEX Austin Ekeler RB Wayne Gallman Jr. RB Brian Hill WR Stefon Diggs WR Calvin Ridley WR DeVante Parker TE Evan Engram DST Saints ,,Christian Kirk,WR,5.50%,4.9
57,2382171566,dsparks12,0,147.18001,QB Ryan Fitzpatrick RB Dalvin Cook RB Nyheim Hines FLEX Frank Gore WR Tyreek Hill WR Chris Godwin WR Darius Slayton TE Jonnu Smith DST Giants ,,Darius Slayton,WR,5.00%,0
58,2381968403,Natedogg728,0,146.44002,QB Justin Herbert FLEX Nick Chubb RB Austin Ekeler RB Kenyan Drake WR DeVante Parker WR Curtis Samuel WR Damiere Byrd TE Darren Waller DST Browns ,,Corey Davis,WR,5.00%,10
59,2382101598,gonzo1988,0,145.87999,QB Josh Allen RB Nick Chubb RB Wayne Gallman Jr. WR A.J. Brown WR DJ Moore WR Nelson Agholor TE Travis Kelce FLEX Trey Burton DST Vikings ,,Daniel Jones,QB,4.50%,10.42
60,2382223186,AZGator12,0,145.09999,QB Derek Carr RB Nick Chubb FLEX Mike Davis RB Matt Breida WR Calvin Ridley WR Justin Jefferson WR DeVante Parker TE Kyle Rudolph DST Saints ,,Taysom Hill,QB,4.50%,18.52
61,2381920066,iah06,0,144.64,QB Justin Herbert FLEX Josh Jacobs RB James Robinson RB Matt Breida WR Keenan Allen WR Justin Jefferson WR Gabriel Davis TE Hunter Henry DST Giants ,,Mike Gesicki,TE,4.50%,11.5
62,2382026650,Boomerman1984,0,144.48,QB Patrick Mahomes RB Ronald Jones II RB Kareem Hunt WR Stefon Diggs WR A.J. Brown FLEX Mike Evans WR Kendrick Bourne TE Gerald Everett DST Panthers ,,Jaguars ,DST,4.50%,4
63,2381790251,jandcorcandj,0,144.38,QB Kirk Cousins RB Dalvin Cook RB Wayne Gallman Jr. WR Cooper Kupp WR DeVante Parker FLEX Jarvis Landry WR Darius Slayton TE Rob Gronkowski DST Vikings ,,Sterling Shepard,WR,4.50%,13.8
63,2382316063,alcaholic,0,144.38,QB Ryan Fitzpatrick RB Dalvin Cook RB James Robinson WR Justin Jefferson WR DeVante Parker FLEX Antonio Brown WR Keelan Cole Sr. TE Rob Gronkowski DST Vikings ,,Jamison Crowder,WR,4.50%,6.1
65,2381882433,o2man98,0,143.88,QB Josh Allen RB Dalvin Cook RB Melvin Gordon III WR Tyreek Hill WR Christian Kirk WR Hunter Renfrow FLEX Keelan Cole Sr. TE Tyler Eifert DST Saints ,,Melvin Gordon III,RB,4.50%,3.1
66,2381799238,madboom75,0,143.38,QB Patrick Mahomes RB Dalvin Cook RB Brian Hill WR Tyreek Hill WR Jakobi Meyers FLEX Laviska Shenault Jr. WR Andy Isabella TE Darren Waller DST Browns ,,Broncos ,DST,4.50%,4
67,2381895432,seanypetes732,0,140.88,QB Patrick Mahomes RB Alvin Kamara RB Derrick Henry WR Cole Beasley WR Sterling Shepard WR Sammy Watkins TE Hunter Henry FLEX Austin Hooper DST Jaguars ,,Colts ,DST,4.50%,-3
67,2382118061,1BADASSVETTE,0,140.87999,QB Josh Allen RB Nick Chubb RB Alexander Mattison WR DJ Moore WR Robby Anderson WR Jarvis Landry FLEX Rashard Higgins TE Evan Engram DST Bengals ,,Matt Ryan,QB,4.50%,14.9
69,2381872352,easterbr97,0,139.44,QB Justin Herbert RB Nick Chubb RB Nyheim Hines WR Keenan Allen WR DJ Moore FLEX Robert Woods WR Sammy Watkins TE Trey Burton DST Giants ,,Damien Harris,RB,4.00%,4.7
70,2381772158,chinknorris1,0,139.18,QB Josh Allen RB James Robinson RB Nyheim Hines FLEX Brian Hill WR Stefon Diggs WR Justin Jefferson WR Laviska Shenault Jr. TE Travis Kelce DST Giants ,,Frank Gore,RB,4.00%,11.6
71,2382101636,CKittieSprint,0,138.48001,QB Ryan Fitzpatrick RB Josh Jacobs RB Nick Chubb WR Robby Anderson WR DeVante Parker WR Cole Beasley FLEX Damiere Byrd TE Darren Waller DST Panthers ,,Russell Gage,WR,4.00%,6.4
72,2381989682,MikeCastro41,0,137.58002,QB Kirk Cousins RB Dalvin Cook RB Wayne Gallman Jr. WR Keenan Allen WR Robert Woods WR Tee Higgins FLEX Gabriel Davis TE Jonnu Smith DST Saints ,,Michael Thomas,WR,4.00%,9.1
73,2381873982,dhughes14,0,137.54,QB Justin Herbert RB Nick Chubb RB Wayne Gallman Jr. WR Calvin Ridley WR Curtis Samuel FLEX Michael Pittman Jr. WR Denzel Mims TE Travis Kelce DST Cardinals ,,Breshad Perriman,WR,4.00%,11.9
74,2382284420,asvandelft,0,137.5,QB Ryan Griffin RB Clyde Edwards-Helaire FLEX Ronald Jones II RB Jerick McKinnon WR Tyreek Hill WR Robby Anderson WR Demarcus Robinson TE Travis Kelce DST Chiefs ,,Mike Williams,WR,4.00%,5.6
75,2382234373,tybwl5,0,137.40001,QB Kyler Murray RB Dalvin Cook RB Leonard Fournette FLEX Tyreek Hill WR DeVante Parker WR Nelson Agholor WR Andy Isabella TE Kyle Rudolph DST Colts ,,Emmanuel Sanders,WR,3.50%,1.4
76,2382178624,scLyman,0,136.38,QB Ryan Fitzpatrick RB Dalvin Cook RB Nick Chubb FLEX Nyheim Hines WR Justin Jefferson WR Nelson Agholor WR Michael Pittman Jr. TE Gerald Everett DST Saints ,,James White,RB,3.50%,14.7
77,2381791196,Robd37,0,136.28,QB Patrick Mahomes RB Kareem Hunt RB Nyheim Hines WR Calvin Ridley WR DeVante Parker WR Michael Pittman Jr. FLEX Keelan Cole Sr. TE Travis Kelce DST Giants ,,Tyler Boyd,WR,3.50%,4.5
77,2382051320,Spartan_2019,0,136.28,QB Patrick Mahomes RB Dalvin Cook FLEX James Robinson RB Wayne Gallman Jr. WR Robert Woods WR Cole Beasley WR Curtis Samuel TE Anthony Firkser DST Jaguars ,,DeAndre Hopkins,WR,3.50%,10.5
79,2382122633,jsowens,0,136.2,QB Kyler Murray RB Josh Jacobs RB Nick Chubb WR Jarvis Landry WR Tyler Boyd WR Corey Davis FLEX Breshad Perriman TE Rob Gronkowski DST Saints ,,Chris Godwin,WR,3.50%,17.7
80,2382018692,zto1234,0,135.54001,QB Justin Herbert RB Nyheim Hines RB James White WR Keenan Allen WR Calvin Ridley WR Robert Woods TE Darren Waller FLEX Kyle Rudolph DST Saints ,,Ronald Jones II,RB,3.50%,17.3
81,2382005900,fububen74,0,134.23999,QB Justin Herbert RB Dalvin Cook RB Nick Chubb WR DeVante Parker WR Nelson Agholor WR Russell Gage FLEX KhaDarel Hodge TE Trey Burton DST Dolphins ,,Clyde Edwards-Helaire,RB,3.50%,4.9
82,2381771149,caveman2407,0,134.08,QB Ryan Fitzpatrick RB Derrick Henry RB Jordan Wilkins WR Stefon Diggs WR Calvin Ridley WR Curtis Samuel TE Travis Kelce FLEX Jordan Reed DST Jaguars ,,Kenyan Drake,RB,3.00%,24.3
83,2381831526,mattmauro9,0,133.42001,QB Taysom Hill RB Dalvin Cook RB Derrick Henry WR Keenan Allen WR Michael Thomas FLEX Gabriel Davis WR Andy Isabella TE Mo Alie-Cox DST Jets ,,A.J. Green,FLEX,3.00%,0
84,2382037304,stylesd420,0,133.3,QB Kyler Murray RB Derrick Henry RB Nick Chubb WR DeVante Parker WR Christian Kirk FLEX Corey Davis WR Cameron Batson TE Jared Cook DST Rams ,,Latavius Murray,RB,3.00%,28.6
85,2382317345,RogerRose08,0,133.28,QB Ryan Fitzpatrick RB Dalvin Cook FLEX Austin Ekeler RB Brian Hill WR DeVante Parker WR Robert Woods WR Jamison Crowder TE Rob Gronkowski DST Giants ,,Rams ,DST,3.00%,15
86,2381855668,suburbanaces,0,131.12,QB Taysom Hill RB Nick Chubb RB Nyheim Hines WR Michael Thomas FLEX DJ Moore WR Curtis Samuel WR Darius Slayton TE Rob Gronkowski DST Saints ,,Cam Newton,QB,3.00%,5.96
87,2382291382,keasson,0,130.48001,QB Patrick Mahomes RB Mike Davis RB Damien Harris FLEX Nyheim Hines WR DeAndre Hopkins WR Nelson Agholor WR Golden Tate TE Rob Gronkowski DST Saints ,,Matt Breida,RB,3.00%,6.3
88,2382005608,blmeinecke,0,129.79999,QB Matt Ryan RB Dalvin Cook RB Brian Hill WR Keenan Allen WR Cole Beasley FLEX Jarvis Landry WR Laviska Shenault Jr. TE Evan Engram DST Saints ,,Tom Brady,QB,3.00%,26.7
89,2381978134,zdov97,0,129.68,QB Patrick Mahomes RB Dalvin Cook RB Brian Hill WR Justin Jefferson FLEX Chris Godwin WR Olamide Zaccheaus WR Laviska Shenault Jr. TE Travis Kelce DST Jets ,,Trey Burton,TE,3.00%,13.2
90,2382306974,ndesmarais15,0,129.38,QB Josh Allen RB Dalvin Cook RB Nyheim Hines FLEX Stefon Diggs WR Justin Jefferson WR Laviska Shenault Jr. WR Gabriel Davis TE Hunter Henry DST Giants ,,Mike Davis,RB,3.00%,10.9
91,2381763474,Sandman1313,0,128.28,QB Sam Darnold RB Derrick Henry RB Damien Harris FLEX Chase Edmonds WR Cole Beasley WR Jamison Crowder WR Jarvis Landry TE Darren Waller DST Saints ,,Tee Higgins,WR,2.50%,15.4
92,2382079712,DARK-HELMET,0,128,QB Derek Carr RB Latavius Murray RB Wayne Gallman Jr. FLEX Royce Freeman WR DeAndre Hopkins WR Justin Jefferson WR DeVante Parker TE Darren Waller DST Bills ,,Jakobi Meyers,WR,2.50%,10.2
93,2382016611,mattih,0,127.880005,QB Josh Allen RB Dalvin Cook RB Nick Chubb FLEX Wayne Gallman Jr. WR Cole Beasley WR Sterling Shepard WR Mike Williams TE Kyle Rudolph DST Jets ,,Demarcus Robinson,WR,2.50%,8.6
94,2382117556,bryancasey007,0,127.61999,QB Taysom Hill RB James Robinson RB Nyheim Hines WR Michael Thomas WR Cooper Kupp WR Jamison Crowder FLEX Curtis Samuel TE Hunter Henry DST Saints ,,Jared Goff,QB,2.50%,6.02
95,2381798998,JEFFGEORGE3,0,127.6,QB Derek Carr RB Derrick Henry RB Melvin Gordon III WR Justin Jefferson WR DJ Moore WR Curtis Samuel TE Darren Waller FLEX Austin Hooper DST Saints ,,Chiefs ,DST,2.50%,5
96,2382113934,mnash1521,0,127.399994,QB Matt Ryan RB Nick Chubb RB Raheem Mostert WR Cooper Kupp WR DeVante Parker FLEX Cole Beasley WR Mike Williams TE Hunter Henry DST Saints ,,Jared Cook,FLEX,2.00%,0
97,2381820323,cbeasley513,0,126.880005,QB Ryan Fitzpatrick RB Josh Jacobs RB Nick Chubb FLEX Wayne Gallman Jr. WR Justin Jefferson WR Michael Pittman Jr. WR Keelan Cole Sr. TE Darren Waller DST Giants ,,Raheem Mostert,RB,2.00%,11.3
98,2381833439,Shusterbets,0,126.54,QB Justin Herbert RB Dalvin Cook RB Nyheim Hines WR Robby Anderson WR DeVante Parker WR Michael Pittman Jr. FLEX Golden Tate TE Hunter Henry DST Giants ,,A.J. Brown,WR,2.00%,25.8
99,2381871633,chaunceygalletly,0,125.78001,QB Ryan Fitzpatrick RB James Robinson RB Frank Gore WR Keenan Allen WR Stefon Diggs WR Damiere Byrd TE Darren Waller FLEX Mike Gesicki DST Saints ,,Gerald Everett,TE,2.00%,3.6
100,2381863501,subpmf,0,124.58,QB Ryan Fitzpatrick RB Dalvin Cook RB Austin Ekeler WR Calvin Ridley WR Mike Evans FLEX Cole Beasley WR Keelan Cole Sr. TE Mike Gesicki DST Vikings ,,Patriots ,DST,2.00%,5
101,2381959063,igetzpaper,0,124.479996,QB Josh Allen RB Derrick Henry RB Nyheim Hines FLEX Antonio Brown WR Cole Beasley WR Nelson Agholor WR A.J. Green TE Travis Kelce DST Giants ,,Giovani Bernard,RB,2.00%,6.9
102,2382293677,purplandgold,0,123.80001,QB Derek Carr RB Dalvin Cook RB Wayne Gallman Jr. WR Robby Anderson WR DeVante Parker WR Nelson Agholor FLEX Gabriel Davis TE Darren Waller DST Saints ,,Andy Isabella,WR,2.00%,7.3
103,2382077024,cdevoo,0,123.299995,QB Derek Carr RB Wayne Gallman Jr. RB Nyheim Hines WR Keenan Allen FLEX Cooper Kupp WR DeVante Parker WR Nelson Agholor TE Hunter Henry DST Saints ,,Bengals ,DST,2.00%,9
104,2381925210,awood16,0,123.14,QB Justin Herbert RB Dalvin Cook RB Kareem Hunt FLEX Brian Hill WR Justin Jefferson WR Laviska Shenault Jr. WR Gabriel Davis TE Travis Kelce DST Saints ,,Olamide Zaccheaus,WR,2.00%,2.1
105,2381752252,tedelston,0,122.62,QB Taysom Hill RB Dalvin Cook RB Latavius Murray WR Cooper Kupp WR Jarvis Landry WR Emmanuel Sanders TE Mike Gesicki FLEX Jared Cook DST Saints ,,Royce Freeman,FLEX,1.50%,5
106,2381887699,tonydandrea,0,122.200005,QB Tom Brady RB Joshua Kelley RB Brian Hill WR DeAndre Hopkins FLEX Michael Thomas WR DeVante Parker WR Antonio Brown TE Evan Engram DST Saints ,,Raiders ,DST,1.50%,-1
107,2382208786,dclintsman,0,121.68001,QB Josh Allen RB Nick Chubb RB Kareem Hunt FLEX Wayne Gallman Jr. WR Stefon Diggs WR Cole Beasley WR Keelan Cole Sr. TE Hunter Henry DST Giants ,,Le'Veon Bell,RB,1.50%,5.2
108,2381865319,fonz819,0,120.899994,QB Derek Carr FLEX Alvin Kamara RB Austin Ekeler RB Wayne Gallman Jr. WR DeVante Parker WR Curtis Samuel WR Michael Pittman Jr. TE Hunter Henry DST Dolphins ,,Henry Ruggs III,FLEX,1.50%,8.4
