C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,G,Pat Nagle (16327329),Pat Nagle,16327329,G,6500,DET@TB 02/05/2021 07:00PM ET,DET,0
,,,,,,,,,,G,Kevin Boyle (16327330),Kevin Boyle,16327330,G,6500,DET@TB 02/05/2021 07:00PM ET,DET,0
,,,,,,,,,,G,Jimmy Howard (16327331),Jimmy Howard,16327331,G,6500,DET@TB 02/05/2021 07:00PM ET,DET,0
,,,,,,,,,,D,Aaron Ekblad (16327019),Aaron Ekblad,16327019,D/UTIL,6500,NSH@FLA 02/05/2021 07:00PM ET,FLA,11.59
,,,,,,,,,,G,Philippe Desrosiers (16327311),Philippe Desrosiers,16327311,G,6500,NSH@FLA 02/05/2021 07:00PM ET,FLA,0
,,,,,,,,,,G,Kasimir Kaskisuo (16327312),Kasimir Kaskisuo,16327312,G,6500,NSH@FLA 02/05/2021 07:00PM ET,NSH,0
,,,,,,,,,,G,Connor Ingram (16327316),Connor Ingram,16327316,G,6500,NSH@FLA 02/05/2021 07:00PM ET,NSH,0
,,,,,,,,,,G,Sam Montembeault (16327328),Sam Montembeault,16327328,G,6500,NSH@FLA 02/05/2021 07:00PM ET,FLA,0
,,,,,,,,,,G,Oscar Dansk (16327326),Oscar Dansk,16327326,G,6500,LA@VGK 02/05/2021 10:00PM ET,VGK,0
,,,,,,,,,,G,Anthony Stolarz (16327308),Anthony Stolarz,16327308,G,6500,SJ@ANH 02/05/2021 10:00PM ET,ANH,0
,,,,,,,,,,G,Josef Korenar (16327314),Josef Korenar,16327314,G,6500,SJ@ANH 02/05/2021 10:00PM ET,SJ,0
,,,,,,,,,,G,Olle Eriksson Ek (16327321),Olle Eriksson Ek,16327321,G,6500,SJ@ANH 02/05/2021 10:00PM ET,ANH,0
,,,,,,,,,,G,Alexei Melnichuk (16327332),Alexei Melnichuk,16327332,G,6500,SJ@ANH 02/05/2021 10:00PM ET,SJ,0
,,,,,,,,,,G,Andrew Shortridge (16327333),Andrew Shortridge,16327333,G,6500,SJ@ANH 02/05/2021 10:00PM ET,SJ,0
,,,,,,,,,,RW,Mark Stone (16326695),Mark Stone,16326695,W/UTIL,6400,LA@VGK 02/05/2021 10:00PM ET,VGK,13.43
,,,,,,,,,,C,Dylan Larkin (16326493),Dylan Larkin,16326493,C/UTIL,6300,DET@TB 02/05/2021 07:00PM ET,DET,11.07
,,,,,,,,,,D,Roman Josi (16327021),Roman Josi,16327021,D/UTIL,6100,NSH@FLA 02/05/2021 07:00PM ET,NSH,11.88
,,,,,,,,,,C,Kevin Hayes (16326495),Kevin Hayes,16326495,C/UTIL,6000,BOS@PHI 02/05/2021 07:00PM ET,PHI,10.84
,,,,,,,,,,D,Drew Doughty (16327023),Drew Doughty,16327023,D/UTIL,6000,LA@VGK 02/05/2021 10:00PM ET,LA,11.51
,,,,,,,,,,RW,Patric Hornqvist (16326697),Patric Hornqvist,16326697,W/UTIL,5900,NSH@FLA 02/05/2021 07:00PM ET,FLA,15.87
,,,,,,,,,,LW,Jonathan Huberdeau (16326699),Jonathan Huberdeau,16326699,W/UTIL,5800,NSH@FLA 02/05/2021 07:00PM ET,FLA,14.4
,,,,,,,,,,D,Ivan Provorov (16327025),Ivan Provorov,16327025,D/UTIL,5700,BOS@PHI 02/05/2021 07:00PM ET,PHI,9.74
,,,,,,,,,,C,Logan Couture (16326497),Logan Couture,16326497,C/UTIL,5700,SJ@ANH 02/05/2021 10:00PM ET,SJ,11.31
,,,,,,,,,,LW,Evander Kane (16326701),Evander Kane,16326701,W/UTIL,5700,SJ@ANH 02/05/2021 10:00PM ET,SJ,8.82
,,,,,,,,,,LW,Ondrej Palat (16326703),Ondrej Palat,16326703,W/UTIL,5600,DET@TB 02/05/2021 07:00PM ET,TB,9.12
,,,,,,,,,,LW,Filip Forsberg (16326705),Filip Forsberg,16326705,W/UTIL,5500,NSH@FLA 02/05/2021 07:00PM ET,NSH,15.45
,,,,,,,,,,D,Ryan Ellis (16327027),Ryan Ellis,16327027,D/UTIL,5500,NSH@FLA 02/05/2021 07:00PM ET,NSH,10.91
,,,,,,,,,,C,Tomas Hertl (16326499),Tomas Hertl,16326499,C/UTIL,5400,SJ@ANH 02/05/2021 10:00PM ET,SJ,9.52
,,,,,,,,,,D,Charlie McAvoy (16327029),Charlie McAvoy,16327029,D/UTIL,5300,BOS@PHI 02/05/2021 07:00PM ET,BOS,10.15
,,,,,,,,,,RW,Viktor Arvidsson (16326707),Viktor Arvidsson,16326707,W/UTIL,5200,NSH@FLA 02/05/2021 07:00PM ET,NSH,12.7
,,,,,,,,,,D,Alec Martinez (16327031),Alec Martinez,16327031,D/UTIL,5200,LA@VGK 02/05/2021 10:00PM ET,VGK,11.64
,,,,,,,,,,RW,Travis Konecny (16326709),Travis Konecny,16326709,W/UTIL,5100,BOS@PHI 02/05/2021 07:00PM ET,PHI,9.27
