Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
76,1639993405,jbtb12,0,137.9,C Jack Eichel UTIL Mika Zibanejad C Sean Monahan W Johnny Gaudreau W Artemi Panarin W Victor Olofsson D Colin Miller D Adam Fox G Darcy Kuemper,,Connor Hellebuyck,G,4.21%,0.7
77,1640014391,nickps (10/20),0,137.5,C Jack Eichel C Mika Zibanejad UTIL Jeff Skinner W Artemi Panarin W Pavel Buchnevich W Victor Olofsson D Jacob Trouba D Ville Heinola G Pekka Rinne,,Keith Yandle,D,4.21%,5.8
78,1640043143,Wanna_Square_Up1567 (19/20),0,137.1,C Mika Zibanejad C Sean Monahan UTIL Johnny Gaudreau W Artemi Panarin W Elias Lindholm W Pavel Buchnevich D Hampus Lindholm D Samuel Girard G Ben Bishop,,Brad Marchand,UTIL,4.00%,2.8
78,1640004296,Jbrsports,0,137.1,C Jack Eichel C Mika Zibanejad W Kyle Connor W Patric Hornqvist W Victor Olofsson D Rasmus Dahlin D Josh Morrissey UTIL Colin Miller G John Gibson,,Ondrej Palat,UTIL,4.00%,19
80,1639954933,JSousa46 (4/20),0,136.9,C Matt Duchene C Erik Haula UTIL Filip Forsberg W Mikael Granlund W Ryan Dzingel W Jordan Martinook D Kris Letang D Roman Josi G Matt Murray,,Alex Killorn,W,4.00%,12.8
81,1639998003,ap4491 (17/20),0,136.5,C Jack Eichel C Mika Zibanejad UTIL Jeff Skinner W Artemi Panarin W Chris Kreider W Victor Olofsson D Rasmus Dahlin D Ville Heinola G Tuukka Rask,,Alexander Radulov,UTIL,3.89%,1.3
82,1639974226,klink (19/20),0,136.4,C Nathan MacKinnon C Matt Duchene W Mikko Rantanen W Filip Forsberg W Mikael Granlund UTIL Victor Olofsson D Cale Makar D Henri Jokiharju G Philipp Grubauer,,Jamie Benn,W,3.89%,6.9
82,1639991645,ap4491 (9/20),0,136.4,C Tyler Seguin C Mika Zibanejad W Artemi Panarin W Joe Pavelski W Jamie Benn UTIL Jacob Trouba D Brady Skjei D Henri Jokiharju G Petr Mrazek,,Pat Maroon,W,3.89%,10
84,1640055376,msw6880 (8/20),0,136.3,C Nathan MacKinnon C Nick Bonino W Mikko Rantanen W Johnny Gaudreau W Elias Lindholm UTIL Colton Sissons D Roman Josi D Mark Giordano G Carter Hutton,,Anthony Cirelli,C,3.68%,5
84,1639980183,AnonymousApathy,0,136.3,C Nathan MacKinnon C Evgeni Malkin UTIL Ryan Getzlaf W Jamie Benn W Mikael Granlund W Tomas Tatar D Kevin Shattenkirk D Ryan Suter G Carey Price,,Jaccob Slavin,D,3.68%,6
86,1640014387,nickps (6/20),0,136.2,UTIL Nathan MacKinnon C Mika Zibanejad C Nazem Kadri W Mikko Rantanen W Artemi Panarin W Pavel Buchnevich D Brady Skjei D Joel Edmundson G Devan Dubnyk,,Mats Zuccarello,W,3.58%,1.5
87,1640045163,mythicalrhymer01 (18/20),0,136,C Sean Monahan C Ryan Johansen W Viktor Arvidsson UTIL Johnny Gaudreau W Elias Lindholm W Craig Smith D Jacob Trouba D Nikita Zadorov G Carter Hutton,,Ville Heinola,D,3.58%,6.5
87,1640055380,msw6880 (12/20),0,136,C Tyler Seguin C Mika Zibanejad UTIL Matt Duchene W Artemi Panarin W Chris Kreider W Mattias Janmark D Jacob Trouba D John Klingberg G Sergei Bobrovsky,,Nikolaj Ehlers,W,3.47%,33
89,1640043140,Wanna_Square_Up1567 (16/20),0,135.4,C Mika Zibanejad C Sebastian Aho UTIL Artemi Panarin W Pavel Buchnevich W Nino Niederreiter W Brock McGinn D Mark Giordano D Jacob Trouba G Pekka Rinne,,Petr Mrazek,G,3.47%,18.6
90,1639980567,m4ch1n3m4n (17/20),0,135.2,C Nathan MacKinnon C Jordan Staal UTIL Nikita Kucherov W Teuvo Teravainen W Ondrej Palat W Colin Wilson D Roman Josi D Mark Giordano G Henrik Lundqvist,,Marcus Pettersson,D,3.36%,3
90,1640014394,nickps (13/20),0,135.2,C Jack Eichel C Sean Monahan UTIL Matthew Tkachuk W Sam Reinhart W Elias Lindholm W Victor Olofsson D Mark Giordano D Jacob Trouba G Carter Hutton,,Filip Forsberg,UTIL,3.26%,25.5
92,1639972023,HockeyCardsPlus,0,134.9,C Nathan MacKinnon C Mark Scheifele UTIL Matt Duchene W Matthew Tkachuk W Elias Lindholm W Ondrej Palat D Jacob Trouba D Aaron Ekblad G Devan Dubnyk,,Derek Stepan,C,3.26%,15.8
93,1639980559,m4ch1n3m4n (9/20),0,134.7,C Nathan MacKinnon C Sebastian Aho W Elias Lindholm W Teuvo Teravainen W Ondrej Palat UTIL Roman Josi D Mark Giordano D Mattias Ekholm G Henrik Lundqvist,,Rasmus Ristolainen,D,3.26%,13.1
94,1640043906,jlemer3,0,134.6,C Nathan MacKinnon C Patrice Bergeron UTIL Mikko Rantanen W Jonathan Huberdeau W Ondrej Palat W Paul Byron D Mark Giordano D Mattias Ekholm G Petr Mrazek,,Nick Suzuki,W,3.26%,3
95,1639976346,dom512,0,134.5,C Nathan MacKinnon C Max Domi W Mikko Rantanen W Kaapo Kakko W Tomas Tatar UTIL Kris Letang D Tony DeAngelo D T.J. Brodie G Henrik Lundqvist,,Dominik Kahun,W,3.26%,1.3
95,1639983845,itechsxpress (2/20),0,134.5,C Mikko Koivu C Derek Ryan W Nikita Kucherov UTIL Mikko Rantanen W Johnny Gaudreau W Matthew Tkachuk D Mark Giordano D Rasmus Andersson G Carter Hutton,,Eric Staal,C,3.15%,1.3
97,1640040270,bigdubb202020 (3/4),0,134.4,C Nathan MacKinnon C Mika Zibanejad W Patric Hornqvist W Artemi Panarin W Pavel Buchnevich UTIL Brandon Tanev D Justin Schultz D Adam Fox G Tuukka Rask,,Henrik Lundqvist,G,3.15%,25.1
97,1640040283,bigdubb202020 (4/4),0,134.4,C Nathan MacKinnon C Mika Zibanejad W Patric Hornqvist W Artemi Panarin W Pavel Buchnevich UTIL Brandon Tanev D Justin Schultz D Adam Fox G Tuukka Rask,,Brock McGinn,W,3.15%,1.5
99,1640014397,nickps (16/20),0,134.3,C Mark Scheifele C Aleksander Barkov UTIL Blake Wheeler W Nikolaj Ehlers W Jonathan Huberdeau W Evgenii Dadonov D Josh Morrissey D Henri Jokiharju G Tuukka Rask,,Brian Dumoulin,D,3.15%,8.4
100,1640039712,bgeistusn (12/20),0,134.2,C Nathan MacKinnon C Mika Zibanejad W Artemi Panarin UTIL Matthew Tkachuk W Alex Galchenyuk W Martin Necas D Esa Lindell D Travis Hamonic G Pekka Rinne,,Mikael Granlund,W,2.94%,11.5
101,1639988753,Lamoosh2332 (14/20),0,134.1,C Mark Scheifele C Matt Duchene UTIL Steven Stamkos W Kyle Connor W Blake Wheeler W Pat Maroon D Josh Morrissey D Dante Fabbro G Carey Price,,Ryan Ellis,D,2.94%,26.2
101,1640043132,Wanna_Square_Up1567 (8/20),0,134.1,C Mika Zibanejad C Sam Steel W Artemi Panarin UTIL Rickard Rakell W Chris Kreider W Jakob Silfverberg D Mark Giordano D Jacob Trouba G Devan Dubnyk,,Henri Jokiharju,D,2.84%,2.6
101,1640058061,dadafootball101,0,134.1,C Nathan MacKinnon C Brad Richardson W Nikita Kucherov W Mikko Rantanen W Ryan Dzingel D Victor Hedman D Zdeno Chara UTIL Jamie Oleksiak G Andrei Vasilevskiy,,Tomas Tatar,W,2.84%,21.8
104,1640042573,fulltyme20,0,133.7,C Nathan MacKinnon C Evgeni Malkin W Blake Wheeler W Nino Niederreiter W Victor Olofsson UTIL Jacob Trouba D Josh Morrissey D Jake Gardiner G Pekka Rinne,,Jake DeBrusk,UTIL,2.84%,4.5
105,1639952045,simmy98,0,133.6,C Tyler Seguin C Roope Hintz UTIL Nikita Kucherov W Joe Pavelski W Jamie Benn W Jordan Weal D Mikhail Sergachev D Kevin Shattenkirk G Andrei Vasilevskiy,,Aaron Ekblad,D,2.84%,12.8
