Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
37,1638406834,Emac (9/14),0,130.3,C Ryan Nugent-Hopkins C Bo Horvat UTIL Leon Draisaitl W Micheal Ferland W Tanner Pearson W Zack Kassian D Morgan Rielly D Thomas Chabot G Frederik Andersen,,Shea Theodore,D,9.26%,7.1
38,1638399222,bengra99,0,130.1,C Connor McDavid C Auston Matthews UTIL Cody Glass W Mitchell Marner W Brady Tkachuk W Alex Chiasson D Tyson Barrie D Dylan DeMelo G Mike Smith,,Jonathan Marchessault,UTIL,9.05%,1.5
39,1638399130,cedg42,0,130,C Connor McDavid C Ryan O'Reilly W Leon Draisaitl W Mitchell Marner W Anthony Duclair UTIL Tyler Ennis D Tyson Barrie D Robert Bortuzzo G Mike Smith,,Joakim Nygard,W,8.84%,3
40,1638415457,mfetzner,0,129.9,C Auston Matthews C Cody Glass W William Nylander W Andreas Johnsson W Tanner Pearson D Morgan Rielly D Shea Theodore UTIL Quinn Hughes G Frederik Andersen,,Elias Pettersson,C,8.63%,4.3
41,1638402816,dauber1football,0,129.7,C William Karlsson C Ryan Nugent-Hopkins UTIL Cody Glass W Alex Ovechkin W Timo Meier W Reilly Smith D Oscar Klefbom D Cody Ceci G Mike Smith,,Paul Stastny,C,8.00%,1.5
42,1638402593,ndesmarais15 (2/14),0,129.3,C Auston Matthews C Bo Horvat UTIL Brayden Schenn W William Nylander W J.T. Miller W Tanner Pearson D Alex Pietrangelo D Alexander Edler G Frederik Andersen,,William Karlsson,C,8.00%,25.3
43,1638425456,dozarks33 (12/14),0,129,C Auston Matthews C Cody Glass UTIL Mark Stone W Max Pacioretty W William Nylander W Andreas Johnsson D Thomas Chabot D Mark Borowiecki G Mike Smith,,Justin Faulk,D,7.79%,5
44,1638425458,dozarks33 (14/14),0,128.9,C Auston Matthews C Cody Glass UTIL Jonathan Marchessault W William Nylander W Andreas Johnsson W Reilly Smith D Alexander Edler D Nate Schmidt G Jordan Binnington,,Brandon Pirri,W,7.37%,3
45,1638402351,TheBossinMyWorld (7/7),0,128.7,C Auston Matthews C Cody Glass W Mitchell Marner W Max Pacioretty W Danil Yurtaykin D Morgan Rielly D Tyson Barrie UTIL Shea Theodore G Braden Holtby,,Timo Meier,W,6.95%,2.8
45,1638401571,radiomike (5/14),0,128.7,C Auston Matthews C Alexander Kerfoot UTIL Alex Ovechkin W Brady Tkachuk W Bobby Ryan W Robert Thomas D Thomas Chabot D Alexander Edler G Marc-Andre Fleury,,Alex Chiasson,W,6.95%,3
47,1638402601,ndesmarais15 (10/14),0,128.4,C Auston Matthews C Bo Horvat UTIL Alexander Kerfoot W William Nylander W J.T. Miller W Tanner Pearson D Brent Burns D Alexander Edler G Frederik Andersen,,Darnell Nurse,D,6.53%,11.9
48,1638407118,mowilliams09,0,128.1,C William Karlsson C Alexander Kerfoot W Jonathan Marchessault W Max Pacioretty W Reilly Smith UTIL David Perron D Tyson Barrie D Darnell Nurse G Frederik Andersen,,Thomas Chabot,UTIL,6.53%,8.6
49,1638419692,Gobluedp (6/6),0,127.8,C Auston Matthews UTIL Elias Pettersson C Chris Tierney W William Nylander W Andreas Johnsson W Reilly Smith D Tyson Barrie D Ron Hainsey G Braden Holtby,,Jake Muzzin,D,6.11%,2.8
50,1638419086,Tripple6ix (3/7),0,127.4,C Auston Matthews C John Tavares W Mitchell Marner W James Neal UTIL Jakub Vrana W Trevor Moore D Tyson Barrie D Rasmus Sandin G Frederik Andersen,,Micheal Ferland,W,5.68%,3
51,1638416931,n.rubert (3/6),0,127.2,C Paul Stastny C Lean Bergmann W Leon Draisaitl W Mitchell Marner UTIL Reilly Smith W Danil Yurtaykin D Morgan Rielly D Tyson Barrie G Frederik Andersen,,Nate Schmidt,D,5.68%,0
51,1638399131,lionsfan814 (1/2),0,127.2,C Elias Pettersson C William Karlsson W Jonathan Marchessault W Reilly Smith UTIL Kasperi Kapanen W Tanner Pearson D Shea Theodore D Alexander Edler G Jacob Markstrom,,Alex Pietrangelo,D,5.47%,11.5
51,1638401572,radiomike (6/14),0,127.2,C Auston Matthews C Alexander Kerfoot UTIL Mitchell Marner W Brady Tkachuk W David Perron W Bobby Ryan D Thomas Chabot D Alexander Edler G Marc-Andre Fleury,,Cody Ceci,D,5.47%,4.1
54,1638402600,ndesmarais15 (9/14),0,126.9,C Auston Matthews C Bo Horvat UTIL Alexander Kerfoot W William Nylander W Andreas Johnsson W Tanner Pearson D John Carlson D Alexander Edler G Frederik Andersen,,Ethan Bear,D,5.05%,0
55,1638419583,powerful_Oz,0,126.8,C Auston Matthews C Ryan O'Reilly W Mark Stone W James Neal W Oskar Sundqvist D Tyson Barrie UTIL Alexander Edler D Cody Ceci G Martin Jones,,Quinn Hughes,D,4.84%,6.3
56,1638401574,radiomike (8/14),0,126.3,C Auston Matthews C Alexander Kerfoot W Brady Tkachuk W Jaden Schwartz W Bobby Ryan UTIL Morgan Rielly D Thomas Chabot D Alexander Edler G Marc-Andre Fleury,,Bobby Ryan,W,4.84%,13
57,1638399556,pmm317 (1/2),0,125.9,C Brayden Schenn C Cody Glass W Mark Stone W Vladimir Tarasenko W Max Pacioretty UTIL Reilly Smith D Alex Pietrangelo D Alexander Edler G Jacob Markstrom,,Anthony Duclair,W,4.63%,4.5
57,1638425601,pmm317 (2/2),0,125.9,C Brayden Schenn C Cody Glass W Mark Stone W Vladimir Tarasenko W Max Pacioretty UTIL Reilly Smith D Alex Pietrangelo D Alexander Edler G Jacob Markstrom,,Tyler Myers,D,4.63%,9.1
59,1638402348,TheBossinMyWorld (4/7),0,124.6,C Auston Matthews UTIL Paul Stastny C Cody Glass W Mitchell Marner W Max Pacioretty W Josh Archibald D Morgan Rielly D Tyson Barrie G Braden Holtby,,Tomas Hertl,UTIL,4.63%,6
60,1638399307,bigw010102 (3/5),0,124.3,C Auston Matthews C Cody Glass W Mark Stone W Max Pacioretty W Kasperi Kapanen D Shea Theodore UTIL Alexander Edler D Vince Dunn G Jordan Binnington,,Nikita Zaitsev,D,4.21%,6
61,1638399685,Royalblue (7/10),0,123.9,UTIL Ryan Nugent-Hopkins C Alexander Kerfoot C Chris Tierney W Alex Ovechkin W Mitchell Marner W Brady Tkachuk D Tyson Barrie D Alexander Edler G Marc-Andre Fleury,,Tom Wilson,W,4.21%,3
