C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,LW,Zach Hyman (13457116),Zach Hyman,13457116,W/UTIL,4200,OTT@TOR 10/02/2019 07:00PM ET,TOR,7.46
,,,,,,,,,,D,Cody Ceci (13457346),Cody Ceci,13457346,D/UTIL,4200,OTT@TOR 10/02/2019 07:00PM ET,TOR,7.26
,,,,,,,,,,RW,J.T. Miller (13457118),J.T. Miller,13457118,W/UTIL,4200,VAN@EDM 10/02/2019 10:00PM ET,VAN,6.33
,,,,,,,,,,C,Colin White (13456956),Colin White,13456956,C/UTIL,4100,OTT@TOR 10/02/2019 07:00PM ET,OTT,6.82
,,,,,,,,,,LW,Sven Baertschi (13457120),Sven Baertschi,13457120,W/UTIL,4100,VAN@EDM 10/02/2019 10:00PM ET,VAN,7.04
,,,,,,,,,,D,Tyler Myers (13457348),Tyler Myers,13457348,D/UTIL,4100,VAN@EDM 10/02/2019 10:00PM ET,VAN,6.74
,,,,,,,,,,LW,Jakub Vrana (13457124),Jakub Vrana,13457124,W/UTIL,4000,WAS@STL 10/02/2019 08:00PM ET,WAS,6.95
,,,,,,,,,,LW,Tanner Pearson (13457122),Tanner Pearson,13457122,W/UTIL,4000,VAN@EDM 10/02/2019 10:00PM ET,VAN,5.92
,,,,,,,,,,D,Quinn Hughes (13457350),Quinn Hughes,13457350,D/UTIL,4000,VAN@EDM 10/02/2019 10:00PM ET,VAN,5.06
,,,,,,,,,,D,Nate Schmidt (13457352),Nate Schmidt,13457352,D/UTIL,4000,SJ@VGK 10/02/2019 10:30PM ET,VGK,7.9
,,,,,,,,,,LW,Anthony Duclair (13457126),Anthony Duclair,13457126,W/UTIL,3900,OTT@TOR 10/02/2019 07:00PM ET,OTT,6.38
,,,,,,,,,,RW,Zack Kassian (13457128),Zack Kassian,13457128,W/UTIL,3900,VAN@EDM 10/02/2019 10:00PM ET,EDM,4.69
,,,,,,,,,,D,Marc-Edouard Vlasic (13457354),Marc-Edouard Vlasic,13457354,D/UTIL,3900,SJ@VGK 10/02/2019 10:30PM ET,SJ,6.37
,,,,,,,,,,RW,Bobby Ryan (13457134),Bobby Ryan,13457134,W/UTIL,3800,OTT@TOR 10/02/2019 07:00PM ET,OTT,7.26
,,,,,,,,,,LW,Alexander Steen (13457130),Alexander Steen,13457130,W/UTIL,3800,WAS@STL 10/02/2019 08:00PM ET,STL,5.52
,,,,,,,,,,D,Michal Kempny (13457356),Michal Kempny,13457356,D/UTIL,3800,WAS@STL 10/02/2019 08:00PM ET,WAS,6.87
,,,,,,,,,,LW,Sam Gagner (13457132),Sam Gagner,13457132,W/UTIL,3800,VAN@EDM 10/02/2019 10:00PM ET,EDM,6.21
,,,,,,,,,,C,Artem Anisimov (13456958),Artem Anisimov,13456958,C/UTIL,3700,OTT@TOR 10/02/2019 07:00PM ET,OTT,6.35
,,,,,,,,,,RW,Drake Batherson (13457138),Drake Batherson,13457138,W/UTIL,3700,OTT@TOR 10/02/2019 07:00PM ET,OTT,5.49
,,,,,,,,,,D,Kris Russell (13457358),Kris Russell,13457358,D/UTIL,3700,VAN@EDM 10/02/2019 10:00PM ET,EDM,5.94
,,,,,,,,,,LW,Lukas Radil (13457136),Lukas Radil,13457136,W/UTIL,3700,SJ@VGK 10/02/2019 10:30PM ET,SJ,3.77
,,,,,,,,,,LW,Connor Brown (13457140),Connor Brown,13457140,W/UTIL,3600,OTT@TOR 10/02/2019 07:00PM ET,OTT,4.18
,,,,,,,,,,C,Tyler Bozak (13456960),Tyler Bozak,13456960,C/UTIL,3600,WAS@STL 10/02/2019 08:00PM ET,STL,6.54
,,,,,,,,,,D,Deryk Engelland (13457360),Deryk Engelland,13457360,D/UTIL,3600,SJ@VGK 10/02/2019 10:30PM ET,VGK,5.66
,,,,,,,,,,C,Jean-Gabriel Pageau (13456962),Jean-Gabriel Pageau,13456962,C/UTIL,3500,OTT@TOR 10/02/2019 07:00PM ET,OTT,6.36
,,,,,,,,,,LW,Ilya Mikheyev (13457142),Ilya Mikheyev,13457142,W/UTIL,3500,OTT@TOR 10/02/2019 07:00PM ET,TOR,0
,,,,,,,,,,D,Dylan DeMelo (13457362),Dylan DeMelo,13457362,D/UTIL,3500,OTT@TOR 10/02/2019 07:00PM ET,OTT,5.96
,,,,,,,,,,LW,Joakim Nygard (13457144),Joakim Nygard,13457144,W/UTIL,3500,VAN@EDM 10/02/2019 10:00PM ET,EDM,0
,,,,,,,,,,LW,Sammy Blais (13457146),Sammy Blais,13457146,W/UTIL,3400,WAS@STL 10/02/2019 08:00PM ET,STL,3.09
