Name,Salary,Team,Pos,Opp,Proj_FP,Line,PP_Line
Juuso Riikola,2500,PIT,D,NYR,0.0,x,
Mikhail Berdin,6500,WPG,G,CGY,0.0,,
Darren Raddysh,2500,NYR,D,PIT,0.0,x,
Cam Lee,2500,PIT,D,NYR,0.0,x,
Nick Wolff,2500,BOS,D,WAS,0.0,x,
Cole Smith,2500,NSH,LW,TB,0.0,,
Marc Michaelis,2500,VAN,LW,MON,0.0,6,
Connor Mackey,2500,CGY,D,WPG,0.0,x,
Jack Ahcan,2500,BOS,D,WAS,0.0,x,
Justin Richards,2500,NYR,C,PIT,0.0,,
Vasili Demchenko,6500,MON,G,VAN,0.0,,
Radim Zohorna,2500,PIT,C,NYR,0.0,,
Josh Maniscalco,2500,PIT,D,NYR,0.0,x,
Alex Green,2500,TB,D,NSH,0.0,x,
Jack Finley,2500,TB,C,NSH,0.0,,
Gage Goncalves,2500,TB,C,NSH,0.0,,
Connor Zary,2500,CGY,C,WPG,0.0,,
