CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,TE,Colby Parkinson (16103517),Colby Parkinson,16103517,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,SEA,3.6
,,,,,,,RB,Travis Homer (16103518),Travis Homer,16103518,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,SEA,3.64
,,,,,,,TE,Brycen Hopkins (16103519),Brycen Hopkins,16103519,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,RB,Alex Collins (16103520),Alex Collins,16103520,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,SEA,7.03
,,,,,,,WR,Penny Hart (16103521),Penny Hart,16103521,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,SEA,0.53
,,,,,,,WR,Josh Gordon (16103522),Josh Gordon,16103522,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,SEA,0
,,,,,,,TE,Tyler Ott (16103523),Tyler Ott,16103523,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,SEA,0
,,,,,,,WR,Nsimba Webster (16103524),Nsimba Webster,16103524,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,LAR,-0.06
,,,,,,,TE,Johnny Mundt (16103525),Johnny Mundt,16103525,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,LAR,1.86
,,,,,,,RB,Nick Bellore (16103526),Nick Bellore,16103526,FLEX,200,LAR@SEA 01/09/2021 04:40PM ET,SEA,0.3
