Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
32,2426875475,SundanceHI,0,130.95999,DST Cardinals  QB Drew Brees WR Emmanuel Sanders TE Travis Kelce FLEX Sammy Watkins RB Alvin Kamara WR Tyreek Hill RB Chase Edmonds WR Denzel Mims,,Travis Fulgham,WR,9.00%,5
33,2427506108,ShunnboyWalton,0,130.34,DST Jets  TE Jared Cook WR Emmanuel Sanders WR Jamison Crowder RB Alvin Kamara WR Tyreek Hill QB Kyler Murray RB Miles Sanders FLEX Clyde Edwards-Helaire,,Jets ,DST,8.00%,8
34,2427506635,chach1,0,130.16,DST Eagles  QB Drew Brees WR Emmanuel Sanders TE Travis Kelce WR DeAndre Hopkins RB Alvin Kamara WR Tre'Quan Smith FLEX Christian Kirk RB Cam Akers,,Breshad Perriman,WR,8.00%,3.1
35,2427498425,pkwwmdffty,0,130.12,DST Rams  FLEX Jared Cook TE Travis Kelce WR DeAndre Hopkins RB Kenyan Drake WR Tre'Quan Smith QB Jalen Hurts WR Jalen Reagor RB Cam Akers,,Frank Gore,FLEX,7.00%,13.5
36,2427441898,Craig2977,0,129.54001,DST Cardinals  WR Emmanuel Sanders TE Travis Kelce RB Kenyan Drake WR Cooper Kupp RB Alvin Kamara QB Kyler Murray FLEX Denzel Mims WR Jalen Reagor,,Larry Fitzgerald,WR,7.00%,12.5
37,2426738954,Mosessupposes,0,129.06,DST Cardinals  QB Drew Brees WR Emmanuel Sanders TE Zach Ertz RB Le'Veon Bell WR DeAndre Hopkins FLEX Tyreek Hill WR Travis Fulgham RB Cam Akers,,Zach Ertz,TE,6.00%,8.9
38,2427485056,Kuleve,0,128.96,DST Cardinals  TE Travis Kelce FLEX Tyler Higbee WR Tyreek Hill RB Chase Edmonds WR Tre'Quan Smith QB Patrick Mahomes WR Jalen Reagor RB Cam Akers,,Saints ,DST,6.00%,7
39,2427281654,Vingo22,0,128.94,DST Cardinals  WR Robert Woods WR Jamison Crowder RB Kenyan Drake FLEX Alvin Kamara TE Dallas Goedert WR Travis Fulgham QB Kyler Murray RB Clyde Edwards-Helaire,,Chase Edmonds,RB,5.00%,15.6
40,2427195898,danicjas,0,128.54001,DST Chiefs  WR DeAndre Hopkins RB Kenyan Drake WR Demarcus Robinson RB Alvin Kamara TE Dallas Goedert WR Tyreek Hill FLEX Adam Trautman QB Kyler Murray,,Darrell Henderson Jr.,RB,5.00%,1.3
41,2427422980,chaser33333,0,128.42,DST Rams  FLEX Tyler Higbee RB Alvin Kamara TE Dallas Goedert WR Tyreek Hill WR Christian Kirk QB Jalen Hurts RB Miles Sanders WR Jalen Reagor,,Mecole Hardman,WR,5.00%,10.7
42,2427002415,Seizes,0,127.42,DST Rams  WR Emmanuel Sanders TE Travis Kelce WR Robert Woods FLEX Dallas Goedert WR Tre'Quan Smith QB Jalen Hurts RB Miles Sanders RB Cam Akers,,Demarcus Robinson,FLEX,5.00%,4.7
43,2426676946,mgedwards,0,127.16,DST Chiefs  FLEX Frank Gore TE Travis Kelce RB Le'Veon Bell WR Sammy Watkins WR Tyreek Hill QB Patrick Mahomes WR Mecole Hardman RB Clyde Edwards-Helaire,,Josh Reynolds,WR,5.00%,2.9
44,2427316962,Apewar0916,0,127.060005,DST Eagles  TE Travis Kelce RB Le'Veon Bell WR Robert Woods WR Cooper Kupp QB Patrick Mahomes FLEX Christian Kirk WR Mecole Hardman RB Clyde Edwards-Helaire,,Greg Ward,WR,5.00%,17.5
45,2427553066,ericspruill-1,0,126.76001,DST Jets  RB Frank Gore TE Travis Kelce WR Jamison Crowder FLEX Sammy Watkins WR Tyreek Hill QB Patrick Mahomes WR Christian Kirk RB Clyde Edwards-Helaire,,Alshon Jeffery,WR,4.00%,8.3
46,2427308172,Nasty_Nate98,0,125.64001,DST Rams  WR DeAndre Hopkins FLEX Sammy Watkins RB Kenyan Drake RB Alvin Kamara TE Dallas Goedert WR Josh Reynolds WR Christian Kirk QB Kyler Murray,,Gerald Everett,TE,4.00%,4.8
47,2427270477,nostudda,0,125.46001,DST Chiefs  TE Jared Cook WR Alshon Jeffery WR DeAndre Hopkins FLEX Tyler Higbee RB Kenyan Drake WR Tyreek Hill QB Patrick Mahomes RB Clyde Edwards-Helaire,,Dan Arnold,TE,4.00%,8.4
48,2427478659,huss12,0,123.56001,DST Eagles  WR Emmanuel Sanders WR Robert Woods TE Tyler Higbee QB Jared Goff RB Alvin Kamara FLEX Tyreek Hill WR Christian Kirk RB Clyde Edwards-Helaire,,Boston Scott,FLEX,3.00%,1.7
49,2427388691,mexy,0,122.920006,DST Rams  WR Emmanuel Sanders WR Robert Woods RB Kenyan Drake TE Dallas Goedert FLEX Tyreek Hill WR Christian Kirk QB Jalen Hurts RB Clyde Edwards-Helaire,,Taysom Hill,QB,3.00%,6.3
50,2427176701,Jaegotdat,0,122.62,DST Eagles  TE Jared Cook WR Emmanuel Sanders RB Alvin Kamara WR Tyreek Hill WR Christian Kirk QB Jalen Hurts FLEX Miles Sanders RB Cam Akers,,Richard Rodgers,TE,2.00%,0
51,2427232449,jdog36281,0,122.42,DST Eagles  WR Emmanuel Sanders WR Breshad Perriman RB Alvin Kamara TE Dallas Goedert WR Tyreek Hill QB Jalen Hurts FLEX Miles Sanders RB Cam Akers,,Adam Trautman,FLEX,2.00%,0
52,2427419911,El-Guappo,0,122.26,DST Rams  FLEX Jared Cook TE Travis Kelce WR Jamison Crowder WR Sammy Watkins WR Greg Ward RB Alvin Kamara QB Patrick Mahomes RB Cam Akers,,Malcolm Brown,RB,1.00%,2
53,2427292154,erica1031,0,121.560005,DST Eagles  WR Emmanuel Sanders TE Zach Ertz WR Robert Woods RB Kenyan Drake RB Alvin Kamara WR Tyreek Hill QB Patrick Mahomes FLEX Denzel Mims,,Juwan Johnson,WR,1.00%,0
54,2427520282,wdice62,0,121.46001,DST Rams  WR Emmanuel Sanders FLEX Travis Kelce RB Le'Veon Bell WR Robert Woods QB Jared Goff RB Alvin Kamara TE Dallas Goedert WR Christian Kirk,,Andy Isabella,WR,1.00%,0
55,2427425695,Mandakage,0,120.16,DST Rams  FLEX Emmanuel Sanders RB Le'Veon Bell WR DeAndre Hopkins WR Cooper Kupp TE Dallas Goedert QB Patrick Mahomes WR Travis Fulgham RB Clyde Edwards-Helaire,,Ty Montgomery,RB,1.00%,0
56,2427528183,kashmoni,0,119.86001,DST Rams  WR Emmanuel Sanders TE Travis Kelce RB Latavius Murray FLEX DeAndre Hopkins WR Sammy Watkins RB Kenyan Drake QB Jared Goff WR Christian Kirk,,Ricky Seals-Jones,TE,1.00%,0
57,2427274402,albertheras,0,119.82,DST Rams  WR Emmanuel Sanders TE Zach Ertz RB Kenyan Drake WR Demarcus Robinson FLEX Alvin Kamara WR Tyreek Hill QB Jalen Hurts RB Miles Sanders,,Tommylee Lewis,WR,1.00%,0
58,2427294414,KeegsK3,0,119.64001,DST Rams  FLEX Larry Fitzgerald TE Zach Ertz WR Sammy Watkins RB Kenyan Drake RB Alvin Kamara WR Tyreek Hill WR Christian Kirk QB Kyler Murray,,Van Jefferson Jr.,WR,1.00%,0
59,2427340472,ndesmarais15,0,119.36,DST Eagles  WR Emmanuel Sanders TE Travis Kelce FLEX Robert Woods WR Jamison Crowder QB Jared Goff RB Alvin Kamara WR Josh Reynolds RB Cam Akers,,Braxton Berrios,WR,1.00%,2.9
